lemma1;lemma2;word;F
a;le;aiz;1
a;le;alle;3
a;le;als;2
a;le;alz;2
a;le;ass;1
a;le;av;23
a;le;ax;1
a;le;az;139
a;le;hau;1
a;le_le;al;3328
a;le_le;as;3554
a;le_le;au;8611
a;le_le;aus;827
a;le_le;aux;34
a;le_le;auz;11
de;le;das;28
de;le;dau;229
de;le;daus;192
de;le;del;5194
de;le;dels;1
de;le;delz;1
de;le;deu;106
de;le;dez;39
de;le;dol;7
de;le_le;des;7791
de;le_le;do;519
de;le_le;dou;2294
de;le_le;du;2583
en1;le;e;1
en1;le;el;3499
en1;le;els;1
en1;le;elz;1
en1;le;enl;11
en1;le;ens;32
en1;le;eu;228
en1;le;ez;1
en1;le;hu;4
en1;le_le;es;1639
en1;le_le;on;44
en1;le_le;ou;1890
en1;le;ons;24
en1;le;onz;1
en1;le;ous;6
en1;le;ov;3
en1;le;u;71
en1;le;v;12
en1;le;wne;3
i;tant;itantque;2
mautaillier;D11;mautaillier;maltaillie;5
que4;il;kil;2
que4;il;quil;124
qui;que4;cuik;3
qui;que4;cuike;1
qui;que4;cuiq;1
qui;que4;cuiqu;8
qui;que4;cuique;11
qui;que4;kik;3
qui;que4;kike;4
qui;que4;kiki;2
qui;que4;kyque;1
qui;que4;qiqe;1
qui;que4;quike;2
qui;que4;quilqu;2
qui;que4;quiq;4
qui;que4;quiqe;1
qui;que4;quiqque;2
qui;que4;quiqu;43
qui;que4;quique;51
qui;que4;quiqui;2
qui;que4;quiunqes;1
