word;lemma;pos;decl;gender;number;id;ref1;ref2;F
abbesse;abesse;NOM;obj;femi;sg;modw;s241959;3;1
abbesse;abesse;NOM;obj;femi;sg;modw;s242013;3;1
abbesse;abesse;NOM;obj;femi;sg;modw;s242035;3;1
abbesse;abesse;NOM;obj;femi;sg;modw;s242098;3;1
abbesse;abesse;NOM;obj;femi;sg;modw;s242376;3;1
abbesse;abesse;NOM;obj;femi;sg;modw;s242774;3;1
abbesse;abesse;NOM;suj;femi;sg;modw;s242626;2;1
abbesse;abesse;NOM;suj;femi;sg;modw;s242735;3;1
abbesse;abesse;NOM;suj;femi;sg;modw;s242783;2;1
abbesses;abesse;NOM;suj;femi;pl;abe;s2330;6;1
abesse;abesse;NOM;suj;femi;sg;modw;s241810;2;1
abesse;abesse;NOM;suj;femi;sg;modw;s241818;2;1
abesse;abesse;NOM;suj;femi;sg;modw;s241878;3;1
abesse;abesse;NOM;suj;femi;sg;modw;s242619;2;1
armure;UNKNOWN;NOM;obj;femi;sg;abreja;s2515;5;1
armure;UNKNOWN;NOM;obj;femi;sg;abreja;s2695;4;1
armure;UNKNOWN;NOM;obj;femi;sg;abreja;s2697;0;1
armure;UNKNOWN;NOM;obj;femi;sg;abreja;s2785;1;1
armure;UNKNOWN;NOM;obj;femi;sg;abreja;s2906;4;1
armure;UNKNOWN;NOM;obj;femi;sg;reis;s346494;0;1
armure;UNKNOWN;NOM;suj;femi;sg;abreja;s2871;4;1
armures;UNKNOWN;NOM;obj;femi;pl;miro;s240951;2;1
armures;UNKNOWN;NOM;suj;femi;pl;abreja;s2752;0;1
chevelure;UNKNOWN;NOM;obj;femi;sg;greg2;s166449;2;1
chevelure;UNKNOWN;NOM;obj;femi;sg;ipo;s184933;5;1
chevelure;UNKNOWN;NOM;suj;femi;sg;modw;s241849;5;1
chevelure;UNKNOWN;NOM;suj;femi;sg;reis;s343579;8;1
chevelure;UNKNOWN;NOM;suj;femi;sg;reis;s343580;5;1
age;agie;NOM;obj;femi;sg;edmond;s96162;5;1
age;agie;NOM;obj;femi;sg;edmond;s96188;6;1
age;agie;NOM;obj;femi;sg;edmond;s96985;7;1
age;agie;NOM;obj;femi;sg;edmund;s98538;7;1
age;agie;NOM;obj;femi;sg;edmund;s99040;6;1
age;agie;NOM;obj;femi;sg;edmund;s99186;7;1
age;agie;NOM;obj;femi;sg;ipo;s190521;4;1
age;agie;NOM;obj;femi;sg;orso;s285993;4;1
age;agie;NOM;obj;femi;sg;reis;s340938;4;1
age;agie;NOM;obj;femi;sg;sergbH;s393253;5;1
age;agie;NOM;obj;masc;sg;artch;s23819;5;1
age;agie;NOM;obj;masc;sg;beauv;s35994;8;1
age;agie;NOM;obj;masc;sg;chret1;s65454;9;1
age;agie;NOM;obj;masc;sg;deusamH;s94152;8;1
age;agie;NOM;obj;masc;sg;edmond;s96437;6;1
age;agie;NOM;obj;masc;sg;edmond;s97090;7;1
age;agie;NOM;obj;masc;sg;edmond;s97197;7;1
age;agie;NOM;obj;masc;sg;greg2;s166080;5;1
age;agie;NOM;obj;masc;sg;greg2;s166094;6;1
age;agie;NOM;obj;masc;sg;greg2;s166103;4;1
age;agie;NOM;obj;masc;sg;greg2;s166134;7;1
age;agie;NOM;obj;masc;sg;mace;s218615;5;1
age;agie;NOM;obj;masc;sg;ndchar;s259306;6;1
age;agie;NOM;obj;masc;sg;perh;s308833;7;1
age;agie;NOM;obj;masc;sg;perp;s314688;7;1
age;agie;NOM;obj;masc;sg;perr;s318466;7;1
age;agie;NOM;obj;masc;sg;pon1;s330493;4;1
