word;lemma;pos;decl;gender;number;id;ref1;ref2;F
deneree;denree;NOM;suj;femi;sg;nima3;s270747;2;1
deneree;denree;NOM;suj;femi;sg;nima4;s272210;2;1
deneree;denree;NOM;suj;femi;sg;nimc;s276994;2;1
durament;durement;ADV;NA;NA;NA;poit;s328700;3;1
durament;durement;ADV;NA;NA;NA;poit;s330446;7;1
durament;durement;ADV;NA;NA;NA;turp;s409539;9;1
durament;durement;ADV;NA;NA;NA;turp;s410032;8;1
duremant;durement;ADV;NA;NA;NA;barlaam;s31760;6;1
duremant;durement;ADV;NA;NA;NA;barlaam;s31937;0;1
duremant;durement;ADV;NA;NA;NA;barlaam;s32108;3;1
duremant;durement;ADV;NA;NA;NA;barlaam;s32252;5;1
duremant;durement;ADV;NA;NA;NA;barlaam;s32252;1;1
duremant;durement;ADV;NA;NA;NA;barlaam;s32287;5;1
duremant;durement;ADV;NA;NA;NA;barlaam;s32319;6;1
duremant;durement;ADV;NA;NA;NA;bel;s38460;5;1
duremant;durement;ADV;NA;NA;NA;bourg;s49804;2;1
duremant;durement;ADV;NA;NA;NA;bourg;s50045;2;1
duremant;durement;ADV;NA;NA;NA;bourg;s50047;4;1
duremant;durement;ADV;NA;NA;NA;bourg;s50128;6;1
duremant;durement;ADV;NA;NA;NA;contre;s83020;4;1
duremant;durement;ADV;NA;NA;NA;contro;s85759;6;1
duremant;durement;ADV;NA;NA;NA;contro;s85867;2;1
duremant;durement;ADV;NA;NA;NA;contro;s85875;2;1
duremant;durement;ADV;NA;NA;NA;contro;s85915;2;1
duremant;durement;ADV;NA;NA;NA;contro;s85930;3;1
duremant;durement;ADV;NA;NA;NA;contro;s86556;2;1
duremant;durement;ADV;NA;NA;NA;contro;s86595;1;1
duremant;durement;ADV;NA;NA;NA;contro;s86624;2;1
duremant;durement;ADV;NA;NA;NA;contro;s86878;4;1
duremant;durement;ADV;NA;NA;NA;contro;s86881;5;1
duremant;durement;ADV;NA;NA;NA;contro;s86994;2;1
duremant;durement;ADV;NA;NA;NA;contro;s87074;2;1
duremant;durement;ADV;NA;NA;NA;contro;s87333;4;1
duremant;durement;ADV;NA;NA;NA;contro;s87353;6;1
duremant;durement;ADV;NA;NA;NA;contro;s87684;4;1
duremant;durement;ADV;NA;NA;NA;contro;s87734;2;1
duremant;durement;ADV;NA;NA;NA;contro;s87916;4;1
duremant;durement;ADV;NA;NA;NA;contro;s87980;3;1
duremant;durement;ADV;NA;NA;NA;contro;s87989;4;1
duremant;durement;ADV;NA;NA;NA;contro;s88007;2;1
