word;lemma;pos;decl;gender;number;id;ref1;ref2;F
danrees;denree;NOM;obj;femi;pl;contre;s82510;3;1
danrees;denree;NOM;suj;femi;pl;chauvency;s63907;2;1
denree;denree;NOM;obj;femi;sg;alia;s10691;9;1
denree;denree;NOM;obj;femi;sg;aye;s29447;7;1
denree;denree;NOM;obj;femi;sg;best;s47952;6;1
denree;denree;NOM;obj;femi;sg;gir;s163715;7;1
denree;denree;NOM;obj;femi;sg;jaco;s196347;3;1
denree;denree;NOM;obj;femi;sg;nima1;s268615;7;1
denree;denree;NOM;obj;femi;sg;nima2;s270096;6;1
denree;denree;NOM;obj;femi;sg;nima4;s272777;7;1
denree;denree;NOM;obj;femi;sg;nimc;s277588;7;1
denree;denree;NOM;obj;femi;sg;vache;s411094;8;1
denree;denree;NOM;obj;femi;sg;verite;s423654;7;1
denree;denree;NOM;suj;femi;sg;livre;s211304;2;1
denree;denree;NOM;suj;femi;sg;nima1;s268047;2;1
denree;denree;NOM;suj;femi;sg;nima2;s269531;2;1
denree;denree;NOM;suj;femi;sg;nimb1;s274508;9;1
denree;denree;NOM;suj;femi;sg;nimb2;s276060;9;1
denree;denree;NOM;suj;femi;sg;nimc;s277575;9;1
denree;denree;NOM;suj;femi;sg;vache;s412929;8;1
denrees;denree;NOM;obj;femi;pl;beauv;s35611;2;1
denrees;denree;NOM;obj;femi;pl;beauv;s36671;4;1
denrees;denree;NOM;obj;femi;pl;beauv;s36672;1;1
denrees;denree;NOM;obj;femi;pl;beauv;s36680;9;1
denrees;denree;NOM;obj;femi;pl;beauv;s36762;8;1
denrees;denree;NOM;obj;femi;pl;beauv;s37557;4;1
denrees;denree;NOM;obj;femi;pl;feu;s154505;6;1
denrees;denree;NOM;obj;femi;pl;wita;s429742;6;1
denrees;denree;NOM;suj;femi;pl;beauv;s36764;0;1
denrees;denree;NOM;suj;femi;pl;beauv;s37480;9;1
denrees;denree;NOM;suj;femi;pl;beauv;s37494;6;1
denrees;denree;NOM;suj;femi;pl;beauv;s37496;3;1
denrees;denree;NOM;suj;femi;pl;sully2;s398902;5;1
donree;denree;NOM;obj;femi;sg;nima3;s271313;7;1
donree;denree;NOM;obj;femi;sg;yzop;s440134;5;1
durment;durement;ADV;NA;NA;NA;beauv;s35545;6;1
durment;durement;ADV;NA;NA;NA;juda;s200354;2;1
durment;durement;ADV;NA;NA;NA;or;s285074;4;1
durment;durement;ADV;NA;NA;NA;troi;s405830;5;1
durment;durement;ADV;NA;NA;NA;troi;s407684;1;1
durment;durement;ADV;NA;NA;NA;troi;s408078;3;1
durment;durement;ADV;NA;NA;NA;troi;s408087;7;1
durment;durement;ADV;NA;NA;NA;troi;s408453;2;1
durment;durement;ADV;NA;NA;NA;troi;s408467;6;1
durment;durement;ADV;NA;NA;NA;troi;s408569;1;1
espron;UNKNOWN;NOM;obj;masc;sg;desp;s93025;2;1
esprons;UNKNOWN;NOM;obj;masc;pl;desp;s93650;4;1
folment;UNKNOWN;ADV;NA;NA;NA;wallo;s429441;4;1
folment;UNKNOWN;ADV;NA;NA;NA;wallo;s429485;5;1
portra;porter;VER;futu;3;sg;moral;s243884;9;1
serment;sairement;NOM;obj;masc;sg;fablesA;s129540;2;1
serment;sairement;NOM;obj;masc;sg;fablesA;s130615;6;1
serment;sairement;NOM;obj;masc;sg;fablesA;s130623;6;1
serment;sairement;NOM;obj;masc;sg;fablesA;s132054;5;1
serment;sairement;NOM;obj;masc;sg;fierens;s157375;3;1
serment;sairement;NOM;obj;masc;sg;fierens;s157387;1;1
serment;sairement;NOM;obj;masc;sg;fierens;s157519;4;1
serment;sairement;NOM;obj;masc;sg;fierens;s158054;2;1
serment;sairement;NOM;obj;masc;sg;greg2;s168866;4;1
serment;sairement;NOM;obj;masc;sg;ipo;s192361;6;1
serment;sairement;NOM;obj;masc;sg;lanvalH;s204288;5;1
serment;sairement;NOM;obj;masc;sg;oakbook;s282102;8;1
serment;sairement;NOM;obj;masc;sg;oakbook;s282155;1;1
serment;sairement;NOM;obj;masc;sg;oakbook;s282679;7;1
serment;sairement;NOM;obj;masc;sg;oakbook;s282680;4;1
serment;sairement;NOM;obj;masc;sg;oakbook;s282693;3;1
serment;sairement;NOM;obj;masc;sg;wallo;s429439;3;1
serment;sairement;NOM;suj;masc;sg;fablesA;s130603;2;1
verveles;vervele;NOM;obj;femi;pl;clari2;s71826;7;1
verveles;vervele;NOM;obj;femi;pl;clari2;s71858;7;1
vrai;verai;ADJ;obj;femi;sg;wallo;s429570;9;1
vrai;verai;ADJ;obj;masc;sg;aiol;s7260;4;1
vrai;verai;ADJ;obj;masc;sg;amile;s12389;7;1
vrai;verai;ADJ;obj;masc;sg;bar;s31332;5;1
vrai;verai;ADJ;obj;masc;sg;bar;s31385;6;1
vrai;verai;ADJ;obj;masc;sg;barril;s33066;2;1
vrai;verai;ADJ;obj;masc;sg;durm;s95897;7;1
vrai;verai;ADJ;obj;masc;sg;joinv;s197332;4;1
vrai;verai;ADJ;obj;masc;sg;juda;s201285;4;1
vrai;verai;ADJ;obj;masc;sg;juda;s201721;5;1
vrai;verai;ADJ;obj;masc;sg;loys;s212968;9;1
vrai;verai;ADJ;obj;masc;sg;loys;s213023;8;1
vrai;verai;ADJ;obj;masc;sg;loys;s213751;1;1
vrai;verai;ADJ;obj;masc;sg;merm;s232251;7;1
vrai;verai;ADJ;obj;masc;sg;mir;s239536;4;1
vrai;verai;ADJ;obj;masc;sg;moral2;s246320;5;1
vrai;verai;ADJ;obj;masc;sg;moral;s244110;3;1
vrai;verai;ADJ;obj;masc;sg;moral;s244904;7;1
vrai;verai;ADJ;obj;masc;sg;ndchar;s259127;3;1
vrai;verai;ADJ;obj;masc;sg;ndchar;s262690;2;1
vrai;verai;ADJ;obj;masc;sg;nic;s264025;4;1
vrai;verai;ADJ;obj;masc;sg;nic;s264091;7;1
vrai;verai;ADJ;obj;masc;sg;nic;s264096;6;1
vrai;verai;ADJ;obj;masc;sg;pritheo;s330939;9;1
vrai;verai;ADJ;obj;masc;sg;robert;s354195;6;1
vrai;verai;ADJ;obj;masc;sg;rombriv;s362476;5;1
vrai;verai;ADJ;suj;masc;pl;aiol;s7052;4;1
vrai;verai;ADJ;suj;masc;pl;darm;s91109;3;1
vrai;verai;ADJ;suj;masc;pl;juda;s201656;4;1
vrai;verai;ADJ;suj;masc;pl;meun;s233169;3;1
vrai;verai;ADJ;suj;masc;pl;verite;s423774;5;1
vrai;verai;ADJ;suj;masc;sg;chauvency;s62891;5;1
vrai;verai;ADJ;suj;masc;sg;clef;s73721;4;1
vrai;verai;ADJ;suj;masc;sg;darm;s91194;4;1
vrai;verai;ADJ;suj;masc;sg;darm;s91271;4;1
vrai;verai;ADJ;suj;masc;sg;marga;s222524;1;1
vrai;verai;ADJ;suj;masc;sg;marga;s222526;1;1
vrai;verai;ADJ;suj;masc;sg;marga;s222527;1;1
vrai;verai;ADJ;suj;masc;sg;romm;s375154;6;1
vraie;verai;ADJ;obj;femi;sg;abreja;s2501;7;1
vraie;verai;ADJ;obj;femi;sg;amou;s15631;5;1
vraie;verai;ADJ;obj;femi;sg;amou;s16930;2;1
vraie;verai;ADJ;obj;femi;sg;amou;s17386;6;1
vraie;verai;ADJ;obj;femi;sg;bar;s30585;4;1
vraie;verai;ADJ;obj;femi;sg;bar;s30740;4;1
vraie;verai;ADJ;obj;femi;sg;bern2;s41501;4;1
vraie;verai;ADJ;obj;femi;sg;bern2;s42502;4;1
vraie;verai;ADJ;obj;femi;sg;best;s45765;4;1
vraie;verai;ADJ;obj;femi;sg;best;s46501;6;1
vraie;verai;ADJ;obj;femi;sg;bodo;s49264;5;1
vraie;verai;ADJ;obj;femi;sg;clari2;s71829;1;1
vraie;verai;ADJ;obj;femi;sg;clef;s72263;4;1
vraie;verai;ADJ;obj;femi;sg;conperc;s80685;3;1
