word;pos;decl;gender;number;lemma;id;ref1;ref2;F
aase;ADJ;suj;masc;sg;UNKNOWN;barlaam;s32370;41 ;1
abondeuse;ADJ;suj;femi;sg;UNKNOWN;calen;s50638;4 ;1
acceptabe;ADJ;suj;femi;sg;UNKNOWN;reis;s343557;8 ;1
acceptable;ADJ;obj;femi;sg;acceptable;fablesA;s131573;5 ;1
acceptable;ADJ;obj;femi;sg;acceptable;fablesT;s148798;6 ;1
acceptable;ADJ;obj;masc;sg;acceptable;carem;s54508;1 ;1
acceptable;ADJ;obj;masc;sg;acceptable;carem;s54583;1 ;1
acceptable;ADJ;obj;masc;sg;acceptable;edmund;s98748;6 ;1
acceptable;ADJ;suj;femi;sg;acceptable;chro;s69113;6 ;1
acceptable;ADJ;suj;femi;sg;acceptable;fablesB;s135405;5 ;1
acceptable;ADJ;suj;femi;sg;acceptable;fablesK;s142805;6 ;1
acceptable;ADJ;suj;masc;sg;acceptable;reis;s344422;11 ;1
acceptauble;ADJ;suj;masc;sg;acceptable;moral2;s246452;10 ;1
acceptaule;ADJ;suj;femi;sg;UNKNOWN;hard;s174088;1 ;1
aceptable;ADJ;obj;masc;sg;acceptable;sept;s391077;5 ;1
aceptable;ADJ;suj;femi;sg;acceptable;myst;s252340;6 ;1
acetable;ADJ;suj;femi;sg;acceptable;fablesC;s137873;6 ;1
acherine;ADJ;suj;femi;sg;UNKNOWN;elie;s104595;9 ;1
acointable;ADJ;suj;femi;sg;acointable;clef;s72537;6 ;1
acointe;ADJ;obj;femi;sg;acointe1-acointe;ndchar;s260498;5 ;1
acointe;ADJ;obj;femi;sg;acointier;baisieux;s29845;6 ;1
acointe;ADJ;obj;masc;sg;acointier;vergib;s415280;5 ;1
acointe;ADJ;obj;masc;sg;acointier;vergic;s416259;6 ;1
acointe;ADJ;obj;masc;sg;acointier;vergig;s419068;6 ;1
acointe;ADJ;obj;masc;sg;acointier;vergih;s420036;6 ;1
acointe;ADJ;suj;femi;sg;acointe1-acointe;clef;s75066;7 ;1
acointe;ADJ;suj;femi;sg;acointier;anti;s21795;6 ;1
acointe;ADJ;suj;femi;sg;acointier;hista;s178654;6 ;1
acointe;ADJ;suj;femi;sg;acointier;rose;s377633;5 ;1
acointe;ADJ;suj;masc;pl;acointier;ombre;s283606;5 ;1
acointe;ADJ;suj;masc;sg;acointier;best;s45069;2 ;1
acroze;ADJ;suj;femi;sg;UNKNOWN;troi;s407033;6 ;1
acustumere;ADJ;suj;femi;sg;UNKNOWN;guigH;s170259;5 ;1
adroite;ADJ;obj;femi;sg;adroit;chauvency;s63161;5 ;1
adroite;ADJ;suj;femi;sg;adroit;chret1;s64889;5 ;1
adroite;ADJ;suj;femi;sg;adroit;chret2;s65986;5 ;1
adroite;ADJ;suj;femi;sg;adroit;hard;s173666;5 ;1
adroite;ADJ;suj;femi;sg;adroit;helc;s174814;56 ;1
adroite;ADJ;suj;femi;sg;adroit;percevalb;s304941;5 ;1
adroite;ADJ;suj;femi;sg;adroit;yvf;s433544;5 ;1
adroite;ADJ;suj;femi;sg;adroit;yvg;s434533;5 ;1
adroite;ADJ;suj;femi;sg;adroit;yvh;s435520;5 ;1
adroite;ADJ;suj;femi;sg;adroit;yvp;s436518;5 ;1
adroite;ADJ;suj;femi;sg;adroit;yvs;s437496;5 ;1
aduerse;ADJ;obj;femi;pl;UNKNOWN;wallo;s429513;13 ;1
adverse;ADJ;suj;femi;sg;UNKNOWN;cass;s58498;2 ;1
adverse;ADJ;suj;femi;sg;UNKNOWN;ipo;s185562;7 ;1
aegre;ADJ;obj;femi;sg;UNKNOWN;papgreg2;s290276;9 ;1
aese;ADJ;suj;masc;sg;aaise;ipo;s185751;4 ;1
aggraable;ADJ;obj;masc;sg;UNKNOWN;clef;s73754;5 ;1
aggreable;ADJ;suj;femi;sg;agreable;abe;s1743;2 ;1
aggreable;ADJ;suj;femi;sg;agreable;clef;s75053;5 ;1
aggreable;ADJ;suj;masc;sg;agreable;clef;s73449;6 ;1
agraable;ADJ;obj;masc;sg;UNKNOWN;ndchar;s260436;6 ;1
agreable;ADJ;obj;masc;sg;agreable;meun;s233486;6 ;1
agreable;ADJ;suj;femi;sg;agreable;amou;s16858;5 ;1
agreable;ADJ;suj;femi;sg;agreable;amou;s18034;5 ;1
agreable;ADJ;suj;femi;sg;agreable;martin3;s228879;5 ;1
ague;ADJ;obj;femi;sg;agu;alia;s10142;8 ;1
ague;ADJ;obj;femi;sg;agu;guil;s172958;5 ;1
ague;ADJ;obj;femi;sg;agu;loys;s213670;29 ;1
ague;ADJ;obj;femi;sg;agu;nimc;s276653;7 ;1
ague;ADJ;suj;femi;sg;agu;anti;s21551;6 ;1
ague;ADJ;suj;femi;sg;agu;mace;s217992;5 ;1
ague;ADJ;suj;femi;sg;agu;rose;s378889;3 ;1
aguee;ADJ;suj;femi;sg;UNKNOWN;eustache;s112102;6 ;1
