word;pos;decl;gender;number;lemma;id;ref1;ref2;F
aate;ADJ;obj;femi;sg;aate;edmund;s99520;3 ;1
abitable;ADJ;suj;masc;pl;UNKNOWN;benoit;s38709;6 ;1
acceptable;ADJ;obj;femi;sg;acceptable;edmund;s99530;4 ;1
acceptable;ADJ;obj;masc;sg;acceptable;edmund;s100923;6 ;1
acceptable;ADJ;suj;femi;pl;acceptable;carem;s55003;6 ;1
acceptable;ADJ;suj;masc;sg;acceptable;carem;s54601;2 ;1
acceptable;ADJ;suj;masc;sg;acceptable;edmund;s99668;5 ;1
acetable;ADJ;suj;masc;pl;acceptable;beati;s35160;2 ;1
acitable;ADJ;suj;femi;sg;UNKNOWN;darm;s91115;5 ;1
acline;ADJ;suj;femi;sg;acliner;marga;s222092;5 ;1
acointable;ADJ;obj;femi;sg;acointable;abe;s630;4 ;1
acointe;ADJ;obj;masc;sg;acointier;vergig;s419072;6 ;1
acointe;ADJ;suj;masc;pl;acointier;remi;s350570;4 ;1
active;ADJ;obj;femi;sg;UNKNOWN;mace;s216508;4 ;1
adversaire;ADJ;suj;masc;pl;aversaire;carp;s56225;3 ;1
aerine;ADJ;obj;femi;sg;UNKNOWN;best;s47421;5 ;1
aesible;ADJ;suj;masc;pl;UNKNOWN;evrat1;s116609;5 ;1
aggreable;ADJ;obj;masc;sg;agreable;clef;s73000;6 ;1
aggreable;ADJ;suj;femi;sg;agreable;abe;s2168;8 ;1
aggreable;ADJ;suj;femi;sg;agreable;abe;s446;3 ;1
aggreable;ADJ;suj;masc;sg;agreable;clef;s74397;5 ;1
ague;ADJ;obj;femi;sg;agu;amad;s11820;30 ;1
ague;ADJ;obj;femi;sg;agu;bourg;s49861;2 ;1
ague;ADJ;obj;femi;sg;agu;loys;s213619;22 ;1
ague;ADJ;obj;femi;sg;agu;loys;s213623;26 ;1
ague;ADJ;obj;femi;sg;agu;nimb1;s273454;7 ;1
ague;ADJ;obj;femi;sg;agu;nimb2;s275003;7 ;1
ague;ADJ;suj;femi;sg;agu;conperc;s81450;6 ;1
ague;ADJ;suj;femi;sg;agu;perc;s296385;6 ;1
ague;ADJ;suj;femi;sg;agu;psautier;s333372;4 ;1
aguwe;ADJ;suj;masc;sg;UNKNOWN;edmund;s99612;6 ;1
aidable;ADJ;suj;femi;sg;aidable;gibv;s163113;7 ;1
aigre;ADJ;obj;masc;sg;aigre1-aigre2-aigre;rose;s377249;6 ;1
aigre;ADJ;suj;femi;sg;aigre1-aigre2-aigre;coinci;s78531;5 ;1
aigre;ADJ;suj;femi;sg;aigre1-aigre2-aigre;pritheo;s330977;8 ;1
airose;ADJ;suj;femi;sg;UNKNOWN;troifr;s409270;5 ;1
aise;ADJ;obj;masc;sg;aise;contre;s84616;5 ;1
aise;ADJ;suj;masc;pl;aise;verite;s423170;7 ;1
aise;ADJ;suj;masc;sg;aise;martin2;s225375;6 ;1
aispre;ADJ;suj;femi;sg;UNKNOWN;bern2;s43206;2 ;1
aisse;ADJ;suj;masc;sg;aise2;contre;s84072;2 ;1
albe;ADJ;obj;femi;sg;UNKNOWN;pseuturp;s337162;8 ;1
alegre;ADJ;obj;masc;sg;haliegre;thibo;s404535;4 ;1
alegre;ADJ;suj;femi;sg;haliegre;alia;s11178;5 ;1
alexandrine;ADJ;obj;femi;sg;UNKNOWN;lanvalH;s204064;4 ;1
aliegre;ADJ;suj;masc;pl;haliegre;thibo;s403916;5 ;1
alisaundrine;ADJ;obj;masc;sg;UNKNOWN;lanvalC;s203418;4 ;1
alise;ADJ;obj;femi;sg;alis;thA;s402063;3 ;1
alise;ADJ;obj;femi;sg;alis;thebefrag;s403405;3 ;1
