word;pos;decl;gender;number;lemma;id;ref1;ref2;F
aates;ADJ;suj;masc;pl;aate;rolandox;s359181;7 ;1
aates;ADJ;suj;masc;sg;aate;rolandox;s356800;7 ;1
abhominables;ADJ;suj;masc;sg;abominable;beati;s34652;3 ;1
abominables;ADJ;suj;masc;pl;abominable;psautier;s331670;4 ;1
acceptables;ADJ;suj;masc;sg;acceptable;carem;s54584;5 ;1
acerbes;ADJ;obj;femi;pl;acerbe;evrat1;s115651;5 ;1
aceret;ADJ;obj;masc;sg;UNKNOWN;raou;s338686;7 ;1
acointables;ADJ;suj;masc;sg;acointable;rose;s379143;4 ;1
acointes;ADJ;suj;masc;sg;acointe;meun;s232928;5 ;1
acointes;ADJ;suj;masc;sg;acointe;percevalb;s301546;7 ;1
acointes;ADJ;suj;masc;sg;acointe;ren2;s351467;6 ;1
acointes;ADJ;suj;masc;sg;acointe;rose;s379922;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergia;s413667;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergib;s414615;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergic;s415572;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergie;s416563;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergig;s418381;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergii;s420330;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergil;s422077;6 ;1
aggreables;ADJ;obj;masc;pl;agreable;clef;s73526;6 ;1
aggreables;ADJ;suj;masc;sg;agreable;abe;s74;1 ;1
agreables;ADJ;suj;masc;sg;agreable;mace;s214731;6 ;1
agres;ADJ;obj;femi;pl;UNKNOWN;beati;s33959;1 ;1
agrestes;ADJ;suj;femi;pl;UNKNOWN;evrat1;s116073;7 ;1
agues;ADJ;obj;femi;pl;agu;abreja;s2807;47 ;1
agues;ADJ;obj;femi;pl;agu;calex;s52385;6 ;1
agues;ADJ;obj;femi;pl;agu;chro;s69792;6 ;1
agues;ADJ;obj;femi;pl;agu;contre;s85506;4 ;1
agues;ADJ;obj;femi;pl;agu;romb;s361792;7 ;1
agues;ADJ;obj;femi;pl;agu;romc;s364577;7 ;1
agues;ADJ;obj;femi;pl;agu;romd;s366159;7 ;1
agues;ADJ;obj;femi;pl;agu;romk;s371895;7 ;1
agues;ADJ;obj;femi;pl;agu;roml;s373400;7 ;1
agues;ADJ;obj;femi;pl;agu;romm;s375189;7 ;1
agues;ADJ;obj;femi;pl;agu;romo;s376738;7 ;1
agues;ADJ;obj;femi;pl;agu;yonecQ;s431525;4 ;1
agues;ADJ;obj;femi;pl;agu;yzop;s439990;5 ;1
agues;ADJ;obj;femi;pl;agu;yzop;s442309;5 ;1
agues;ADJ;suj;femi;pl;agu;psautier;s332960;4 ;1
agues;ADJ;suj;femi;pl;agu;rose;s377975;2 ;1
aidables;ADJ;obj;masc;pl;aidable;chro;s69028;2 ;1
aigres;ADJ;obj;femi;pl;aigre;evrat1;s116002;2 ;1
aigres;ADJ;suj;masc;sg;aigre;ailed;s4144;1 ;1
aigres;ADJ;suj;masc;sg;aigre;ailet;s5574;1 ;1
aigres;ADJ;suj;masc;sg;aigre;bar;s31250;5 ;1
aigres;ADJ;suj;masc;sg;aigre;cass;s57815;8 ;1
aigres;ADJ;suj;masc;sg;aigre;cass;s57817;10 ;1
aigres;ADJ;suj;masc;sg;aigre;evrat1;s116486;7 ;1
aigres;ADJ;suj;masc;sg;aigre;mir;s240244;3 ;1
aigres;ADJ;suj;masc;sg;aigre;poit;s328095;5 ;1
aigres;ADJ;suj;masc;sg;aigre;poit;s329667;7 ;1
aigres;ADJ;suj;masc;sg;aigre;turp;s410115;10 ;1
aigues;ADJ;obj;femi;pl;aigue-ewe;sully2;s399266;3 ;1
aimantines;ADJ;suj;femi;pl;UNKNOWN;merm;s232262;12 ;1
alaigres;ADJ;obj;masc;pl;UNKNOWN;abreja;s2661;53 ;1
alegres;ADJ;suj;masc;sg;haliegre;thibo;s404003;4 ;1
aliegres;ADJ;suj;masc;sg;haliegre;poit;s326561;2 ;1
aliegres;ADJ;suj;masc;sg;haliegre;poit;s328742;4 ;1
aliegres;ADJ;suj;masc;sg;haliegre;turp;s409598;21 ;1
aliennes;ADJ;obj;femi;pl;alien;benoit;s39136;3 ;1
altes;ADJ;obj;femi;pl;autre;rolandox;s357940;8 ;1
altismes;ADJ;suj;masc;sg;altisme;psautier;s334627;6 ;1
