word;pos;decl;gender;number;lemma;id;ref1;ref2;F
abhominables;ADJ;suj;masc;pl;abominable;loth;s212343;8 ;1
abhominables;ADJ;suj;masc;sg;abominable;beati;s34789;1 ;1
acceptables;ADJ;suj;masc;sg;acceptable;reis;s342645;7 ;1
acointables;ADJ;suj;masc;sg;acointable;rose;s378290;1 ;1
acointes;ADJ;obj;masc;pl;acointe;mir;s238937;5 ;1
acointes;ADJ;obj;masc;pl;acointier;remi;s349147;2 ;1
acointes;ADJ;suj;masc;sg;acointe;mir;s240247;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergif;s417451;6 ;1
acointes;ADJ;suj;masc;sg;acointe;vergih;s419372;6 ;1
adjuables;ADJ;suj;masc;pl;UNKNOWN;greg2;s168047;5 ;1
aggreables;ADJ;suj;masc;pl;agreable;clef;s74634;6 ;1
agraables;ADJ;obj;femi;pl;UNKNOWN;ndchar;s262220;1 ;1
agreables;ADJ;obj;femi;pl;agreable;ndchar;s260647;4 ;1
agreables;ADJ;suj;masc;sg;agreable;amou;s16430;6 ;1
agues;ADJ;obj;femi;pl;agu;best;s46052;5 ;1
agues;ADJ;obj;femi;pl;agu;ndchar;s259012;3 ;1
agues;ADJ;obj;femi;pl;agu;nima1;s267799;8 ;1
agues;ADJ;obj;femi;pl;agu;nima3;s270343;8 ;1
agues;ADJ;obj;femi;pl;agu;nima4;s271823;8 ;1
agues;ADJ;suj;femi;pl;agu;psautier;s336295;5 ;1
agues;ADJ;suj;femi;pl;agu;rose;s378721;4 ;1
aidables;ADJ;suj;masc;sg;aidable;chro;s69980;6 ;1
aidables;ADJ;suj;masc;sg;aidable;chro;s70258;1 ;1
aidaubles;ADJ;obj;masc;pl;UNKNOWN;abreja;s2713;17 ;1
aigres;ADJ;obj;masc;pl;aigre;clef;s73849;2 ;1
aigres;ADJ;suj;masc;sg;aigre;cass;s58050;6 ;1
aigues;ADJ;obj;femi;pl;aigue-ewe;best;s45973;3 ;1
alegres;ADJ;suj;masc;sg;haliegre;alia;s10592;7 ;1
alegres;ADJ;suj;masc;sg;haliegre;thibo;s404091;6 ;1
alienes;ADJ;obj;femi;pl;alien;sergbH;s393344;2 ;1
altismes;ADJ;suj;masc;sg;altisme;psautier;s333016;4 ;1
altres;ADJ;obj;femi;pl;autre;alia;s9782;4 ;1
altres;ADJ;obj;femi;pl;autre;sergbH;s392889;3 ;1
altres;ADJ;obj;femi;pl;autre;stsilv;s395814;4 ;1
altres;ADJ;obj;masc;pl;autre;alexo;s7745;7 ;1
altres;ADJ;obj;masc;pl;autre;bern2;s41366;4 ;1
altres;ADJ;obj;masc;pl;autre;best;s47197;4 ;1
altres;ADJ;obj;masc;pl;autre;best;s47985;3 ;1
altres;ADJ;obj;masc;pl;autre;best;s48009;5 ;1
altres;ADJ;obj;masc;pl;autre;carem;s55147;10 ;1
altres;ADJ;obj;masc;pl;autre;chret1;s65219;19 ;1
altres;ADJ;obj;masc;pl;autre;chret1;s65240;22 ;1
altres;ADJ;obj;masc;pl;autre;chret2;s66908;4 ;1
altres;ADJ;obj;masc;pl;autre;evrat1;s114355;3 ;1
altres;ADJ;obj;masc;pl;autre;evrat1;s116268;5 ;1
altres;ADJ;obj;masc;pl;autre;fablesY;s151087;3 ;1
altres;ADJ;obj;masc;pl;autre;fablesY;s151105;5 ;1
altres;ADJ;obj;masc;pl;autre;fablesY;s151410;3 ;1
altres;ADJ;obj;masc;pl;autre;moral;s243452;10 ;1
altres;ADJ;obj;masc;pl;autre;moral;s243684;8 ;1
altres;ADJ;obj;masc;pl;autre;moral;s245077;2 ;1
altres;ADJ;obj;masc;pl;autre;moral;s245399;3 ;1
altres;ADJ;obj;masc;pl;autre;papgreg2;s290459;24 ;1
altres;ADJ;obj;masc;pl;autre;papgreg2;s290594;44 ;1
altres;ADJ;obj;masc;pl;autre;pera;s291781;4 ;1
altres;ADJ;obj;masc;pl;autre;perf;s307461;2 ;1
altres;ADJ;obj;masc;pl;autre;perh;s308211;4 ;1
altres;ADJ;obj;masc;pl;autre;perr;s317810;5 ;1
altres;ADJ;obj;masc;pl;autre;perr;s317858;4 ;1
altres;ADJ;obj;masc;pl;autre;reis;s341527;1 ;1
altres;ADJ;obj;masc;pl;autre;reis;s342845;9 ;1
altres;ADJ;obj;masc;pl;autre;reis;s344825;1 ;1
altres;ADJ;obj;masc;pl;autre;reis;s344909;10 ;1
altres;ADJ;obj;masc;pl;autre;reis;s344988;1 ;1
altres;ADJ;obj;masc;pl;autre;reis;s345326;5 ;1
altres;ADJ;obj;masc;pl;autre;reis;s345781;10 ;1
altres;ADJ;obj;masc;pl;autre;reis;s346207;2 ;1
altres;ADJ;obj;masc;pl;autre;reis;s346798;10 ;1
altres;ADJ;obj;masc;pl;autre;reis;s347474;6 ;1
altres;ADJ;obj;masc;pl;autre;reis;s348413;12 ;1
altres;ADJ;obj;masc;pl;autre;rolandox;s355419;6 ;1
altres;ADJ;obj;masc;pl;autre;rolandox;s355984;6 ;1
altres;ADJ;obj;masc;pl;autre;rolandox;s356134;4 ;1
altres;ADJ;obj;masc;pl;autre;rolandox;s357871;6 ;1
altres;ADJ;obj;masc;pl;autre;rolandox;s357872;3 ;1
altres;ADJ;obj;masc;pl;autre;rolandox;s358177;3 ;1
altres;ADJ;obj;masc;pl;autre;rolandox;s358783;9 ;1
altres;ADJ;obj;masc;pl;autre;rou3b;s383571;4 ;1
