word;pos;decl;gender;number;lemma;id;ref1;ref2;F
aase;ADJ;suj;masc;sg;UNKNOWN;barlaam;s32370;41;1
aate;ADJ;obj;femi;sg;aate;edmund;s99520;3;1
aates;ADJ;suj;masc;pl;aate;rolandox;s359181;7;1
aates;ADJ;suj;masc;sg;aate;rolandox;s356800;7;1
abhominables;ADJ;suj;masc;pl;abominable;loth;s212343;8;1
abhominables;ADJ;suj;masc;sg;abominable;beati;s34652;3;1
abhominables;ADJ;suj;masc;sg;abominable;beati;s34789;1;1
abitable;ADJ;suj;masc;pl;UNKNOWN;benoit;s38709;6;1
abominables;ADJ;suj;masc;pl;abominable;psautier;s331670;4;1
abondeuse;ADJ;suj;femi;sg;UNKNOWN;calen;s50638;4;1
acceptabe;ADJ;suj;femi;sg;UNKNOWN;reis;s343557;8;1
acceptable;ADJ;obj;femi;sg;acceptable;edmund;s99530;4;1
acceptable;ADJ;obj;femi;sg;acceptable;fablesA;s131573;5;1
acceptable;ADJ;obj;femi;sg;acceptable;fablesT;s148798;6;1
acceptable;ADJ;obj;masc;sg;acceptable;carem;s54508;1;1
acceptable;ADJ;obj;masc;sg;acceptable;carem;s54583;1;1
acceptable;ADJ;obj;masc;sg;acceptable;edmund;s100923;6;1
acceptable;ADJ;obj;masc;sg;acceptable;edmund;s98748;6;1
acceptable;ADJ;suj;femi;pl;acceptable;carem;s55003;6;1
acceptable;ADJ;suj;femi;sg;acceptable;chro;s69113;6;1
acceptable;ADJ;suj;femi;sg;acceptable;fablesB;s135405;5;1
acceptable;ADJ;suj;femi;sg;acceptable;fablesK;s142805;6;1
acceptable;ADJ;suj;masc;sg;acceptable;carem;s54601;2;1
acceptable;ADJ;suj;masc;sg;acceptable;edmund;s99668;5;1
acceptable;ADJ;suj;masc;sg;acceptable;reis;s344422;11;1
acceptables;ADJ;suj;masc;sg;acceptable;carem;s54584;5;1
acceptables;ADJ;suj;masc;sg;acceptable;reis;s342645;7;1
acceptauble;ADJ;suj;masc;sg;acceptable;moral2;s246452;10;1
acceptaule;ADJ;suj;femi;sg;UNKNOWN;hard;s174088;1;1
aceptable;ADJ;obj;masc;sg;acceptable;sept;s391077;5;1
aceptable;ADJ;suj;femi;sg;acceptable;myst;s252340;6;1
acerbes;ADJ;obj;femi;pl;acerbe;evrat1;s115651;5;1
aceret;ADJ;obj;masc;sg;UNKNOWN;raou;s338686;7;1
acetable;ADJ;suj;femi;sg;acceptable;fablesC;s137873;6;1
acetable;ADJ;suj;masc;pl;acceptable;beati;s35160;2;1
acherine;ADJ;suj;femi;sg;UNKNOWN;elie;s104595;9;1
acitable;ADJ;suj;femi;sg;UNKNOWN;darm;s91115;5;1
acline;ADJ;suj;femi;sg;acliner;marga;s222092;5;1
acointable;ADJ;obj;femi;sg;acointable;abe;s630;4;1
acointable;ADJ;obj;femi;sg;acointable;amou;s15930;2;1
acointable;ADJ;suj;femi;sg;acointable;clef;s72537;6;1
acointables;ADJ;suj;masc;sg;acointable;rose;s378290;1;1
acointables;ADJ;suj;masc;sg;acointable;rose;s379143;4;1
acointe;ADJ;obj;femi;sg;acointe1-acointe;ndchar;s260498;5;1
acointe;ADJ;obj;femi;sg;acointier;baisieux;s29845;6;1
acointe;ADJ;obj;masc;sg;acointier;vergib;s415280;5;1
acointe;ADJ;obj;masc;sg;acointier;vergic;s416259;6;1
acointe;ADJ;obj;masc;sg;acointier;vergig;s419068;6;1
acointe;ADJ;obj;masc;sg;acointier;vergig;s419072;6;1
acointe;ADJ;obj;masc;sg;acointier;vergih;s420036;6;1
acointe;ADJ;suj;femi;sg;acointe1-acointe;clef;s75066;7;1
acointe;ADJ;suj;femi;sg;acointier;anti;s21795;6;1
acointe;ADJ;suj;femi;sg;acointier;hista;s178654;6;1
acointe;ADJ;suj;femi;sg;acointier;rose;s377633;5;1
acointe;ADJ;suj;masc;pl;acointier;ombre;s283606;5;1
acointe;ADJ;suj;masc;pl;acointier;remi;s350570;4;1
acointe;ADJ;suj;masc;sg;acointier;best;s45069;2;1
acointes;ADJ;obj;masc;pl;acointe;mir;s238937;5;1
acointes;ADJ;obj;masc;pl;acointier;remi;s349147;2;1
acointes;ADJ;suj;masc;sg;acointe;meun;s232928;5;1
acointes;ADJ;suj;masc;sg;acointe;mir;s240247;6;1
acointes;ADJ;suj;masc;sg;acointe;percevalb;s301546;7;1
acointes;ADJ;suj;masc;sg;acointe;ren2;s351467;6;1
acointes;ADJ;suj;masc;sg;acointe;rose;s379922;6;1
acointes;ADJ;suj;masc;sg;acointe;vergia;s413667;6;1
acointes;ADJ;suj;masc;sg;acointe;vergib;s414615;6;1
acointes;ADJ;suj;masc;sg;acointe;vergic;s415572;6;1
acointes;ADJ;suj;masc;sg;acointe;vergie;s416563;6;1
acointes;ADJ;suj;masc;sg;acointe;vergif;s417451;6;1
acointes;ADJ;suj;masc;sg;acointe;vergig;s418381;6;1
acointes;ADJ;suj;masc;sg;acointe;vergih;s419372;6;1
acointes;ADJ;suj;masc;sg;acointe;vergii;s420330;6;1
acointes;ADJ;suj;masc;sg;acointe;vergil;s422077;6;1
acroze;ADJ;suj;femi;sg;UNKNOWN;troi;s407033;6;1
active;ADJ;obj;femi;sg;UNKNOWN;mace;s214902;4;1
active;ADJ;obj;femi;sg;UNKNOWN;mace;s216508;4;1
acustumere;ADJ;suj;femi;sg;UNKNOWN;guigH;s170259;5;1
adjuables;ADJ;suj;masc;pl;UNKNOWN;greg2;s168047;5;1
adroite;ADJ;obj;femi;sg;adroit;chauvency;s63161;5;1
adroite;ADJ;suj;femi;sg;adroit;chret1;s64889;5;1
adroite;ADJ;suj;femi;sg;adroit;chret2;s65986;5;1
adroite;ADJ;suj;femi;sg;adroit;hard;s173666;5;1
adroite;ADJ;suj;femi;sg;adroit;helc;s174814;56;1
adroite;ADJ;suj;femi;sg;adroit;percevalb;s304941;5;1
adroite;ADJ;suj;femi;sg;adroit;yvf;s433544;5;1
adroite;ADJ;suj;femi;sg;adroit;yvg;s434533;5;1
adroite;ADJ;suj;femi;sg;adroit;yvh;s435520;5;1
adroite;ADJ;suj;femi;sg;adroit;yvp;s436518;5;1
adroite;ADJ;suj;femi;sg;adroit;yvs;s437496;5;1
aduerse;ADJ;obj;femi;pl;UNKNOWN;wallo;s429513;13;1
adversaire;ADJ;suj;masc;pl;aversaire;carp;s56225;3;1
adverse;ADJ;suj;femi;sg;UNKNOWN;cass;s58498;2;1
adverse;ADJ;suj;femi;sg;UNKNOWN;ipo;s185562;7;1
aegre;ADJ;obj;femi;sg;UNKNOWN;papgreg2;s290276;9;1
aerine;ADJ;obj;femi;sg;UNKNOWN;best;s47421;5;1
aese;ADJ;suj;masc;sg;aaise;ipo;s185751;4;1
aesible;ADJ;suj;masc;pl;UNKNOWN;evrat1;s116609;5;1
aggraable;ADJ;obj;masc;sg;UNKNOWN;clef;s73754;5;1
aggreable;ADJ;obj;masc;sg;agreable;clef;s73000;6;1
aggreable;ADJ;suj;femi;sg;agreable;abe;s1743;2;1
aggreable;ADJ;suj;femi;sg;agreable;abe;s2168;8;1
aggreable;ADJ;suj;femi;sg;agreable;abe;s446;3;1
aggreable;ADJ;suj;femi;sg;agreable;clef;s75053;5;1
aggreable;ADJ;suj;masc;sg;agreable;clef;s73449;6;1
aggreable;ADJ;suj;masc;sg;agreable;clef;s74397;5;1
aggreables;ADJ;obj;masc;pl;agreable;clef;s73526;6;1
aggreables;ADJ;suj;masc;pl;agreable;clef;s74634;6;1
aggreables;ADJ;suj;masc;sg;agreable;abe;s74;1;1
agraable;ADJ;obj;masc;sg;UNKNOWN;ndchar;s260436;6;1
agraables;ADJ;obj;femi;pl;UNKNOWN;ndchar;s262220;1;1
agreable;ADJ;obj;masc;sg;agreable;meun;s233486;6;1
agreable;ADJ;suj;femi;sg;agreable;amou;s16858;5;1
agreable;ADJ;suj;femi;sg;agreable;amou;s18034;5;1
agreable;ADJ;suj;femi;sg;agreable;martin3;s228879;5;1
agreables;ADJ;obj;femi;pl;agreable;ndchar;s260647;4;1
agreables;ADJ;suj;masc;sg;agreable;amou;s16430;6;1
agreables;ADJ;suj;masc;sg;agreable;mace;s214731;6;1
agres;ADJ;obj;femi;pl;UNKNOWN;beati;s33959;1;1
agrestes;ADJ;suj;femi;pl;UNKNOWN;evrat1;s116073;7;1
ague;ADJ;obj;femi;sg;agu;alia;s10142;8;1
ague;ADJ;obj;femi;sg;agu;amad;s11820;30;1
ague;ADJ;obj;femi;sg;agu;bourg;s49861;2;1
ague;ADJ;obj;femi;sg;agu;guil;s172958;5;1
ague;ADJ;obj;femi;sg;agu;helc;s174969;10;1
ague;ADJ;obj;femi;sg;agu;loys;s213619;22;1
ague;ADJ;obj;femi;sg;agu;loys;s213622;36;1
ague;ADJ;obj;femi;sg;agu;loys;s213623;26;1
ague;ADJ;obj;femi;sg;agu;loys;s213670;29;1
ague;ADJ;obj;femi;sg;agu;mede;s230129;6;1
ague;ADJ;obj;femi;sg;agu;nimb1;s273454;7;1
ague;ADJ;obj;femi;sg;agu;nimb2;s275003;7;1
ague;ADJ;obj;femi;sg;agu;nimc;s276653;7;1
ague;ADJ;suj;femi;sg;agu;alia;s11385;9;1
ague;ADJ;suj;femi;sg;agu;anti;s21551;6;1
ague;ADJ;suj;femi;sg;agu;conperc;s81450;6;1
ague;ADJ;suj;femi;sg;agu;mace;s217992;5;1
ague;ADJ;suj;femi;sg;agu;perc;s296385;6;1
ague;ADJ;suj;femi;sg;agu;psautier;s333372;4;1
ague;ADJ;suj;femi;sg;agu;rose;s378889;3;1
aguee;ADJ;suj;femi;sg;UNKNOWN;eustache;s112102;6;1
agues;ADJ;obj;femi;pl;agu;abreja;s2807;47;1
agues;ADJ;obj;femi;pl;agu;best;s46052;5;1
agues;ADJ;obj;femi;pl;agu;calex;s52385;6;1
agues;ADJ;obj;femi;pl;agu;chro;s69792;6;1
agues;ADJ;obj;femi;pl;agu;contre;s85506;4;1
agues;ADJ;obj;femi;pl;agu;ndchar;s259012;3;1
agues;ADJ;obj;femi;pl;agu;nima1;s267799;8;1
agues;ADJ;obj;femi;pl;agu;nima3;s270343;8;1
agues;ADJ;obj;femi;pl;agu;nima4;s271823;8;1
agues;ADJ;obj;femi;pl;agu;romb;s361792;7;1
agues;ADJ;obj;femi;pl;agu;romc;s364577;7;1
agues;ADJ;obj;femi;pl;agu;romd;s366159;7;1
agues;ADJ;obj;femi;pl;agu;romk;s371895;7;1
agues;ADJ;obj;femi;pl;agu;roml;s373400;7;1
agues;ADJ;obj;femi;pl;agu;romm;s375189;7;1
agues;ADJ;obj;femi;pl;agu;romo;s376738;7;1
agues;ADJ;obj;femi;pl;agu;yonecQ;s431525;4;1
agues;ADJ;obj;femi;pl;agu;yzop;s439990;5;1
agues;ADJ;obj;femi;pl;agu;yzop;s442309;5;1
agues;ADJ;suj;femi;pl;agu;psautier;s332960;4;1
agues;ADJ;suj;femi;pl;agu;psautier;s336295;5;1
agues;ADJ;suj;femi;pl;agu;rose;s377975;2;1
agues;ADJ;suj;femi;pl;agu;rose;s378721;4;1
aguwe;ADJ;suj;masc;sg;UNKNOWN;edmund;s99612;6;1
aidable;ADJ;suj;femi;sg;aidable;chro;s68992;7;1
aidable;ADJ;suj;femi;sg;aidable;gibv;s163113;7;1
aidable;ADJ;suj;masc;pl;aidable;benoit;s40358;5;1
aidable;ADJ;suj;masc;pl;aidable;elie;s104311;9;1
aidable;ADJ;suj;masc;pl;aidable;rou3a;s382741;6;1
aidable;ADJ;suj;masc;sg;aidable;troifr;s408949;6;1
aidables;ADJ;obj;masc;pl;aidable;chro;s69028;2;1
aidables;ADJ;suj;masc;sg;aidable;chro;s69980;6;1
aidables;ADJ;suj;masc;sg;aidable;chro;s70258;1;1
aidaubles;ADJ;obj;masc;pl;UNKNOWN;abreja;s2713;17;1
aiese;ADJ;suj;femi;sg;UNKNOWN;roma;s360051;6;1
aigre;ADJ;obj;femi;sg;aigre1-aigre2-aigre;amad;s11755;37;1
aigre;ADJ;obj;masc;sg;aigre1-aigre2-aigre;cleom;s76389;2;1
aigre;ADJ;obj;masc;sg;aigre1-aigre2-aigre;martin2;s225888;6;1
aigre;ADJ;obj;masc;sg;aigre1-aigre2-aigre;mede;s230104;5;1
aigre;ADJ;obj;masc;sg;aigre1-aigre2-aigre;meun;s233144;6;1
aigre;ADJ;obj;masc;sg;aigre1-aigre2-aigre;mir;s240212;7;1
aigre;ADJ;obj;masc;sg;aigre1-aigre2-aigre;nic;s264186;8;1
aigre;ADJ;obj;masc;sg;aigre1-aigre2-aigre;rose;s377249;6;1
aigre;ADJ;suj;femi;sg;aigre1-aigre2-aigre;clef;s73745;2;1
aigre;ADJ;suj;femi;sg;aigre1-aigre2-aigre;coinci;s78531;5;1
aigre;ADJ;suj;femi;sg;aigre1-aigre2-aigre;mede;s230004;10;1
aigre;ADJ;suj;femi;sg;aigre1-aigre2-aigre;pritheo;s330977;8;1
aigre;ADJ;suj;femi;sg;aigre1-aigre2-aigre;ren2;s352042;5;1
aigre;ADJ;suj;masc;pl;aigre1-aigre2-aigre;cou;s90010;8;1
aigres;ADJ;obj;femi;pl;aigre;darm;s90549;7;1
aigres;ADJ;obj;femi;pl;aigre;darm;s90624;3;1
aigres;ADJ;obj;femi;pl;aigre;evrat1;s116002;2;1
aigres;ADJ;obj;masc;pl;aigre;clef;s73849;2;1
aigres;ADJ;suj;masc;sg;aigre;abreja;s2661;46;1
aigres;ADJ;suj;masc;sg;aigre;ailed;s4144;1;1
aigres;ADJ;suj;masc;sg;aigre;ailet;s5574;1;1
aigres;ADJ;suj;masc;sg;aigre;bar;s31250;5;1
aigres;ADJ;suj;masc;sg;aigre;cass;s57815;8;1
aigres;ADJ;suj;masc;sg;aigre;cass;s57817;10;1
aigres;ADJ;suj;masc;sg;aigre;cass;s58050;6;1
aigres;ADJ;suj;masc;sg;aigre;evrat1;s116486;7;1
aigres;ADJ;suj;masc;sg;aigre;mir;s240244;3;1
aigres;ADJ;suj;masc;sg;aigre;poit;s328095;5;1
aigres;ADJ;suj;masc;sg;aigre;poit;s329667;7;1
aigres;ADJ;suj;masc;sg;aigre;turp;s410115;10;1
aigues;ADJ;obj;femi;pl;aigue-ewe;best;s45973;3;1
aigues;ADJ;obj;femi;pl;aigue-ewe;sully2;s399266;3;1
aimable;ADJ;suj;masc;sg;UNKNOWN;greg2;s166114;6;1
aimantines;ADJ;suj;femi;pl;UNKNOWN;merm;s232262;12;1
aimaubles;ADJ;suj;femi;pl;UNKNOWN;barlaam;s31672;49;1
airose;ADJ;suj;femi;sg;UNKNOWN;troifr;s409270;5;1
aise;ADJ;obj;femi;sg;aise;chastoi;s60093;6;1
aise;ADJ;obj;masc;sg;aise;contre;s84616;5;1
aise;ADJ;obj;masc;sg;aise;verite;s423168;4;1
aise;ADJ;suj;femi;pl;aise;merlin;s230611;5;1
