word;pos;decl;gender;number;lemma;id;ref1;ref2;F
aa;ADJ;obj;femi;pl;UNKNOWN;nimb1;s274253;5 ;1
aa;ADJ;obj;femi;pl;UNKNOWN;yvf;s434272;6 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;mule;s250696;2 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;nima2;s270061;6 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;nimb1;s272929;3 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;nimb1;s274484;7 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s326237;1 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s326603;1 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s326946;7 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327321;2 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327373;4 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327415;6 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327464;8 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327472;7 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327558;3 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327656;2 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327796;6 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327871;1 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s327938;3 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s328012;1 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s328085;2 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s328387;4 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s329535;3 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s329999;7 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s330201;2 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s330211;5 ;1
aa;ADJ;obj;masc;pl;UNKNOWN;cambrai;s53653;8 ;1
