word;pos;decl;gender;number;lemma;id;ref1;ref2;F
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s147894;3 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s147961;1 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s148078;1 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s148215;1 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s148755;1 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s148758;3 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s148790;2 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s148800;5 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s148856;4 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s149304;1 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s149385;1 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s149412;1 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s149893;1 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s149952;6 ;1
.i.;ADJcard;NA;NA;NA;-UNKNOWN;fablesT;s149960;3 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;oct;s283472;6 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s329581;3 ;1
aa;ADJ;obj;femi;sg;UNKNOWN;poit;s330048;6 ;1
aa;ADJ;obj;masc;pl;UNKNOWN;yvs;s438026;3 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;cambrai;s53338;7 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;cambrai;s53359;7 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;cambrai;s53419;7 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;cambrai;s53680;7 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;dole;s95089;5 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;loth;s211896;6 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;loth;s212600;3 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;mous;s248061;4 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;mous;s248541;2 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;neele;s263537;4 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;nima3;s271178;7 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;nimb1;s273773;4 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;nimb1;s274138;5 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;poit;s327988;7 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;poit;s327990;3 ;1
aa;ADJ;obj;masc;sg;UNKNOWN;poit;s327992;3 ;1
aa;ADJ;suj;femi;sg;UNKNOWN;poit;s327166;2 ;1
aa;ADJ;suj;femi;sg;UNKNOWN;poit;s327885;3 ;1
aa;ADJ;suj;femi;sg;UNKNOWN;poit;s330041;3 ;1
aa;ADJ;suj;masc;sg;UNKNOWN;mous;s248550;2 ;1
aa;ADJ;suj;masc;sg;UNKNOWN;mous;s248551;2 ;1
aa;ADJ;suj;masc;sg;UNKNOWN;neele;s263447;3 ;1
aa;ADJ;suj;masc;sg;UNKNOWN;vergie;s417221;4 ;1
absent;ADJ;obj;masc;sg;absent;fierens;s158390;8 ;1
accidieus;ADJ;suj;masc;sg;accidieus;verite;s423768;4 ;1
achemans;ADJ;suj;femi;pl;UNKNOWN;miro;s240711;5 ;1
aclin;ADJ;obj;masc;sg;aclin;moral;s244147;11 ;1
aclin;ADJ;suj;masc;pl;aclin;miro;s240703;7 ;1
aclins;ADJ;suj;masc;sg;aclin;evrat1;s118147;6 ;1
aclins;ADJ;suj;masc;sg;aclin;teo2;s400878;5 ;1
