word;pos;lemma;id;ref1;ref2;F
aames;ADV;UNKNOWN;milonS;s237327;4;1
acertes;ADV;a;psautier;s331695;3;1
acertes;ADV;a;psautier;s331823;3;1
acertes;ADV;a;psautier;s331907;3;1
acertes;ADV;a;psautier;s331932;2;1
acertes;ADV;a;psautier;s331974;2;1
acertes;ADV;a;psautier;s331981;2;1
acertes;ADV;a;psautier;s332006;2;1
acertes;ADV;a;psautier;s332195;2;1
acertes;ADV;a;psautier;s332264;2;1
acertes;ADV;a;psautier;s332344;2;1
acertes;ADV;a;psautier;s332504;2;1
acertes;ADV;a;psautier;s332590;3;1
acertes;ADV;a;psautier;s332607;2;1
acertes;ADV;a;psautier;s332617;3;1
acertes;ADV;a;psautier;s332624;4;1
acertes;ADV;a;psautier;s332654;3;1
acertes;ADV;a;psautier;s332656;3;1
acertes;ADV;a;psautier;s332686;2;1
acertes;ADV;a;psautier;s332698;4;1
acertes;ADV;a;psautier;s332721;3;1
acertes;ADV;a;psautier;s332736;1;1
acertes;ADV;a;psautier;s332794;2;1
acertes;ADV;a;psautier;s332820;2;1
acertes;ADV;a;psautier;s333146;3;1
acertes;ADV;a;psautier;s333175;3;1
acertes;ADV;a;psautier;s333221;2;1
acertes;ADV;a;psautier;s333320;2;1
acertes;ADV;a;psautier;s333325;2;1
acertes;ADV;a;psautier;s333328;2;1
acertes;ADV;a;psautier;s333391;3;1
acertes;ADV;a;psautier;s333431;2;1
acertes;ADV;a;psautier;s333452;2;1
acertes;ADV;a;psautier;s333511;3;1
acertes;ADV;a;psautier;s333558;3;1
acertes;ADV;a;psautier;s333688;3;1
acertes;ADV;a;psautier;s333722;1;1
acertes;ADV;a;psautier;s333733;2;1
acertes;ADV;a;psautier;s333841;2;1
acertes;ADV;a;psautier;s333870;2;1
acertes;ADV;a;psautier;s333928;2;1
acertes;ADV;a;psautier;s334066;2;1
acertes;ADV;a;psautier;s334270;3;1
acertes;ADV;a;psautier;s334272;2;1
acertes;ADV;a;psautier;s334307;3;1
acertes;ADV;a;psautier;s334380;2;1
acertes;ADV;a;psautier;s334519;1;1
acertes;ADV;a;psautier;s334529;3;1
acertes;ADV;a;psautier;s334608;2;1
acertes;ADV;a;psautier;s334726;2;1
acertes;ADV;a;psautier;s334732;2;1
acertes;ADV;a;psautier;s334748;2;1
acertes;ADV;a;psautier;s334798;2;1
acertes;ADV;a;psautier;s334831;3;1
acertes;ADV;a;psautier;s334942;2;1
acertes;ADV;a;psautier;s334981;3;1
acertes;ADV;a;psautier;s334991;2;1
acertes;ADV;a;psautier;s335146;2;1
acertes;ADV;a;psautier;s335215;3;1
acertes;ADV;a;psautier;s335264;3;1
acertes;ADV;a;psautier;s335465;2;1
acertes;ADV;a;psautier;s335494;2;1
acertes;ADV;a;psautier;s335673;2;1
acertes;ADV;a;psautier;s335689;4;1
acertes;ADV;a;psautier;s335828;3;1
acertes;ADV;a;psautier;s335854;2;1
acertes;ADV;a;psautier;s336071;2;1
acertes;ADV;a;psautier;s336093;2;1
acertes;ADV;a;psautier;s336111;2;1
acertes;ADV;a;psautier;s336426;3;1
