word;pos;lemma;id;ref1;ref2;F
acertes;ADV;a;psautier;s331365;2;1
acertes;ADV;a;psautier;s331432;2;1
acertes;ADV;a;psautier;s331544;3;1
acertes;ADV;a;psautier;s331630;3;1
acertes;ADV;a;psautier;s331665;2;1
acertes;ADV;a;psautier;s331757;2;1
acertes;ADV;a;psautier;s331929;2;1
acertes;ADV;a;psautier;s332146;2;1
acertes;ADV;a;psautier;s332172;2;1
acertes;ADV;a;psautier;s332188;3;1
acertes;ADV;a;psautier;s332296;2;1
acertes;ADV;a;psautier;s332319;2;1
acertes;ADV;a;psautier;s332382;3;1
acertes;ADV;a;psautier;s332597;3;1
acertes;ADV;a;psautier;s332824;2;1
acertes;ADV;a;psautier;s333173;3;1
acertes;ADV;a;psautier;s333304;2;1
acertes;ADV;a;psautier;s333554;2;1
acertes;ADV;a;psautier;s333802;4;1
acertes;ADV;a;psautier;s333906;2;1
acertes;ADV;a;psautier;s334039;3;1
acertes;ADV;a;psautier;s334109;2;1
acertes;ADV;a;psautier;s334625;3;1
acertes;ADV;a;psautier;s334660;2;1
acertes;ADV;a;psautier;s334720;4;1
acertes;ADV;a;psautier;s335176;4;1
acertes;ADV;a;psautier;s335180;2;1
acertes;ADV;a;psautier;s335418;3;1
acertes;ADV;a;psautier;s335564;3;1
acertes;ADV;a;psautier;s335588;3;1
acertes;ADV;a;psautier;s335636;2;1
acertes;ADV;a;psautier;s335800;4;1
acertes;ADV;a;psautier;s336075;2;1
aces;ADV;aces1-aces2;edmund;s100069;2;1
acez;ADV;assez;ipo;s190127;1;1
ades;ADV;adès;abreja;s2697;11;1
ades;ADV;adès;anth;s19633;2;1
ades;ADV;adès;baisieux;s29829;2;1
ades;ADV;adès;barlaam;s31712;30;1
ades;ADV;adès;beati;s34250;2;1
ades;ADV;adès;beati;s35052;3;1
ades;ADV;adès;beati;s35229;2;1
ades;ADV;adès;beati;s35249;1;1
ades;ADV;adès;beati;s35286;3;1
ades;ADV;adès;bern2;s41576;3;1
ades;ADV;adès;bern2;s42570;6;1
ades;ADV;adès;bern2;s42641;3;1
ades;ADV;adès;bern2;s42720;7;1
ades;ADV;adès;bern2;s42724;2;1
ades;ADV;adès;bern2;s42731;7;1
ades;ADV;adès;bern2;s42788;3;1
ades;ADV;adès;besant;s44045;6;1
ades;ADV;adès;best;s44567;7;1
