word;pos;lemma;id;ref1;ref2;F
adese;ADV;adeser;ipo;s185122;5;1
adonque;ADV;adonc;amou;s17011;3;1
ae;ADV;ëage;dole;s94744;5;1
aiere;ADV;UNKNOWN;bern2;s41367;2;1
ainzque;ADV;ainz;vergic;s415938;1;1
ainzque;ADV;ainz;vergig;s418747;1;1
airiere;ADV;UNKNOWN;fablesT;s150026;2;1
ancore;ADV;encore;barlaam;s31655;8;1
ancore;ADV;encore;barlaam;s31826;25;1
ancore;ADV;encore;barlaam;s32027;8;1
ancore;ADV;encore;barlaam;s32191;1;1
ancore;ADV;encore;beati;s35032;2;1
ancore;ADV;encore;bourg;s49888;6;1
ancore;ADV;encore;contre;s85314;2;1
ancore;ADV;encore;contro;s87119;7;1
ancore;ADV;encore;contro;s87558;5;1
ancore;ADV;encore;evrat1;s117848;6;1
ancore;ADV;encore;meun;s232866;4;1
ancore;ADV;encore;orso;s286183;1;1
ancore;ADV;encore;percevalb;s302191;5;1
ancore;ADV;encore;percevalb;s303784;7;1
ancore;ADV;encore;perl;s310185;8;1
ancore;ADV;encore;raou;s338752;3;1
ancore;ADV;encore;sully2;s396630;3;1
ancore;ADV;encore;sully2;s396912;3;1
ancore;ADV;encore;sully2;s396954;2;1
ancore;ADV;encore;sully2;s397401;3;1
ancore;ADV;encore;sully2;s397683;2;1
ancore;ADV;encore;sully2;s397690;7;1
ancore;ADV;encore;sully2;s399485;4;1
ancore;ADV;encore;sully2;s399493;7;1
ancore;ADV;encore;sully2;s400174;8;1
ancore;ADV;encore;sully2;s400218;8;1
ancore;ADV;encore;sully2;s400820;1;1
ancoste;ADV;encoste;contro;s87577;1;1
aneire;ADV;UNKNOWN;edmund;s98634;5;1
anesleure;ADV;UNKNOWN;contro;s87520;1;1
aneslore;ADV;UNKNOWN;eneas;s107787;1;1
anquore;ADV;encore;fetrom;s153434;4;1
ansamble;ADV;ensemble;bourg;s49395;6;1
ansamble;ADV;ensemble;contre;s84033;4;1
ansamble;ADV;ensemble;contro;s86047;2;1
ansamble;ADV;ensemble;contro;s86557;7;1
ansamble;ADV;ensemble;contro;s86738;6;1
ansamble;ADV;ensemble;fablesT;s148623;4;1
ansamble;ADV;ensemble;malk;s221154;4;1
ansamble;ADV;ensemble;orso;s285704;3;1
ansamble;ADV;ensemble;perq;s317410;4;1
ansanble;ADV;ensemble;chret2;s67255;6;1
ansanble;ADV;ensemble;chret2;s68623;6;1
ansanble;ADV;ensemble;chret2;s68626;4;1
ansanble;ADV;ensemble;eneas;s107455;1;1
ansanble;ADV;ensemble;fab4e;s121305;6;1
ansanble;ADV;ensemble;floov;s159913;4;1
ansanble;ADV;ensemble;floov;s160028;3;1
ansanble;ADV;ensemble;floov;s160341;4;1
ansanble;ADV;ensemble;pera;s292128;6;1
ansanble;ADV;ensemble;pera;s293497;6;1
ansanble;ADV;ensemble;pera;s293500;4;1
ansanble;ADV;ensemble;percevalb;s299495;4;1
ansanble;ADV;ensemble;percevalb;s300681;6;1
ansanble;ADV;ensemble;percevalb;s305467;2;1
ansanble;ADV;ensemble;ren2;s352067;3;1
ansemble;ADV;ensemble;barril;s32767;8;1
ansemble;ADV;ensemble;fablesL;s145338;4;1
ansemble;ADV;ensemble;percevalb;s304801;6;1
ansenble;ADV;ensemble;fablesL;s145738;1;1
ansinque;ADV;ainsi;contre;s82238;4;1
ansinque;ADV;ainsi;contre;s83541;2;1
ansinque;ADV;ainsi;contre;s83712;1;1
ansinque;ADV;ainsi;contre;s83718;1;1
ansinque;ADV;ainsi;contre;s84202;2;1
ansinque;ADV;ainsi;contre;s85215;1;1
ansinque;ADV;ainsi;contre;s85625;1;1
areire;ADV;ariere;alia;s11272;3;1
areire;ADV;ariere;alia;s9973;2;1
areire;ADV;ariere;modw;s241659;2;1
areire;ADV;ariere;modw;s242656;4;1
areire;ADV;ariere;thA;s402067;4;1
areire;ADV;ariere;thebefrag;s403409;4;1
areire;ADV;ariere;turp;s410089;9;1
arere;ADV;ariere;alia;s11177;7;1
arere;ADV;ariere;alia;s11186;1;1
arere;ADV;ariere;alia;s11473;4;1
arere;ADV;ariere;best;s46374;6;1
arere;ADV;ariere;best;s46945;5;1
arere;ADV;ariere;best;s48050;8;1
arere;ADV;ariere;best;s48261;5;1
arere;ADV;ariere;edmond;s97253;1;1
arere;ADV;ariere;edmund;s98830;8;1
arere;ADV;ariere;fablesA;s129407;1;1
arere;ADV;ariere;fablesA;s131207;1;1
arere;ADV;ariere;fablesA;s132571;6;1
arere;ADV;ariere;fablesA;s132844;5;1
arere;ADV;ariere;fablesA;s132853;3;1
arere;ADV;ariere;fablesE1;s141064;1;1
arere;ADV;ariere;ipo;s186708;6;1
arere;ADV;ariere;ipo;s189521;5;1
arere;ADV;ariere;ipo;s189785;6;1
arere;ADV;ariere;ipo;s190423;1;1
arere;ADV;ariere;ipo;s192802;3;1
arere;ADV;ariere;ipo;s192856;6;1
arere;ADV;ariere;ipo;s194038;6;1
arere;ADV;ariere;ipo;s194146;5;1
arere;ADV;ariere;ipo;s194185;5;1
arere;ADV;ariere;ipo;s194237;6;1
arere;ADV;ariere;ipo;s194719;6;1
arere;ADV;ariere;lanvalC;s203511;3;1
arere;ADV;ariere;lanvalC;s203550;5;1
arere;ADV;ariere;lanvalC;s203551;5;1
arere;ADV;ariere;milunH;s238018;3;1
arere;ADV;ariere;perh;s308045;5;1
arere;ADV;ariere;roma;s359455;3;1
arere;ADV;ariere;roma;s359477;1;1
arere;ADV;ariere;roma;s359762;4;1
arere;ADV;ariere;roma;s360519;1;1
arere;ADV;ariere;sergbH;s392191;3;1
arerre;ADV;ariere;alia;s9830;5;1
