word;pos;lemma;id;ref1;ref2;F
ambure;ADV;ambore;fablesB;s134435;1;1
ambure;ADV;ambore;gibv;s163292;1;1
ancore;ADV;encore;barlaam;s32180;6;1
ancore;ADV;encore;barlaam;s32224;35;1
ancore;ADV;encore;contre;s84152;6;1
ancore;ADV;encore;percevalb;s304643;6;1
ancore;ADV;encore;sully2;s397375;4;1
ancore;ADV;encore;sully2;s398639;7;1
ancore;ADV;encore;sully2;s399487;3;1
ancore;ADV;encore;sully2;s400771;6;1
aneire;ADV;UNKNOWN;edmund;s100064;6;1
aneire;ADV;UNKNOWN;edmund;s101673;5;1
anquore;ADV;encore;fetrom;s153159;3;1
ansamble;ADV;ensemble;contre;s84218;6;1
ansamble;ADV;ensemble;contro;s87461;5;1
ansamble;ADV;ensemble;contro;s87485;1;1
ansamble;ADV;ensemble;orso;s287094;3;1
ansanble;ADV;ensemble;calen;s50198;6;1
ansanble;ADV;ensemble;chret2;s66667;4;1
ansanble;ADV;ensemble;chret2;s67896;6;1
ansanble;ADV;ensemble;cordres;s89301;3;1
ansanble;ADV;ensemble;epee;s110518;3;1
ansanble;ADV;ensemble;fab4e;s121146;2;1
ansanble;ADV;ensemble;nimd;s278246;5;1
ansanble;ADV;ensemble;nimd;s278263;6;1
ansanble;ADV;ensemble;nimd;s278274;6;1
ansanble;ADV;ensemble;pera;s292769;6;1
ansanble;ADV;ensemble;percevalb;s300371;2;1
ansanble;ADV;ensemble;yvh;s436201;4;1
ansemble;ADV;ensemble;fablesL;s145122;4;1
anssanble;ADV;ensemble;fab4e;s121371;3;1
aore;ADV;aorer2-aorer;reis;s345734;5;1
areire;ADV;ariere;martin1;s223721;8;1
areire;ADV;ariere;modw;s242980;2;1
areire;ADV;ariere;modw;s243005;3;1
areire;ADV;ariere;turp;s410021;12;1
areirre;ADV;ariere;poit;s327106;8;1
arere;ADV;ariere;aileg;s4982;6;1
arere;ADV;ariere;elid;s103242;6;1
arere;ADV;ariere;gibv;s163306;3;1
arere;ADV;ariere;greg2;s168027;1;1
arere;ADV;ariere;ipo;s189626;7;1
arere;ADV;ariere;ipo;s193832;6;1
arere;ADV;ariere;ipo;s193865;6;1
arere;ADV;ariere;ipo;s194044;5;1
arere;ADV;ariere;ipo;s194432;6;1
arere;ADV;ariere;modw;s241650;3;1
arere;ADV;ariere;perh;s307914;3;1
arere;ADV;ariere;perh;s308419;7;1
arere;ADV;ariere;psautier;s332483;3;1
arere;ADV;ariere;sergbH;s392019;4;1
arere;ADV;ariere;sergbH;s392270;6;1
arere;ADV;ariere;sergbH;s393344;7;1
ariere;ADV;ariere;aileb;s3972;6;1
ariere;ADV;ariere;amou;s15615;5;1
ariere;ADV;ariere;amou;s16353;5;1
ariere;ADV;ariere;anth;s18305;6;1
ariere;ADV;ariere;arr;s22293;6;1
ariere;ADV;ariere;arr;s22317;5;1
ariere;ADV;ariere;arr;s22521;2;1
ariere;ADV;ariere;arr;s22523;2;1
ariere;ADV;ariere;arr;s22592;3;1
ariere;ADV;ariere;arr;s22613;1;1
ariere;ADV;ariere;arr;s22658;4;1
ariere;ADV;ariere;arr;s23164;4;1
ariere;ADV;ariere;arr;s23530;1;1
ariere;ADV;ariere;arr;s23701;1;1
ariere;ADV;ariere;bodo;s48755;5;1
ariere;ADV;ariere;cambrai;s53464;5;1
ariere;ADV;ariere;carp;s57096;2;1
ariere;ADV;ariere;chro;s69491;7;1
ariere;ADV;ariere;clari2;s71446;4;1
ariere;ADV;ariere;clari2;s71460;7;1
ariere;ADV;ariere;clari2;s71484;26;1
ariere;ADV;ariere;clari2;s71536;23;1
ariere;ADV;ariere;clari2;s71615;9;1
ariere;ADV;ariere;clari2;s71681;5;1
ariere;ADV;ariere;clari2;s71782;20;1
ariere;ADV;ariere;clari2;s72009;5;1
ariere;ADV;ariere;clari2;s72023;29;1
ariere;ADV;ariere;coinci;s78116;3;1
ariere;ADV;ariere;contro;s87165;7;1
ariere;ADV;ariere;contro;s87727;6;1
ariere;ADV;ariere;desp;s91852;7;1
ariere;ADV;ariere;edmund;s100810;7;1
ariere;ADV;ariere;edmund;s98738;7;1
ariere;ADV;ariere;elid;s103147;4;1
ariere;ADV;ariere;elie;s104175;4;1
ariere;ADV;ariere;eneas;s106939;5;1
ariere;ADV;ariere;enf;s108705;7;1
ariere;ADV;ariere;enf;s108946;6;1
ariere;ADV;ariere;enf;s109635;6;1
ariere;ADV;ariere;eustache;s112116;7;1
ariere;ADV;ariere;evratC2;s120166;5;1
ariere;ADV;ariere;fabj;s128346;6;1
ariere;ADV;ariere;fablesM;s146302;5;1
ariere;ADV;ariere;gorm;s164463;1;1
ariere;ADV;ariere;gorm;s164495;1;1
ariere;ADV;ariere;gorm;s164540;1;1
ariere;ADV;ariere;gorm;s164589;1;1
ariere;ADV;ariere;gorm;s164615;1;1
ariere;ADV;ariere;greg2;s166567;5;1
ariere;ADV;ariere;greg2;s167862;6;1
ariere;ADV;ariere;greg2;s168207;2;1
ariere;ADV;ariere;guil;s172906;6;1
ariere;ADV;ariere;hista;s177530;6;1
ariere;ADV;ariere;hista;s177639;2;1
ariere;ADV;ariere;hista;s177716;4;1
ariere;ADV;ariere;hista;s177737;6;1
ariere;ADV;ariere;hista;s177748;2;1
ariere;ADV;ariere;hista;s178149;7;1
ariere;ADV;ariere;hista;s178501;1;1
ariere;ADV;ariere;hista;s179331;2;1
ariere;ADV;ariere;hista;s180365;6;1
ariere;ADV;ariere;hista;s180494;4;1
ariere;ADV;ariere;hista;s180659;1;1
ariere;ADV;ariere;hista;s180696;5;1
ariere;ADV;ariere;hista;s181442;7;1
ariere;ADV;ariere;hista;s181476;6;1
ariere;ADV;ariere;hista;s181557;5;1
ariere;ADV;ariere;joinv;s197573;10;1
ariere;ADV;ariere;lanc;s202695;9;1
ariere;ADV;ariere;martin2;s226283;6;1
ariere;ADV;ariere;maur;s229708;1;1
ariere;ADV;ariere;meun;s234265;7;1
ariere;ADV;ariere;modw;s242973;2;1
ariere;ADV;ariere;mous;s247688;7;1
ariere;ADV;ariere;mous;s249999;6;1
ariere;ADV;ariere;or_relemma;s284774;5;1
ariere;ADV;ariere;pap;s288468;1;1
