word;pos;lemma;id;ref1;ref2;F
aames;ADV;UNKNOWN;milonS;s237327;4;1
acertes;ADV;a;psautier;s331365;2;1
acertes;ADV;a;psautier;s331432;2;1
acertes;ADV;a;psautier;s331544;3;1
acertes;ADV;a;psautier;s331630;3;1
acertes;ADV;a;psautier;s331665;2;1
acertes;ADV;a;psautier;s331695;3;1
acertes;ADV;a;psautier;s331757;2;1
acertes;ADV;a;psautier;s331823;3;1
acertes;ADV;a;psautier;s331907;3;1
acertes;ADV;a;psautier;s331929;2;1
acertes;ADV;a;psautier;s331932;2;1
acertes;ADV;a;psautier;s331974;2;1
acertes;ADV;a;psautier;s331981;2;1
acertes;ADV;a;psautier;s332006;2;1
acertes;ADV;a;psautier;s332146;2;1
acertes;ADV;a;psautier;s332172;2;1
acertes;ADV;a;psautier;s332188;3;1
acertes;ADV;a;psautier;s332195;2;1
acertes;ADV;a;psautier;s332264;2;1
acertes;ADV;a;psautier;s332296;2;1
acertes;ADV;a;psautier;s332319;2;1
acertes;ADV;a;psautier;s332344;2;1
acertes;ADV;a;psautier;s332382;3;1
acertes;ADV;a;psautier;s332504;2;1
acertes;ADV;a;psautier;s332590;3;1
acertes;ADV;a;psautier;s332593;3;1
acertes;ADV;a;psautier;s332597;3;1
acertes;ADV;a;psautier;s332607;2;1
acertes;ADV;a;psautier;s332617;3;1
acertes;ADV;a;psautier;s332624;4;1
acertes;ADV;a;psautier;s332654;3;1
acertes;ADV;a;psautier;s332656;3;1
acertes;ADV;a;psautier;s332686;2;1
acertes;ADV;a;psautier;s332698;4;1
acertes;ADV;a;psautier;s332721;3;1
acertes;ADV;a;psautier;s332736;1;1
acertes;ADV;a;psautier;s332794;2;1
acertes;ADV;a;psautier;s332820;2;1
acertes;ADV;a;psautier;s332824;2;1
acertes;ADV;a;psautier;s333146;3;1
acertes;ADV;a;psautier;s333173;3;1
acertes;ADV;a;psautier;s333175;3;1
acertes;ADV;a;psautier;s333221;2;1
acertes;ADV;a;psautier;s333304;2;1
acertes;ADV;a;psautier;s333320;2;1
acertes;ADV;a;psautier;s333325;2;1
acertes;ADV;a;psautier;s333328;2;1
acertes;ADV;a;psautier;s333391;3;1
acertes;ADV;a;psautier;s333431;2;1
acertes;ADV;a;psautier;s333452;2;1
acertes;ADV;a;psautier;s333511;3;1
acertes;ADV;a;psautier;s333554;2;1
acertes;ADV;a;psautier;s333558;3;1
acertes;ADV;a;psautier;s333688;3;1
acertes;ADV;a;psautier;s333699;3;1
acertes;ADV;a;psautier;s333722;1;1
acertes;ADV;a;psautier;s333733;2;1
acertes;ADV;a;psautier;s333802;4;1
acertes;ADV;a;psautier;s333841;2;1
acertes;ADV;a;psautier;s333870;2;1
acertes;ADV;a;psautier;s333906;2;1
acertes;ADV;a;psautier;s333928;2;1
acertes;ADV;a;psautier;s334039;3;1
acertes;ADV;a;psautier;s334066;2;1
acertes;ADV;a;psautier;s334109;2;1
acertes;ADV;a;psautier;s334270;3;1
acertes;ADV;a;psautier;s334272;2;1
acertes;ADV;a;psautier;s334307;3;1
acertes;ADV;a;psautier;s334380;2;1
acertes;ADV;a;psautier;s334519;1;1
acertes;ADV;a;psautier;s334529;3;1
acertes;ADV;a;psautier;s334608;2;1
acertes;ADV;a;psautier;s334625;3;1
acertes;ADV;a;psautier;s334660;2;1
acertes;ADV;a;psautier;s334720;4;1
acertes;ADV;a;psautier;s334726;2;1
acertes;ADV;a;psautier;s334732;2;1
acertes;ADV;a;psautier;s334748;2;1
acertes;ADV;a;psautier;s334798;2;1
acertes;ADV;a;psautier;s334831;3;1
acertes;ADV;a;psautier;s334866;2;1
acertes;ADV;a;psautier;s334942;2;1
acertes;ADV;a;psautier;s334981;3;1
acertes;ADV;a;psautier;s334991;2;1
acertes;ADV;a;psautier;s335146;2;1
acertes;ADV;a;psautier;s335176;4;1
acertes;ADV;a;psautier;s335180;2;1
acertes;ADV;a;psautier;s335215;3;1
acertes;ADV;a;psautier;s335264;3;1
acertes;ADV;a;psautier;s335418;3;1
acertes;ADV;a;psautier;s335465;2;1
acertes;ADV;a;psautier;s335494;2;1
acertes;ADV;a;psautier;s335564;3;1
acertes;ADV;a;psautier;s335588;3;1
acertes;ADV;a;psautier;s335636;2;1
acertes;ADV;a;psautier;s335673;2;1
acertes;ADV;a;psautier;s335689;4;1
acertes;ADV;a;psautier;s335800;4;1
acertes;ADV;a;psautier;s335828;3;1
acertes;ADV;a;psautier;s335854;2;1
acertes;ADV;a;psautier;s336071;2;1
acertes;ADV;a;psautier;s336075;2;1
acertes;ADV;a;psautier;s336093;2;1
acertes;ADV;a;psautier;s336111;2;1
acertes;ADV;a;psautier;s336426;3;1
acertes;ADV;a;psautier;s336677;2;1
acertes;ADV;a;psautier;s336701;3;1
aces;ADV;aces1-aces2;edmund;s100069;2;1
aces;ADV;UNKNOWN;pap;s287856;1;1
acez;ADV;assez;aileg;s4688;6;1
acez;ADV;assez;contre;s84152;1;1
acez;ADV;assez;fablesL;s143903;4;1
acez;ADV;assez;fablesL;s144339;7;1
acez;ADV;assez;ipo;s190127;1;1
adecertes;ADV;adecertes;ipo;s194022;5;1
adecertes;ADV;adecertes;psautier;s333523;2;1
ades;ADV;adès;abreja;s2505;27;1
ades;ADV;adès;abreja;s2697;11;1
ades;ADV;adès;alexo;s8442;2;1
ades;ADV;adès;amou;s16468;2;1
ades;ADV;adès;amou;s16690;5;1
ades;ADV;adès;amou;s16794;2;1
ades;ADV;adès;anth;s18660;5;1
ades;ADV;adès;anth;s19373;7;1
ades;ADV;adès;anth;s19465;7;1
ades;ADV;adès;anth;s19633;2;1
ades;ADV;adès;arr;s22102;3;1
ades;ADV;adès;arr;s22801;4;1
ades;ADV;adès;athi;s26203;5;1
ades;ADV;adès;avu;s28900;5;1
ades;ADV;adès;avu;s28901;4;1
ades;ADV;adès;avu;s28958;5;1
ades;ADV;adès;avu;s29128;2;1
ades;ADV;adès;baisieux;s29829;2;1
ades;ADV;adès;baisieux;s29845;1;1
ades;ADV;adès;baisieux;s30130;4;1
ades;ADV;adès;baisieux;s30353;4;1
ades;ADV;adès;bar;s30598;2;1
ades;ADV;adès;barlaam;s31712;30;1
ades;ADV;adès;barlaam;s31717;12;1
ades;ADV;adès;beati;s34250;2;1
ades;ADV;adès;beati;s34405;8;1
ades;ADV;adès;beati;s34690;6;1
ades;ADV;adès;beati;s34891;4;1
ades;ADV;adès;beati;s35047;2;1
ades;ADV;adès;beati;s35052;3;1
ades;ADV;adès;beati;s35208;5;1
ades;ADV;adès;beati;s35229;2;1
ades;ADV;adès;beati;s35249;1;1
ades;ADV;adès;beati;s35286;3;1
ades;ADV;adès;benoit;s39373;4;1
ades;ADV;adès;benoit;s39636;6;1
ades;ADV;adès;bern2;s41572;4;1
ades;ADV;adès;bern2;s41576;3;1
ades;ADV;adès;bern2;s42382;2;1
ades;ADV;adès;bern2;s42383;3;1
ades;ADV;adès;bern2;s42570;6;1
ades;ADV;adès;bern2;s42641;3;1
ades;ADV;adès;bern2;s42641;7;1
ades;ADV;adès;bern2;s42720;7;1
ades;ADV;adès;bern2;s42724;2;1
ades;ADV;adès;bern2;s42731;7;1
ades;ADV;adès;bern2;s42788;3;1
ades;ADV;adès;besant;s44045;6;1
ades;ADV;adès;best;s44567;7;1
ades;ADV;adès;best;s44627;3;1
ades;ADV;adès;best;s44936;5;1
ades;ADV;adès;best;s45147;5;1
ades;ADV;adès;best;s45491;4;1
ades;ADV;adès;best;s45628;2;1
ades;ADV;adès;best;s45828;3;1
ades;ADV;adès;best;s45967;3;1
ades;ADV;adès;best;s46141;3;1
ades;ADV;adès;best;s46237;4;1
ades;ADV;adès;best;s46251;2;1
