word;POS;POStype;lemma;id;ref1;ref2;F
come;CON;subord;come_relemma;abreja;s2503;37 ;1
come;CON;subord;come_relemma;abreja;s2675;14 ;1
come;CON;subord;come_relemma;abreja;s2700;23 ;1
come;CON;subord;come_relemma;abreja;s2811;26 ;1
come;CON;subord;come_relemma;abreja;s2881;17 ;1
come;CON;subord;come_relemma;best;s44556;3 ;1
come;CON;subord;come_relemma;calex;s52126;1 ;1
come;CON;subord;come_relemma;chastoi;s61517;1 ;1
come;CON;subord;come_relemma;chauvency;s62645;2 ;1
come;CON;subord;come_relemma;chauvency;s63057;5 ;1
come;CON;subord;come_relemma;chauvency;s63566;1 ;1
come;CON;subord;come_relemma;clef;s73183;5 ;1
come;CON;subord;come_relemma;conperc;s80916;1 ;1
come;CON;subord;come_relemma;conperc;s81418;2 ;1
come;CON;subord;come_relemma;conperc;s81729;1 ;1
come;CON;subord;come_relemma;conperc;s82007;2 ;1
come;CON;subord;come_relemma;conperc;s82097;1 ;1
come;CON;subord;come_relemma;fablesE1;s139256;2 ;1
come;CON;subord;come_relemma;fablesE1;s139697;5 ;1
come;CON;subord;come_relemma;fablesE1;s139804;1 ;1
come;CON;subord;come_relemma;fablesE1;s139829;5 ;1
come;CON;subord;come_relemma;fablesE1;s140145;2 ;1
come;CON;subord;come_relemma;fablesE1;s140676;1 ;1
come;CON;subord;come_relemma;fablesE1;s140919;4 ;1
come;CON;subord;come_relemma;fablesE1;s141043;4 ;1
come;CON;subord;come_relemma;fablesL;s143823;2 ;1
come;CON;subord;come_relemma;fablesL;s144164;2 ;1
come;CON;subord;come_relemma;fablesT;s149544;1 ;1
come;CON;subord;come_relemma;fablesZ;s151989;2 ;1
come;CON;subord;come_relemma;fetrom;s153748;2 ;1
come;CON;subord;come_relemma;fetrom;s154074;3 ;1
come;CON;subord;come_relemma;fetrom;s154324;4 ;1
come;CON;subord;come_relemma;fetrom;s154334;4 ;1
come;CON;subord;come_relemma;gerv;s161687;4 ;1
come;CON;subord;come_relemma;herm;s175165;2 ;1
come;CON;subord;come_relemma;hista;s180986;1 ;1
come;CON;subord;come_relemma;ipo;s184670;2 ;1
come;CON;subord;come_relemma;jaco;s195406;4 ;1
come;CON;subord;come_relemma;juda;s201183;1 ;1
come;CON;subord;come_relemma;juda;s201570;3 ;1
come;CON;subord;come_relemma;lanvalC;s203823;2 ;1
come;CON;subord;come_relemma;maur;s229413;1 ;1
come;CON;subord;come_relemma;maur;s229629;2 ;1
come;CON;subord;come_relemma;maur;s229632;3 ;1
come;CON;subord;come_relemma;maur;s229635;5 ;1
come;CON;subord;come_relemma;maur;s229810;3 ;1
come;CON;subord;come_relemma;maur;s229942;4 ;1
come;CON;subord;come_relemma;merm;s231960;2 ;1
come;CON;subord;come_relemma;mortartu;s247220;21 ;1
come;CON;subord;come_relemma;ndchar;s258658;2 ;1
come;CON;subord;come_relemma;ndchar;s259835;2 ;1
come;CON;subord;come_relemma;ndchar;s259854;2 ;1
come;CON;subord;come_relemma;ndchar;s261280;2 ;1
come;CON;subord;come_relemma;nima4;s271660;1 ;1
come;CON;subord;come_relemma;nima4;s272434;2 ;1
come;CON;subord;come_relemma;nima4;s272543;1 ;1
come;CON;subord;come_relemma;oakbook;s282286;3 ;1
come;CON;subord;come_relemma;oakbook;s282433;12 ;1
come;CON;subord;come_relemma;oct;s282871;3 ;1
come;CON;subord;come_relemma;oct;s283363;3 ;1
come;CON;subord;come_relemma;ombre;s283704;4 ;1
come;CON;subord;come_relemma;ombre;s283792;2 ;1
come;CON;subord;come_relemma;ombre;s284327;1 ;1
come;CON;subord;come_relemma;ombre;s284476;6 ;1
come;CON;subord;come_relemma;pen;s290849;9 ;1
come;CON;subord;come_relemma;pen;s290936;4 ;1
come;CON;subord;come_relemma;pen;s291145;4 ;1
come;CON;subord;come_relemma;pen;s291229;3 ;1
come;CON;subord;come_relemma;pen;s291333;10 ;1
come;CON;subord;come_relemma;pen;s291573;8 ;1
come;CON;subord;come_relemma;perc;s295851;1 ;1
come;CON;subord;come_relemma;perc;s296353;2 ;1
come;CON;subord;come_relemma;perc;s296664;1 ;1
come;CON;subord;come_relemma;perc;s296942;2 ;1
come;CON;subord;come_relemma;perc;s297032;1 ;1
come;CON;subord;come_relemma;pert;s321468;1 ;1
come;CON;subord;come_relemma;pert;s322617;2 ;1
come;CON;subord;come_relemma;pert;s322744;2 ;1
come;CON;subord;come_relemma;pert;s323074;1 ;1
come;CON;subord;come_relemma;pseuturp;s336947;1 ;1
come;CON;subord;come_relemma;pseuturp;s337210;2 ;1
come;CON;subord;come_relemma;pseuturp;s337211;3 ;1
come;CON;subord;come_relemma;pseuturp;s337220;6 ;1
come;CON;subord;come_relemma;pseuturp;s337246;12 ;1
come;CON;subord;come_relemma;pseuturp;s337470;19 ;1
come;CON;subord;come_relemma;queste;s337763;4 ;1
come;CON;subord;come_relemma;queste;s337929;9 ;1
come;CON;subord;come_relemma;queste;s338161;10 ;1
come;CON;subord;come_relemma;queste;s338169;54 ;1
come;CON;subord;come_relemma;queste;s338254;9 ;1
come;CON;subord;come_relemma;roma;s359907;4 ;1
come;CON;subord;come_relemma;roma;s360002;1 ;1
come;CON;subord;come_relemma;romh;s368491;1 ;1
come;CON;subord;come_relemma;romh;s369456;3 ;1
come;CON;subord;come_relemma;rose;s377098;5 ;1
come;CON;subord;come_relemma;rose;s377385;3 ;1
come;CON;subord;come_relemma;rose;s377809;1 ;1
come;CON;subord;come_relemma;rose;s378182;3 ;1
come;CON;subord;come_relemma;rose;s378194;5 ;1
come;CON;subord;come_relemma;rose;s378859;1 ;1
come;CON;subord;come_relemma;rose;s380156;2 ;1
come;CON;subord;come_relemma;rose;s380416;3 ;1
come;CON;subord;come_relemma;rose;s380884;4 ;1
come;CON;subord;come_relemma;rose;s381049;2 ;1
come;CON;subord;come_relemma;stsilv;s396461;1 ;1
come;CON;subord;come_relemma;stsilv;s396503;4 ;1
come;CON;subord;come_relemma;troi;s406828;7 ;1
come;CON;subord;come_relemma;yvg;s434601;3 ;1
come;CON;subord;come_relemma;yvg;s434723;4 ;1
come;CON;subord;come_relemma;yvg;s435214;1 ;1
come;CON;subord;come_relemma;yzop;s439705;2 ;1
come;CON;subord;come_relemma;yzop;s440253;2 ;1
come;CON;subord;come_relemma;yzop;s440738;4 ;1
come;CON;subord;come_relemma;yzop;s441776;1 ;1
come;CON;subord;come_relemma;yzop;s441918;4 ;1
come;CON;subord;come_relemma;yzop;s442021;2 ;1
come;CON;subord;come_relemma;yzop;s442104;2 ;1
come;CON;subord;come_relemma;yzop;s442412;3 ;1
comme;CON;subord;come_relemma;abe;s1151;1 ;1
comme;CON;subord;come_relemma;abe;s1409;3 ;1
comme;CON;subord;come_relemma;abe;s1469;2 ;1
comme;CON;subord;come_relemma;abe;s1658;6 ;1
comme;CON;subord;come_relemma;abe;s1663;3 ;1
comme;CON;subord;come_relemma;abe;s1666;7 ;1
comme;CON;subord;come_relemma;abe;s1687;10 ;1
comme;CON;subord;come_relemma;abe;s1731;7 ;1
comme;CON;subord;come_relemma;abe;s1821;4 ;1
comme;CON;subord;come_relemma;abe;s1938;9 ;1
comme;CON;subord;come_relemma;abe;s1948;9 ;1
comme;CON;subord;come_relemma;abe;s2038;3 ;1
comme;CON;subord;come_relemma;abe;s2140;8 ;1
comme;CON;subord;come_relemma;abe;s2145;8 ;1
comme;CON;subord;come_relemma;abe;s2175;10 ;1
comme;CON;subord;come_relemma;abe;s2234;10 ;1
comme;CON;subord;come_relemma;abe;s2255;10 ;1
comme;CON;subord;come_relemma;abe;s2333;2 ;1
comme;CON;subord;come_relemma;abe;s2334;1 ;1
comme;CON;subord;come_relemma;abe;s2340;11 ;1
comme;CON;subord;come_relemma;abe;s2346;5 ;1
comme;CON;subord;come_relemma;abe;s2367;1 ;1
comme;CON;subord;come_relemma;abe;s2367;9 ;1
comme;CON;subord;come_relemma;abe;s2468;4 ;1
comme;CON;subord;come_relemma;abe;s363;6 ;1
comme;CON;subord;come_relemma;abe;s494;4 ;1
comme;CON;subord;come_relemma;abe;s926;5 ;1
comme;CON;subord;come_relemma;amad;s11804;1 ;1
comme;CON;subord;come_relemma;amad;s11879;12 ;1
comme;CON;subord;come_relemma;amad;s12165;8 ;1
comme;CON;subord;come_relemma;amad;s12187;5 ;1
comme;CON;subord;come_relemma;amou;s16265;4 ;1
comme;CON;subord;come_relemma;anth;s19733;3 ;1
comme;CON;subord;come_relemma;anth;s20433;5 ;1
comme;CON;subord;come_relemma;artch;s23889;26 ;1
comme;CON;subord;come_relemma;artch;s23957;71 ;1
comme;CON;subord;come_relemma;artch;s24037;24 ;1
comme;CON;subord;come_relemma;artch;s24048;16 ;1
comme;CON;subord;come_relemma;athi;s26905;1 ;1
comme;CON;subord;come_relemma;bar;s30933;7 ;1
comme;CON;subord;come_relemma;barlaam;s31652;11 ;1
comme;CON;subord;come_relemma;barlaam;s31879;17 ;1
comme;CON;subord;come_relemma;barlaam;s32009;29 ;1
comme;CON;subord;come_relemma;barlaam;s32091;39 ;1
comme;CON;subord;come_relemma;barlaam;s32122;18 ;1
