word;pos;CON_type;lemma;id;ref1;ref2;F
aincoisque;CON;subord;ainçoisque_relemma;loys;s213453;58;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213508;30;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213512;38;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213554;2;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213707;90;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213823;13;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s214201;9;1
aincoisque;CON;subord;ainçoisque_relemma;martin1;s224405;1;1
aincoisque;CON;subord;ainçoisque_relemma;perm;s312942;1;1
aincoisque;CON;subord;ainçoisque_relemma;pert;s322431;1;1
aincoisque;CON;subord;ainçoisque_relemma;peru;s324414;1;1
aincoizque;CON;subord;ainçoisque_relemma;rome;s367703;1;1
ainsque;CON;subord;ainzque_relemma;cleom;s76564;1;1
ainsque;CON;subord;ainzque_relemma;roma;s360015;1;1
ainzque;CON;subord;ainzque_relemma;elid;s103849;1;1
ainzque;CON;subord;ainzque_relemma;martin2;s224851;2;1
ainzque;CON;subord;ainzque_relemma;modw;s242166;2;1
ainzque;CON;subord;ainzque_relemma;nicoa;s266592;1;1
ainzque;CON;subord;ainzque_relemma;pap;s289251;1;1
ainzque;CON;subord;ainzque_relemma;percevalb;s305878;1;1
ainzque;CON;subord;ainzque_relemma;romd;s365753;1;1
ainzque;CON;subord;ainzque_relemma;rome;s367328;1;1
ainzque;CON;subord;ainzque_relemma;roml;s373024;1;1
ainzque;CON;subord;ainzque_relemma;romm;s375113;1;1
ainzque;CON;subord;ainzque_relemma;sage;s385983;1;1
ainzque;CON;subord;ainzque_relemma;troi;s405744;4;1
anceisque;CON;subord;ainçoisque_relemma;pap;s287800;1;1
anchoisque;CON;subord;ainçoisque_relemma;clari2;s71925;40;1
anchoisque;CON;subord;ainçoisque_relemma;hyla;s184367;4;1
anchuesque;CON;subord;ainçoisque_relemma;wallo;s429627;9;1
ancoisque;CON;subord;ainçoisque_relemma;chret1;s65498;1;1
ancoisque;CON;subord;ainçoisque_relemma;perp;s314841;1;1
ancoisque;CON;subord;ainçoisque_relemma;perr;s318614;1;1
ancoisque;CON;subord;ainçoisque_relemma;pers;s320463;1;1
atantque;CON;subord;a;clari2;s71441;21;1
atantque;CON;subord;a;pers;s320333;2;1
atantque;CON;subord;a;pert;s322299;2;1
avantque;CON;subord;avantque_relemma;cass;s58237;10;1
avantque;CON;subord;avantque_relemma;enf;s108650;1;1
avantque;CON;subord;avantque_relemma;loys;s214160;14;1
combienque;CON;subord;combienque_relemma;contre;s82862;1;1
combienque;CON;subord;combienque_relemma;loys;s213573;2;1
combienque;CON;subord;combienque_relemma;loys;s213704;4;1
combienque;CON;subord;combienque_relemma;loys;s213707;36;1
combienque;CON;subord;combienque_relemma;loys;s213725;76;1
combienque;CON;subord;combienque_relemma;loys;s214027;23;1
