word;pos;CON_type;lemma;id;ref1;ref2;F
adontke;CON;subord;adonc;nicb;s265543;8;1
adontke;CON;subord;adonc;nicb;s265610;20;1
adontque;CON;subord;adonc;anth;s20633;4;1
adontque;CON;subord;adonc;compoit;s79861;2;1
adontque;CON;subord;adonc;hyla;s182805;6;1
adontque;CON;subord;adonc;juda;s200429;2;1
adontque;CON;subord;adonc;mous;s248302;1;1
adontque;CON;subord;adonc;or;s284761;2;1
adontque;CON;subord;adonc;or;s285035;2;1
adontque;CON;subord;adonc;pen;s290710;10;1
adontque;CON;subord;adonc;pen;s291555;6;1
afinque;CON;subord;a;contre;s82419;1;1
afinque;CON;subord;a;ndchar;s256506;1;1
ainceiske;CON;subord;ainçois;gibv;s163144;1;1
ainceisqe;CON;subord;ainçois;greg2;s167101;1;1
ainceisqe;CON;subord;ainçois;greg2;s168907;1;1
ainceisque;CON;subord;ainçois;livre;s210984;1;1
aincoisque;CON;subord;ainçois;avu;s28986;1;1
aincoisque;CON;subord;ainçois;avu;s28997;1;1
aincoisque;CON;subord;ainçois;bel;s38511;1;1
aincoisque;CON;subord;ainçois;carp;s56547;2;1
aincoisque;CON;subord;ainçois;carp;s57603;2;1
aincoisque;CON;subord;ainçois;chauvency;s64361;1;1
aincoisque;CON;subord;ainçois;chret1;s65352;43;1
aincoisque;CON;subord;ainçois;chret2;s67524;2;1
aincoisque;CON;subord;ainçois;cleom;s77982;1;1
aincoisque;CON;subord;ainçois;contro;s87023;1;1
aincoisque;CON;subord;ainçois;contro;s87741;1;1
aincoisque;CON;subord;ainçois;faba;s123527;2;1
aincoisque;CON;subord;ainçois;faba;s124847;2;1
aincoisque;CON;subord;ainçois;floov;s159567;1;1
aincoisque;CON;subord;ainçois;floov;s159589;1;1
aincoisque;CON;subord;ainçois;jaco;s195960;1;1
aincoisque;CON;subord;ainçois;joinv;s197627;31;1
aincoisque;CON;subord;ainçois;jongl;s198711;2;1
aincoisque;CON;subord;ainçois;jongl;s199164;1;1
aincoisque;CON;subord;ainçois;loys;s213453;58;1
aincoisque;CON;subord;ainçois;loys;s213491;5;1
aincoisque;CON;subord;ainçois;loys;s213508;30;1
aincoisque;CON;subord;ainçois;loys;s213512;38;1
aincoisque;CON;subord;ainçois;loys;s213527;2;1
aincoisque;CON;subord;ainçois;loys;s213554;2;1
aincoisque;CON;subord;ainçois;loys;s213707;90;1
aincoisque;CON;subord;ainçois;loys;s213823;13;1
aincoisque;CON;subord;ainçois;loys;s213835;2;1
aincoisque;CON;subord;ainçois;loys;s213883;2;1
aincoisque;CON;subord;ainçois;loys;s213931;2;1
aincoisque;CON;subord;ainçois;loys;s214201;9;1
aincoisque;CON;subord;ainçois;martin1;s223439;1;1
aincoisque;CON;subord;ainçois;martin1;s224131;2;1
aincoisque;CON;subord;ainçois;martin1;s224405;1;1
aincoisque;CON;subord;ainçois;pera;s292397;2;1
aincoisque;CON;subord;ainçois;perm;s312521;2;1
aincoisque;CON;subord;ainçois;perm;s312942;1;1
aincoisque;CON;subord;ainçois;perr;s318201;1;1
aincoisque;CON;subord;ainçois;pert;s322431;1;1
aincoisque;CON;subord;ainçois;peru;s324414;1;1
aincoisque;CON;subord;ainçois;romd;s365813;1;1
aincoisque;CON;subord;ainçois;rose;s378030;1;1
aincoisque;CON;subord;ainçois;sage;s384968;2;1
aincoisque;CON;subord;ainçois;thebe;s402534;1;1
aincoisque;CON;subord;ainçois;thebe;s403202;1;1
aincoisque;CON;subord;ainçois;troi;s407241;2;1
aincoisque;CON;subord;ainçois;vache;s411306;1;1
aincoisque;CON;subord;ainçois;vache;s411354;1;1
aincoisque;CON;subord;ainçois;vilhar;s428839;1;1
aincoisque;CON;subord;ainçois;yvv;s438715;1;1
aincoisque;CON;subord;ainçois;yzop;s439272;1;1
aincoizque;CON;subord;ainçois;bourg;s49397;6;1
aincoizque;CON;subord;ainçois;rome;s367388;1;1
aincoizque;CON;subord;ainçois;rome;s367703;1;1
aincoysque;CON;subord;ainçois;abe;s1479;1;1
ainske;CON;subord;ainz;cou;s89504;1;1
ainske;CON;subord;ainz;desp;s91890;1;1
ainske;CON;subord;ainz;desp;s91947;5;1
ainske;CON;subord;ainz;desp;s92141;1;1
ainske;CON;subord;ainz;perp;s313897;1;1
ainske;CON;subord;ainz;perp;s313927;2;1
ainske;CON;subord;ainz;perp;s314425;2;1
ainske;CON;subord;ainz;perp;s314913;2;1
ainsoisque;CON;subord;ainçois;abe;s2198;1;1
ainsoisque;CON;subord;ainçois;abe;s29;1;1
ainsoisque;CON;subord;ainçois;amou;s17135;3;1
ainsoisque;CON;subord;ainçois;floov;s160008;6;1
ainsoisque;CON;subord;ainçois;remi;s350880;2;1
ainsoysque;CON;subord;ainçois;abe;s108;1;1
ainsque;CON;subord;ainz;alia;s9602;5;1
ainsque;CON;subord;ainz;amad;s11917;2;1
ainsque;CON;subord;ainz;amo;s13256;1;1
ainsque;CON;subord;ainz;amo;s13656;1;1
ainsque;CON;subord;ainz;amou;s15822;1;1
ainsque;CON;subord;ainz;amou;s16910;4;1
ainsque;CON;subord;ainz;arr;s21969;4;1
ainsque;CON;subord;ainz;athi;s25282;6;1
ainsque;CON;subord;ainz;athi;s25516;1;1
ainsque;CON;subord;ainz;athi;s26576;1;1
ainsque;CON;subord;ainz;athi;s26586;1;1
ainsque;CON;subord;ainz;athi;s26747;1;1
ainsque;CON;subord;ainz;atre;s27608;5;1
ainsque;CON;subord;ainz;atre;s27716;1;1
ainsque;CON;subord;ainz;bel;s37848;1;1
ainsque;CON;subord;ainz;bel;s38377;2;1
ainsque;CON;subord;ainz;bodo;s48976;1;1
ainsque;CON;subord;ainz;bourg;s49722;1;1
ainsque;CON;subord;ainz;chauvency;s63647;1;1
ainsque;CON;subord;ainz;chret1;s64838;28;1
ainsque;CON;subord;ainz;chret1;s64974;19;1
ainsque;CON;subord;ainz;chret1;s65039;21;1
ainsque;CON;subord;ainz;chret1;s65057;36;1
ainsque;CON;subord;ainz;chret1;s65075;1;1
ainsque;CON;subord;ainz;chret1;s65161;15;1
ainsque;CON;subord;ainz;chret1;s65172;14;1
ainsque;CON;subord;ainz;chret1;s65182;14;1
ainsque;CON;subord;ainz;chret1;s65500;19;1
ainsque;CON;subord;ainz;chret1;s65524;2;1
ainsque;CON;subord;ainz;cleom;s76564;1;1
ainsque;CON;subord;ainz;compoit;s79201;1;1
ainsque;CON;subord;ainz;compoit;s79348;1;1
ainsque;CON;subord;ainz;contre;s82182;1;1
ainsque;CON;subord;ainz;contre;s83331;1;1
ainsque;CON;subord;ainz;desp;s93089;1;1
ainsque;CON;subord;ainz;elie;s104165;2;1
ainsque;CON;subord;ainz;elie;s104435;5;1
ainsque;CON;subord;ainz;elie;s104920;6;1
ainsque;CON;subord;ainz;elie;s105353;6;1
ainsque;CON;subord;ainz;elie;s105479;6;1
ainsque;CON;subord;ainz;elie;s105741;7;1
ainsque;CON;subord;ainz;elie;s105925;6;1
ainsque;CON;subord;ainz;elie;s106113;5;1
ainsque;CON;subord;ainz;elie;s106141;6;1
ainsque;CON;subord;ainz;enf;s108095;1;1
ainsque;CON;subord;ainz;evrat1;s116938;4;1
ainsque;CON;subord;ainz;evrat1;s117862;4;1
ainsque;CON;subord;ainz;evrat1;s118062;1;1
ainsque;CON;subord;ainz;evratC2;s119609;1;1
ainsque;CON;subord;ainz;fab4f;s121895;1;1
ainsque;CON;subord;ainz;fab4f;s121999;2;1
ainsque;CON;subord;ainz;fab4f;s122361;1;1
ainsque;CON;subord;ainz;fabj;s128244;1;1
ainsque;CON;subord;ainz;gar;s160508;1;1
ainsque;CON;subord;ainz;hista;s178668;1;1
ainsque;CON;subord;ainz;hista;s179580;8;1
ainsque;CON;subord;ainz;hista;s179596;7;1
ainsque;CON;subord;ainz;hista;s180642;4;1
ainsque;CON;subord;ainz;hista;s181984;4;1
ainsque;CON;subord;ainz;hyla;s182815;1;1
ainsque;CON;subord;ainz;lancpr;s203293;43;1
ainsque;CON;subord;ainz;malk;s220014;2;1
ainsque;CON;subord;ainz;malk;s220328;1;1
ainsque;CON;subord;ainz;malk;s221866;4;1
ainsque;CON;subord;ainz;ndchar;s256941;3;1
ainsque;CON;subord;ainz;ndchar;s262427;2;1
ainsque;CON;subord;ainz;neele;s262951;1;1
ainsque;CON;subord;ainz;neele;s263018;1;1
ainsque;CON;subord;ainz;nic;s263822;1;1
ainsque;CON;subord;ainz;nic;s264073;1;1
ainsque;CON;subord;ainz;nic;s264360;1;1
ainsque;CON;subord;ainz;nic;s264448;1;1
ainsque;CON;subord;ainz;nimc;s277274;1;1
ainsque;CON;subord;ainz;nouvel;s281066;1;1
ainsque;CON;subord;ainz;ombre;s283729;5;1
ainsque;CON;subord;ainz;or;s284997;1;1
ainsque;CON;subord;ainz;orso;s285534;5;1
ainsque;CON;subord;ainz;perp;s314311;3;1
ainsque;CON;subord;ainz;perp;s314850;5;1
ainsque;CON;subord;ainz;perr;s317662;1;1
ainsque;CON;subord;ainz;perr;s317686;1;1
ainsque;CON;subord;ainz;perr;s317716;1;1
ainsque;CON;subord;ainz;perr;s318623;5;1
ainsque;CON;subord;ainz;perr;s318688;2;1
ainsque;CON;subord;ainz;pert;s321511;1;1
ainsque;CON;subord;ainz;pert;s321893;3;1
ainsque;CON;subord;ainz;pert;s322009;2;1
ainsque;CON;subord;ainz;pert;s322440;5;1
ainsque;CON;subord;ainz;pert;s322501;2;1
ainsque;CON;subord;ainz;peru;s323986;2;1
ainsque;CON;subord;ainz;pritheo;s330957;2;1
ainsque;CON;subord;ainz;remi;s349909;1;1
ainsque;CON;subord;ainz;robert;s353902;1;1
ainsque;CON;subord;ainz;robert;s354331;1;1
ainsque;CON;subord;ainz;robert;s354409;1;1
ainsque;CON;subord;ainz;roma;s360015;1;1
ainsque;CON;subord;ainz;romh;s368238;1;1
ainsque;CON;subord;ainz;romh;s369179;1;1
ainsque;CON;subord;ainz;romh;s369342;1;1
ainsque;CON;subord;ainz;romh;s369412;3;1
ainsque;CON;subord;ainz;romk;s370764;1;1
ainsque;CON;subord;ainz;romk;s370962;2;1
ainsque;CON;subord;ainz;romk;s371580;2;1
ainsque;CON;subord;ainz;romk;s371821;1;1
ainsque;CON;subord;ainz;romk;s371893;3;1
ainsque;CON;subord;ainz;stsilv;s395611;2;1
ainsque;CON;subord;ainz;the;s402483;12;1
ainsque;CON;subord;ainz;vache;s410147;2;1
ainsque;CON;subord;ainz;vache;s410602;2;1
ainsque;CON;subord;ainz;vache;s411396;1;1
ainsque;CON;subord;ainz;vache;s412030;1;1
ainsque;CON;subord;ainz;vergih;s419729;1;1
ainsque;CON;subord;ainz;vergii;s420669;1;1
ainsque;CON;subord;ainz;yva;s432391;2;1
ainsque;CON;subord;ainz;yva;s433010;1;1
ainsque;CON;subord;ainz;yva;s433131;1;1
