word;pos;CON_type;lemma;id;ref1;ref2;F
adontke;CON;subord;adontque_relemma;nicb;s265543;8;1
adontke;CON;subord;adontque_relemma;nicb;s265610;20;1
adontque;CON;subord;adontque_relemma;anth;s20633;4;1
adontque;CON;subord;adontque_relemma;compoit;s79861;2;1
adontque;CON;subord;adontque_relemma;hyla;s182805;6;1
adontque;CON;subord;adontque_relemma;juda;s200429;2;1
adontque;CON;subord;adontque_relemma;mous;s248302;1;1
adontque;CON;subord;adontque_relemma;or;s284761;2;1
adontque;CON;subord;adontque_relemma;or;s285035;2;1
adontque;CON;subord;adontque_relemma;pen;s290710;10;1
adontque;CON;subord;adontque_relemma;pen;s291555;6;1
afinque;CON;subord;a;contre;s82419;1;1
afinque;CON;subord;a;ndchar;s256506;1;1
ainceiske;CON;subord;ainçoisque_relemma;gibv;s163144;1;1
ainceisqe;CON;subord;ainçoisque_relemma;greg2;s167101;1;1
ainceisqe;CON;subord;ainçoisque_relemma;greg2;s168907;1;1
ainceisque;CON;subord;ainçoisque_relemma;livre;s210984;1;1
aincoisque;CON;subord;ainçoisque_relemma;avu;s28986;1;1
aincoisque;CON;subord;ainçoisque_relemma;avu;s28997;1;1
aincoisque;CON;subord;ainçoisque_relemma;bel;s38511;1;1
aincoisque;CON;subord;ainçoisque_relemma;carp;s56547;2;1
aincoisque;CON;subord;ainçoisque_relemma;carp;s57603;2;1
aincoisque;CON;subord;ainçoisque_relemma;chauvency;s64361;1;1
aincoisque;CON;subord;ainçoisque_relemma;chret1;s65352;43;1
aincoisque;CON;subord;ainçoisque_relemma;chret2;s67524;2;1
aincoisque;CON;subord;ainçoisque_relemma;cleom;s77982;1;1
aincoisque;CON;subord;ainçoisque_relemma;contro;s87023;1;1
aincoisque;CON;subord;ainçoisque_relemma;contro;s87741;1;1
aincoisque;CON;subord;ainçoisque_relemma;faba;s123527;2;1
aincoisque;CON;subord;ainçoisque_relemma;faba;s124847;2;1
aincoisque;CON;subord;ainçoisque_relemma;floov;s159567;1;1
aincoisque;CON;subord;ainçoisque_relemma;floov;s159589;1;1
aincoisque;CON;subord;ainçoisque_relemma;jaco;s195960;1;1
aincoisque;CON;subord;ainçoisque_relemma;joinv;s197627;31;1
aincoisque;CON;subord;ainçoisque_relemma;jongl;s198711;2;1
aincoisque;CON;subord;ainçoisque_relemma;jongl;s199164;1;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213453;58;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213491;5;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213508;30;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213512;38;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213527;2;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213554;2;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213707;90;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213823;13;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213835;2;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213883;2;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s213931;2;1
aincoisque;CON;subord;ainçoisque_relemma;loys;s214201;9;1
aincoisque;CON;subord;ainçoisque_relemma;martin1;s223439;1;1
aincoisque;CON;subord;ainçoisque_relemma;martin1;s224131;2;1
aincoisque;CON;subord;ainçoisque_relemma;martin1;s224405;1;1
aincoisque;CON;subord;ainçoisque_relemma;pera;s292397;2;1
aincoisque;CON;subord;ainçoisque_relemma;perm;s312521;2;1
aincoisque;CON;subord;ainçoisque_relemma;perm;s312942;1;1
aincoisque;CON;subord;ainçoisque_relemma;perr;s318201;1;1
aincoisque;CON;subord;ainçoisque_relemma;pert;s322431;1;1
aincoisque;CON;subord;ainçoisque_relemma;peru;s324414;1;1
