word;pos;CON_type;lemma;id;ref1;ref2;F
a;CON;subord;a3-a;floov;s159676;1;1
a;CON;subord;a3-a;floov;s160027;4;1
aar;CON;subord;UNKNOWN;chret2;s66587;1;1
aar;CON;subord;UNKNOWN;yvh;s436121;1;1
ainzq;CON;subord;ainzque_relemma;meun;s233751;3;1
ainzqu;CON;subord;ainzque_relemma;ndchar;s262562;1;1
auceis;CON;subord;ainçoisque_relemma;poit;s327226;2;1
bien;CON;subord;bien1-bien2-bien;aiol;s6789;4;1
bien;CON;subord;bien1-bien2-bien;perpraag;s315815;6;1
cant;CON;subord;cant;baisieux;s29713;1;1
cant;CON;subord;cant;baisieux;s30429;1;1
car;CON;coord;car;abe;s1081;3;1
car;CON;coord;car;abe;s1090;4;1
car;CON;coord;car;abe;s1383;4;1
car;CON;coord;car;abe;s1529;4;1
car;CON;coord;car;abe;s1547;8;1
car;CON;coord;car;abe;s1573;7;1
car;CON;coord;car;abe;s1870;11;1
car;CON;coord;car;abe;s1873;9;1
car;CON;coord;car;abe;s1982;4;1
car;CON;coord;car;abe;s2065;4;1
car;CON;coord;car;abe;s2133;8;1
car;CON;coord;car;abe;s2165;3;1
car;CON;coord;car;abe;s2235;7;1
car;CON;coord;car;abe;s2261;9;1
car;CON;coord;car;abe;s2284;1;1
car;CON;coord;car;abe;s2317;8;1
car;CON;coord;car;abe;s2355;6;1
car;CON;coord;car;abe;s2361;2;1
car;CON;coord;car;abe;s2432;1;1
car;CON;coord;car;abe;s2469;2;1
car;CON;coord;car;abe;s2473;5;1
car;CON;coord;car;abe;s287;1;1
car;CON;coord;car;abe;s311;7;1
car;CON;coord;car;abe;s318;2;1
car;CON;coord;car;abe;s440;3;1
car;CON;coord;car;abe;s539;6;1
car;CON;coord;car;abe;s611;1;1
car;CON;coord;car;abe;s75;4;1
car;CON;coord;car;abe;s755;6;1
car;CON;coord;car;abe;s774;1;1
car;CON;coord;car;abe;s981;6;1
car;CON;coord;car;abreja;s2503;50;1
car;CON;coord;car;abreja;s2532;1;1
car;CON;coord;car;abreja;s2541;15;1
car;CON;coord;car;abreja;s2545;13;1
car;CON;coord;car;abreja;s2556;1;1
car;CON;coord;car;abreja;s2557;1;1
car;CON;coord;car;abreja;s2566;64;1
car;CON;coord;car;abreja;s2567;70;1
car;CON;coord;car;abreja;s2567;86;1
car;CON;coord;car;abreja;s2585;1;1
car;CON;coord;car;abreja;s2588;14;1
car;CON;coord;car;abreja;s2591;1;1
car;CON;coord;car;abreja;s2592;84;1
car;CON;coord;car;abreja;s2604;1;1
car;CON;coord;car;abreja;s2609;1;1
car;CON;coord;car;abreja;s2619;51;1
car;CON;coord;car;abreja;s2629;1;1
car;CON;coord;car;abreja;s2664;20;1
car;CON;coord;car;abreja;s2666;1;1
car;CON;coord;car;abreja;s2667;108;1
car;CON;coord;car;abreja;s2685;14;1
car;CON;coord;car;abreja;s2685;28;1
car;CON;coord;car;abreja;s2697;1;1
car;CON;coord;car;abreja;s2700;1;1
car;CON;coord;car;abreja;s2701;1;1
car;CON;coord;car;abreja;s2704;28;1
car;CON;coord;car;abreja;s2711;1;1
car;CON;coord;car;abreja;s2726;32;1
car;CON;coord;car;abreja;s2730;33;1
car;CON;coord;car;abreja;s2764;19;1
car;CON;coord;car;abreja;s2769;3;1
car;CON;coord;car;abreja;s2770;8;1
car;CON;coord;car;abreja;s2786;26;1
car;CON;coord;car;abreja;s2797;30;1
car;CON;coord;car;abreja;s2798;1;1
car;CON;coord;car;abreja;s2806;1;1
car;CON;coord;car;abreja;s2819;1;1
car;CON;coord;car;abreja;s2825;1;1
car;CON;coord;car;abreja;s2852;1;1
car;CON;coord;car;abreja;s2880;24;1
car;CON;coord;car;abreja;s2882;7;1
car;CON;coord;car;abreja;s2891;38;1
car;CON;coord;car;abreja;s2905;1;1
car;CON;coord;car;aileo;s5235;1;1
car;CON;coord;car;aileo;s5248;1;1
car;CON;coord;car;aileo;s5264;1;1
car;CON;coord;car;aileo;s5269;1;1
car;CON;coord;car;aileo;s5307;1;1
car;CON;coord;car;aileo;s5324;1;1
car;CON;coord;car;aileo;s5359;1;1
car;CON;coord;car;aileo;s5374;1;1
car;CON;coord;car;aileo;s5412;2;1
car;CON;coord;car;ailet;s5513;3;1
car;CON;coord;car;ailet;s5522;1;1
car;CON;coord;car;ailet;s5546;5;1
car;CON;coord;car;ailet;s5560;1;1
car;CON;coord;car;ailet;s5612;1;1
car;CON;coord;car;ailet;s5627;1;1
car;CON;coord;car;ailet;s5664;1;1
car;CON;coord;car;ailet;s5669;2;1
car;CON;coord;car;ailet;s5751;1;1
car;CON;coord;car;ailet;s5754;1;1
car;CON;coord;car;ailet;s5758;1;1
car;CON;coord;car;ailet;s5759;1;1
car;CON;coord;car;ailet;s5769;1;1
car;CON;coord;car;ailet;s5784;1;1
car;CON;coord;car;ailet;s5793;1;1
