word;pos;CON_type;lemma;id;ref1;ref2;F
adont;CON;subord;adontque_relemma;merlin;s231265;9;1
adontqu;CON;subord;adontque_relemma;durm;s95670;2;1
ainc;CON;subord;ainc;amou;s16162;3;1
aincesk;CON;subord;ainçoisque_relemma;gorm;s164703;1;1
aincoisqu;CON;subord;ainçoisque_relemma;cleom;s76883;1;1
aincoisqu;CON;subord;ainçoisque_relemma;loys;s213451;9;1
aincoisqu;CON;subord;ainçoisque_relemma;ombre;s283847;2;1
aincoisqu;CON;subord;ainçoisque_relemma;romm;s375158;1;1
aincoisqu;CON;subord;ainçoisque_relemma;songe;s394441;2;1
aincoisqu;CON;subord;ainçoisque_relemma;vache;s410288;2;1
aincqu;CON;subord;ainzque_relemma;amad;s12039;2;1
ainsc;CON;subord;ainzque_relemma;feu;s155366;3;1
ainsc;CON;subord;ainzque_relemma;moral2;s246806;1;1
ainsc;CON;subord;ainzque_relemma;moral2;s246923;1;1
ainsc;CON;subord;ainzque_relemma;perp;s315356;3;1
ainsc;CON;subord;ainzque_relemma;romk;s371219;1;1
ainsiqu;CON;subord;einsique_relemma;chauvency;s64407;1;1
ainsiqu;CON;subord;einsique_relemma;ndchar;s261396;1;1
ainsk;CON;subord;ainzque_relemma;cleom;s76978;4;1
ainsk;CON;subord;ainzque_relemma;compoit;s80334;1;1
ainsk;CON;subord;ainzque_relemma;elie;s105261;1;1
ainsq;CON;subord;ainzque_relemma;chret1;s65667;24;1
ainsq;CON;subord;ainzque_relemma;perr;s319125;3;1
ainsqu;CON;subord;ainzque_relemma;amou;s15819;1;1
ainsqu;CON;subord;ainzque_relemma;amou;s15820;1;1
ainsqu;CON;subord;ainzque_relemma;beauv;s35371;10;1
ainsqu;CON;subord;ainzque_relemma;coinci;s78182;1;1
ainsqu;CON;subord;ainzque_relemma;coinci;s78424;1;1
ainsqu;CON;subord;ainzque_relemma;compoit;s80386;1;1
ainsqu;CON;subord;ainzque_relemma;juda;s200249;2;1
ainsqu;CON;subord;ainzque_relemma;lancpr;s203253;23;1
ainsqu;CON;subord;ainzque_relemma;nouvel;s281465;1;1
ainsqu;CON;subord;ainzque_relemma;romh;s369026;1;1
ainsqu;CON;subord;ainzque_relemma;vache;s410319;3;1
ainsqu;CON;subord;ainzque_relemma;vergia;s414024;1;1
ainsqui;CON;subord;ainzque_relemma;romk;s371526;1;1
ainzc;CON;subord;ainzque_relemma;faba;s123531;1;1
ainzc;CON;subord;ainzque_relemma;perl;s311496;3;1
ainzq;CON;subord;ainzque_relemma;romm;s374776;1;1
ainzqu;CON;subord;ainzque_relemma;benoit;s40519;1;1
ainzqu;CON;subord;ainzque_relemma;chret2;s68465;3;1
ainzqu;CON;subord;ainzque_relemma;clef;s72352;3;1
ainzqu;CON;subord;ainzque_relemma;darm;s90899;10;1
ainzqu;CON;subord;ainzque_relemma;dole;s94713;1;1
ainzqu;CON;subord;ainzque_relemma;eustache;s113670;1;1
ainzqu;CON;subord;ainzque_relemma;lac;s202594;23;1
ainzqu;CON;subord;ainzque_relemma;martin2;s225936;1;1
ainzqu;CON;subord;ainzque_relemma;meun;s236056;1;1
ainzqu;CON;subord;ainzque_relemma;modw;s242829;2;1
ainzqu;CON;subord;ainzque_relemma;nima1;s268418;2;1
ainzqu;CON;subord;ainzque_relemma;nima2;s269901;2;1
ainzqu;CON;subord;ainzque_relemma;nima3;s271117;2;1
ainzqu;CON;subord;ainzque_relemma;nima4;s272581;2;1
ainzqu;CON;subord;ainzque_relemma;pera;s293338;3;1
ainzqu;CON;subord;ainzque_relemma;perb;s295297;3;1
ainzqu;CON;subord;ainzque_relemma;percevalb;s298779;3;1
ainzqu;CON;subord;ainzque_relemma;percevalb;s301972;1;1
ainzqu;CON;subord;ainzque_relemma;percevalb;s303046;5;1
ainzqu;CON;subord;ainzque_relemma;percevalb;s303483;3;1
ainzqu;CON;subord;ainzque_relemma;percevalb;s304986;3;1
ainzqu;CON;subord;ainzque_relemma;perf;s307541;3;1
ainzqu;CON;subord;ainzque_relemma;perm;s313459;3;1
ainzqu;CON;subord;ainzque_relemma;perq;s317254;4;1
ainzqu;CON;subord;ainzque_relemma;pert;s322950;3;1
ainzqu;CON;subord;ainzque_relemma;ren2;s353469;1;1
ainzqu;CON;subord;ainzque_relemma;roml;s372714;1;1
ainzqu;CON;subord;ainzque_relemma;troifr;s408776;1;1
alainsqu;CON;subord;ainzque_relemma;pon2;s330699;1;1
anchoisqu;CON;subord;ainçoisque_relemma;beauv;s37079;5;1
anchoisqu;CON;subord;ainçoisque_relemma;compoit;s79306;1;1
ancoisq;CON;subord;ainçoisque_relemma;romc;s364546;1;1
ancoisqu;CON;subord;ainçoisque_relemma;contre;s83644;1;1
ancoisqu;CON;subord;ainçoisque_relemma;elie;s105734;1;1
ancoisqu;CON;subord;ainçoisque_relemma;evratC2;s119105;1;1
ancoisqu;CON;subord;ainçoisque_relemma;gerv;s162496;2;1
ansc;CON;subord;ainzque_relemma;cordres;s88838;1;1
ansoisc;CON;subord;ainçoisque_relemma;nimd;s278993;1;1
anzk;CON;subord;ainzque_relemma;moral;s243786;1;1
anzqu;CON;subord;ainzque_relemma;alia;s11139;6;1
aprofqu;CON;subord;apruef;michel;s236650;1;1
atantc;CON;subord;a;beauv;s36958;4;1
atantq;CON;subord;a;evrat1;s117799;3;1
atantqu;CON;subord;a;contro;s87553;2;1
atantqu;CON;subord;a;evrat1;s116245;2;1
atantqu;CON;subord;a;or;s285161;2;1
atantqu;CON;subord;a;perh;s308854;2;1
atantqu;CON;subord;a;perp;s314709;2;1
avantc;CON;subord;avantque_relemma;beauv;s36927;3;1
avantqu;CON;subord;avantque_relemma;beauv;s36681;1;1
avantqu;CON;subord;avantque_relemma;rose;s377270;1;1
avantqu;CON;subord;avantque_relemma;rose;s377275;1;1
avantqu;CON;subord;avantque_relemma;rose;s378501;3;1
avantqu;CON;subord;avantque_relemma;rose;s379416;1;1
azoisk;CON;subord;ainçoisque_relemma;alexo;s8531;1;1
cant;CON;subord;cant;baisieux;s29957;1;1
cant;CON;subord;cant;baisieux;s30281;1;1
cant;CON;subord;cant;baisieux;s30332;1;1
car;CON;coord;car;abe;s1027;4;1
car;CON;coord;car;abe;s1040;1;1
car;CON;coord;car;abe;s1812;1;1
car;CON;coord;car;abe;s1976;1;1
car;CON;coord;car;abe;s2057;8;1
car;CON;coord;car;abe;s2294;10;1
car;CON;coord;car;abe;s2323;6;1
car;CON;coord;car;abe;s2402;5;1
car;CON;coord;car;abreja;s2536;16;1
car;CON;coord;car;abreja;s2615;28;1
car;CON;coord;car;abreja;s2686;1;1
car;CON;coord;car;abreja;s2695;4;1
car;CON;coord;car;abreja;s2730;1;1
car;CON;coord;car;abreja;s2732;38;1
car;CON;coord;car;abreja;s2736;1;1
car;CON;coord;car;abreja;s2785;1;1
car;CON;coord;car;abreja;s2786;9;1
car;CON;coord;car;aileo;s5241;4;1
car;CON;coord;car;ailet;s5964;1;1
car;CON;coord;car;alexo;s7809;1;1
car;CON;coord;car;alexo;s8438;7;1
car;CON;coord;car;amad;s11704;18;1
car;CON;coord;car;amad;s11745;1;1
car;CON;coord;car;amad;s11897;8;1
car;CON;coord;car;amad;s11925;8;1
car;CON;coord;car;amad;s11961;22;1
car;CON;coord;car;amad;s12016;1;1
car;CON;coord;car;amad;s12030;10;1
car;CON;coord;car;amad;s12039;1;1
car;CON;coord;car;amad;s12060;8;1
car;CON;coord;car;amad;s12069;31;1
car;CON;coord;car;amad;s12070;9;1
car;CON;coord;car;amad;s12133;1;1
car;CON;coord;car;amad;s12285;10;1
car;CON;coord;car;amad;s12290;15;1
car;CON;coord;car;amad;s12304;19;1
car;CON;coord;car;amad;s12311;8;1
car;CON;coord;car;amad;s12341;23;1
car;CON;coord;car;amad;s12356;44;1
car;CON;coord;car;amile;s12822;1;1
car;CON;coord;car;amo;s13541;1;1
car;CON;coord;car;amo;s13922;1;1
car;CON;coord;car;amo;s13981;1;1
car;CON;coord;car;amo;s14240;1;1
car;CON;coord;car;amo;s14908;1;1
car;CON;coord;car;amo;s14938;1;1
car;CON;coord;car;amo;s15533;1;1
car;CON;coord;car;amou;s15965;1;1
car;CON;coord;car;amou;s15966;1;1
car;CON;coord;car;amou;s15967;1;1
car;CON;coord;car;amou;s15968;1;1
car;CON;coord;car;amou;s15969;1;1
car;CON;coord;car;amou;s15970;1;1
car;CON;coord;car;amou;s15976;1;1
car;CON;coord;car;amou;s15977;1;1
car;CON;coord;car;amou;s15978;1;1
car;CON;coord;car;amou;s15979;1;1
car;CON;coord;car;amou;s15980;1;1
car;CON;coord;car;amou;s16018;1;1
car;CON;coord;car;amou;s16019;1;1
car;CON;coord;car;amou;s16603;3;1
car;CON;coord;car;anth;s19389;2;1
car;CON;coord;car;anth;s20025;3;1
car;CON;coord;car;arr;s21975;3;1
car;CON;coord;car;arr;s22554;2;1
car;CON;coord;car;arr;s22889;2;1
car;CON;coord;car;arr;s23780;5;1
car;CON;coord;car;artch;s23849;48;1
car;CON;coord;car;artch;s23857;1;1
car;CON;coord;car;artch;s23890;1;1
car;CON;coord;car;artch;s23903;1;1
car;CON;coord;car;artch;s23911;22;1
car;CON;coord;car;artch;s23920;59;1
car;CON;coord;car;artch;s23949;12;1
car;CON;coord;car;artch;s23968;1;1
car;CON;coord;car;artch;s23979;33;1
car;CON;coord;car;artch;s23980;15;1
car;CON;coord;car;artch;s24035;30;1
car;CON;coord;car;athi;s24848;1;1
car;CON;coord;car;athi;s25067;1;1
car;CON;coord;car;athi;s25550;1;1
car;CON;coord;car;athi;s25870;1;1
car;CON;coord;car;athi;s26273;1;1
car;CON;coord;car;athi;s26313;1;1
car;CON;coord;car;athi;s26318;1;1
car;CON;coord;car;athi;s26763;1;1
car;CON;coord;car;atre;s28198;1;1
car;CON;coord;car;auc;s28354;5;1
car;CON;coord;car;auc;s28385;8;1
car;CON;coord;car;auc;s28580;1;1
car;CON;coord;car;auc;s28600;17;1
car;CON;coord;car;auc;s28660;15;1
car;CON;coord;car;auc;s28665;12;1
car;CON;coord;car;aucchants;s28826;17;1
car;CON;coord;car;baisieux;s29938;3;1
car;CON;coord;car;baisieux;s29951;1;1
car;CON;coord;car;baisieux;s29995;1;1
car;CON;coord;car;baisieux;s30353;1;1
car;CON;coord;car;bar;s30564;1;1
car;CON;coord;car;bar;s31095;1;1
car;CON;coord;car;bar;s31169;1;1
car;CON;coord;car;bar;s31180;1;1
car;CON;coord;car;barlaam;s31674;15;1
car;CON;coord;car;barril;s32638;1;1
car;CON;coord;car;beauv;s35353;1;1
car;CON;coord;car;beauv;s35383;7;1
car;CON;coord;car;beauv;s35454;12;1
car;CON;coord;car;beauv;s35461;6;1
car;CON;coord;car;beauv;s35580;7;1
car;CON;coord;car;beauv;s35691;10;1
car;CON;coord;car;beauv;s35804;7;1
car;CON;coord;car;beauv;s35815;3;1
car;CON;coord;car;beauv;s35820;4;1
car;CON;coord;car;beauv;s35868;1;1
car;CON;coord;car;beauv;s35886;6;1
car;CON;coord;car;beauv;s35942;3;1
car;CON;coord;car;beauv;s35949;10;1
car;CON;coord;car;beauv;s35960;3;1
car;CON;coord;car;beauv;s36048;4;1
car;CON;coord;car;beauv;s36194;14;1
car;CON;coord;car;beauv;s36243;6;1
car;CON;coord;car;beauv;s36426;9;1
car;CON;coord;car;beauv;s36477;9;1
car;CON;coord;car;beauv;s36486;8;1
car;CON;coord;car;beauv;s36508;5;1
car;CON;coord;car;beauv;s36597;2;1
car;CON;coord;car;beauv;s36847;1;1
car;CON;coord;car;beauv;s37066;7;1
car;CON;coord;car;beauv;s37244;4;1
car;CON;coord;car;beauv;s37621;1;1
car;CON;coord;car;beauv;s37628;4;1
car;CON;coord;car;bel;s38377;1;1
car;CON;coord;car;bern2;s41460;4;1
car;CON;coord;car;bern2;s41625;4;1
car;CON;coord;car;bern2;s41672;2;1
car;CON;coord;car;bern2;s41787;5;1
car;CON;coord;car;bern2;s41862;1;1
car;CON;coord;car;bern2;s41873;3;1
car;CON;coord;car;bern2;s41876;3;1
car;CON;coord;car;bern2;s42041;1;1
car;CON;coord;car;bern2;s42067;2;1
car;CON;coord;car;bern2;s42099;5;1
car;CON;coord;car;bern2;s42117;5;1
car;CON;coord;car;bern2;s42125;6;1
car;CON;coord;car;bern2;s42508;3;1
car;CON;coord;car;bern2;s42558;5;1
car;CON;coord;car;bern2;s42574;8;1
car;CON;coord;car;bern2;s42578;11;1
car;CON;coord;car;bern2;s42628;5;1
car;CON;coord;car;bern2;s42662;2;1
car;CON;coord;car;bern2;s42883;9;1
car;CON;coord;car;bern2;s42956;2;1
car;CON;coord;car;bern2;s42977;5;1
car;CON;coord;car;bern2;s42987;12;1
car;CON;coord;car;bern2;s43018;6;1
car;CON;coord;car;bern2;s43024;7;1
car;CON;coord;car;bern2;s43052;3;1
car;CON;coord;car;bern2;s43202;9;1
car;CON;coord;car;bern2;s43235;8;1
car;CON;coord;car;besant;s44220;1;1
car;CON;coord;car;besant;s44268;1;1
car;CON;coord;car;best;s44341;1;1
car;CON;coord;car;best;s44591;1;1
car;CON;coord;car;best;s44669;1;1
car;CON;coord;car;best;s44695;1;1
car;CON;coord;car;best;s44855;1;1
car;CON;coord;car;best;s45022;1;1
car;CON;coord;car;best;s45584;4;1
car;CON;coord;car;best;s45897;1;1
car;CON;coord;car;best;s45899;1;1
car;CON;coord;car;best;s45979;1;1
car;CON;coord;car;best;s46031;1;1
car;CON;coord;car;best;s46261;3;1
car;CON;coord;car;best;s46348;1;1
car;CON;coord;car;best;s46545;1;1
car;CON;coord;car;best;s46670;1;1
car;CON;coord;car;best;s46712;1;1
car;CON;coord;car;best;s46734;1;1
car;CON;coord;car;best;s46801;1;1
car;CON;coord;car;best;s47029;1;1
car;CON;coord;car;best;s47217;1;1
car;CON;coord;car;best;s47418;1;1
car;CON;coord;car;best;s47914;1;1
car;CON;coord;car;best;s48241;1;1
car;CON;coord;car;best;s48355;1;1
car;CON;coord;car;best;s48427;1;1
car;CON;coord;car;bodo;s48712;1;1
car;CON;coord;car;bodo;s48717;1;1
car;CON;coord;car;bodo;s49011;1;1
car;CON;coord;car;bodo;s49088;1;1
car;CON;coord;car;bodo;s49231;1;1
car;CON;coord;car;bourg;s49949;1;1
car;CON;coord;car;bourg;s49959;1;1
car;CON;coord;car;bourg;s50037;1;1
car;CON;coord;car;calen;s50686;1;1
car;CON;coord;car;calex;s50949;1;1
car;CON;coord;car;calex;s51573;1;1
car;CON;coord;car;calex;s51808;1;1
car;CON;coord;car;calex;s52331;1;1
car;CON;coord;car;calex;s52512;5;1
car;CON;coord;car;cambrai;s53709;1;1
car;CON;coord;car;cambrai;s53784;1;1
car;CON;coord;car;cambrai;s54110;1;1
car;CON;coord;car;carem;s54798;3;1
car;CON;coord;car;carem;s54801;1;1
car;CON;coord;car;carem;s54860;1;1
car;CON;coord;car;carem;s54981;4;1
car;CON;coord;car;carem;s55193;6;1
car;CON;coord;car;carem;s55302;10;1
car;CON;coord;car;carem;s55486;7;1
car;CON;coord;car;cass;s58355;6;1
car;CON;coord;car;cass;s58584;8;1
car;CON;coord;car;chastoi;s60105;1;1
car;CON;coord;car;chastoi;s60457;1;1
car;CON;coord;car;chastoi;s60464;1;1
car;CON;coord;car;chauvency;s62773;1;1
car;CON;coord;car;chauvency;s63648;1;1
car;CON;coord;car;chauvency;s63790;1;1
car;CON;coord;car;chret1;s65173;10;1
car;CON;coord;car;chret1;s65244;4;1
car;CON;coord;car;chret1;s65432;14;1
car;CON;coord;car;chret1;s65444;8;1
car;CON;coord;car;chret1;s65468;4;1
car;CON;coord;car;chret1;s65482;29;1
car;CON;coord;car;chret1;s65524;38;1
car;CON;coord;car;chret1;s65572;23;1
car;CON;coord;car;chret1;s65665;8;1
car;CON;coord;car;chret1;s65754;6;1
car;CON;coord;car;chret2;s65758;1;1
car;CON;coord;car;chret2;s66669;1;1
car;CON;coord;car;chret2;s66761;1;1
car;CON;coord;car;chret2;s66977;1;1
car;CON;coord;car;chret2;s67187;4;1
car;CON;coord;car;chret2;s67727;4;1
car;CON;coord;car;chret2;s67759;3;1
car;CON;coord;car;chret2;s67851;3;1
car;CON;coord;car;clari2;s71608;46;1
car;CON;coord;car;clari2;s71715;27;1
car;CON;coord;car;clari2;s71786;52;1
car;CON;coord;car;cleom;s75593;3;1
car;CON;coord;car;cleom;s75660;1;1
car;CON;coord;car;cleom;s75787;1;1
car;CON;coord;car;cleom;s75814;1;1
car;CON;coord;car;cleom;s76011;1;1
car;CON;coord;car;cleom;s76375;1;1
car;CON;coord;car;cleom;s76428;1;1
car;CON;coord;car;cleom;s76688;1;1
car;CON;coord;car;cleom;s76919;2;1
car;CON;coord;car;cleom;s77024;1;1
car;CON;coord;car;cleom;s77059;1;1
car;CON;coord;car;cleom;s77273;1;1
car;CON;coord;car;cleom;s77326;1;1
car;CON;coord;car;cleom;s77375;1;1
car;CON;coord;car;cleom;s77783;1;1
car;CON;coord;car;cleom;s77826;1;1
car;CON;coord;car;cleom;s78053;1;1
car;CON;coord;car;compoit;s79164;1;1
car;CON;coord;car;compoit;s79424;1;1
car;CON;coord;car;compoit;s79677;1;1
car;CON;coord;car;compoit;s80098;1;1
car;CON;coord;car;compoit;s80160;1;1
car;CON;coord;car;conperc;s81045;1;1
car;CON;coord;car;conperc;s81094;1;1
car;CON;coord;car;conperc;s81116;1;1
car;CON;coord;car;conperc;s81647;1;1
car;CON;coord;car;contre;s82282;1;1
car;CON;coord;car;contre;s82393;1;1
car;CON;coord;car;contre;s82494;1;1
car;CON;coord;car;contre;s82714;1;1
car;CON;coord;car;contre;s84120;1;1
car;CON;coord;car;contre;s84368;1;1
car;CON;coord;car;contro;s85737;1;1
car;CON;coord;car;contro;s86636;4;1
car;CON;coord;car;contro;s87395;1;1
car;CON;coord;car;contro;s88315;1;1
car;CON;coord;car;cordres;s88787;5;1
car;CON;coord;car;cou;s89758;1;1
car;CON;coord;car;cou;s89763;1;1
car;CON;coord;car;desp;s92131;1;1
car;CON;coord;car;desp;s92333;1;1
car;CON;coord;car;desp;s92377;1;1
car;CON;coord;car;desp;s92412;4;1
car;CON;coord;car;desp;s92418;1;1
car;CON;coord;car;desp;s92438;1;1
car;CON;coord;car;desp;s92442;1;1
car;CON;coord;car;desp;s92950;1;1
car;CON;coord;car;desp;s93087;4;1
car;CON;coord;car;desp;s93116;2;1
car;CON;coord;car;desp;s93339;1;1
car;CON;coord;car;desp;s93660;1;1
car;CON;coord;car;desp;s93909;1;1
car;CON;coord;car;dole;s94421;1;1
car;CON;coord;car;elie;s104165;1;1
car;CON;coord;car;elie;s105343;6;1
car;CON;coord;car;elie;s105431;6;1
car;CON;coord;car;elie;s106227;1;1
car;CON;coord;car;elie;s106499;1;1
car;CON;coord;car;eneas;s107453;1;1
car;CON;coord;car;enf;s107950;1;1
car;CON;coord;car;enf;s108061;1;1
car;CON;coord;car;enf;s108251;1;1
car;CON;coord;car;enf;s108265;1;1
car;CON;coord;car;enf;s108427;1;1
car;CON;coord;car;enf;s108536;1;1
car;CON;coord;car;enf;s109199;1;1
car;CON;coord;car;enf;s109790;1;1
car;CON;coord;car;epee;s110232;1;1
car;CON;coord;car;fab4f;s121945;1;1
car;CON;coord;car;fab4f;s122227;1;1
car;CON;coord;car;fab4f;s122367;1;1
car;CON;coord;car;fab4f;s122533;1;1
car;CON;coord;car;fabj;s128475;1;1
car;CON;coord;car;fabj;s128762;1;1
car;CON;coord;car;fablesL;s144171;1;1
car;CON;coord;car;fablesL;s144635;7;1
car;CON;coord;car;fablesL;s145246;2;1
car;CON;coord;car;fablesM;s146786;7;1
car;CON;coord;car;fablesT;s148965;7;1
car;CON;coord;car;fablesZ;s151795;3;1
car;CON;coord;car;fablesZ;s152107;1;1
car;CON;coord;car;fablesZ;s152347;1;1
car;CON;coord;car;fablesZ;s152354;4;1
car;CON;coord;car;faucon;s152685;1;1
car;CON;coord;car;fetrom;s153164;1;1
car;CON;coord;car;fetrom;s153784;1;1
car;CON;coord;car;fetrom;s154326;3;1
car;CON;coord;car;feu;s154863;1;1
car;CON;coord;car;feu;s155034;1;1
car;CON;coord;car;fierens;s157417;5;1
car;CON;coord;car;flo;s158801;1;1
car;CON;coord;car;floov;s159535;1;1
car;CON;coord;car;floov;s159873;5;1
car;CON;coord;car;floov;s160097;6;1
car;CON;coord;car;floov;s160186;2;1
car;CON;coord;car;floov;s160343;1;1
car;CON;coord;car;floov;s160387;2;1
car;CON;coord;car;gar;s160470;1;1
car;CON;coord;car;gar;s160577;1;1
car;CON;coord;car;gar;s160628;1;1
car;CON;coord;car;gepa;s160746;8;1
car;CON;coord;car;gepa;s160766;7;1
car;CON;coord;car;gepa;s160769;1;1
car;CON;coord;car;gepa;s160795;14;1
car;CON;coord;car;gepa;s160946;6;1
car;CON;coord;car;gepa;s160956;14;1
car;CON;coord;car;gepa;s160964;9;1
car;CON;coord;car;gepa;s161093;23;1
car;CON;coord;car;gepa;s161102;19;1
car;CON;coord;car;gepa;s161111;19;1
car;CON;coord;car;gepa;s161150;29;1
car;CON;coord;car;gepa;s161208;9;1
car;CON;coord;car;gepa;s161228;16;1
car;CON;coord;car;gepa;s161279;12;1
car;CON;coord;car;gepa;s161290;14;1
car;CON;coord;car;gepa;s161327;26;1
car;CON;coord;car;gepa;s161328;6;1
car;CON;coord;car;gepa;s161329;1;1
car;CON;coord;car;gepa;s161347;13;1
car;CON;coord;car;graal;s165341;1;1
car;CON;coord;car;graal;s165419;1;1
car;CON;coord;car;greg2;s166050;1;1
