word;pos;CON_type;lemma;id;ref1;ref2;F
a;CON;subord;a3-a;floov;s159676;1;1
a;CON;subord;a3-a;floov;s160027;4;1
aar;CON;subord;UNKNOWN;chret2;s66587;1;1
aar;CON;subord;UNKNOWN;yvh;s436121;1;1
adonsqu;CON;subord;adonc;anth;s18184;1;1
adont;CON;subord;adonc;merlin;s231265;9;1
adontqu;CON;subord;adonc;carp;s57178;7;1
adontqu;CON;subord;adonc;durm;s95670;2;1
adontqu;CON;subord;adonc;nouvel;s281514;2;1
ainc;CON;subord;ainc;amou;s16162;3;1
ainceisqu;CON;subord;ainçois;besant;s43651;1;1
ainceisqu;CON;subord;ainçois;meun;s232963;4;1
aincesk;CON;subord;ainçois;gorm;s164703;1;1
aincoisqu;CON;subord;ainçois;cleom;s76883;1;1
aincoisqu;CON;subord;ainçois;contro;s85675;1;1
aincoisqu;CON;subord;ainçois;contro;s85684;1;1
aincoisqu;CON;subord;ainçois;dole;s94644;4;1
aincoisqu;CON;subord;ainçois;dole;s94685;1;1
aincoisqu;CON;subord;ainçois;elie;s104320;2;1
aincoisqu;CON;subord;ainçois;floov;s159535;2;1
aincoisqu;CON;subord;ainçois;helc;s174681;32;1
aincoisqu;CON;subord;ainçois;loys;s213451;9;1
aincoisqu;CON;subord;ainçois;ombre;s283847;2;1
aincoisqu;CON;subord;ainçois;peru;s323870;3;1
aincoisqu;CON;subord;ainçois;romd;s365187;2;1
aincoisqu;CON;subord;ainçois;rome;s366766;2;1
aincoisqu;CON;subord;ainçois;romm;s374078;2;1
aincoisqu;CON;subord;ainçois;romm;s375158;1;1
aincoisqu;CON;subord;ainçois;songe;s394441;2;1
aincoisqu;CON;subord;ainçois;thebe;s402696;5;1
aincoisqu;CON;subord;ainçois;vache;s410288;2;1
aincqu;CON;subord;ainz;amad;s12039;2;1
ainsc;CON;subord;ainz;feu;s155366;3;1
ainsc;CON;subord;ainz;moral2;s246806;1;1
ainsc;CON;subord;ainz;moral2;s246923;1;1
ainsc;CON;subord;ainz;perp;s315356;3;1
ainsc;CON;subord;ainz;romk;s371219;1;1
ainsiqu;CON;subord;ainsi;chauvency;s64407;1;1
ainsiqu;CON;subord;ainsi;ndchar;s261396;1;1
ainsk;CON;subord;ainz;cleom;s76978;4;1
ainsk;CON;subord;ainz;compoit;s80334;1;1
ainsk;CON;subord;ainz;desp;s91751;4;1
ainsk;CON;subord;ainz;desp;s92140;2;1
ainsk;CON;subord;ainz;elie;s105261;1;1
ainsk;CON;subord;ainz;feu;s154764;2;1
ainsk;CON;subord;ainz;feu;s155263;4;1
ainsk;CON;subord;ainz;wita;s429713;3;1
ainsk;CON;subord;ainz;wita;s429893;1;1
ainsoisqu;CON;subord;ainçois;artch;s23982;32;1
ainsoisqu;CON;subord;ainçois;romo;s375788;2;1
ainsq;CON;subord;ainz;chret1;s65667;24;1
ainsq;CON;subord;ainz;perr;s319125;3;1
ainsqu;CON;subord;ainz;alia;s10041;1;1
ainsqu;CON;subord;ainz;alia;s10056;1;1
ainsqu;CON;subord;ainz;alia;s10204;1;1
ainsqu;CON;subord;ainz;alia;s9649;6;1
ainsqu;CON;subord;ainz;amad;s12360;18;1
ainsqu;CON;subord;ainz;amou;s15819;1;1
ainsqu;CON;subord;ainz;amou;s15820;1;1
ainsqu;CON;subord;ainz;amou;s15821;1;1
ainsqu;CON;subord;ainz;amou;s16152;5;1
ainsqu;CON;subord;ainz;amou;s16720;5;1
ainsqu;CON;subord;ainz;arr;s22618;1;1
ainsqu;CON;subord;ainz;athi;s26181;1;1
ainsqu;CON;subord;ainz;athi;s27172;1;1
ainsqu;CON;subord;ainz;baisieux;s29604;1;1
ainsqu;CON;subord;ainz;barril;s32483;1;1
ainsqu;CON;subord;ainz;beauv;s35371;10;1
ainsqu;CON;subord;ainz;cambrai;s53672;1;1
ainsqu;CON;subord;ainz;cambrai;s54259;1;1
ainsqu;CON;subord;ainz;chret1;s65138;8;1
ainsqu;CON;subord;ainz;cleom;s76318;1;1
ainsqu;CON;subord;ainz;cleom;s76360;1;1
ainsqu;CON;subord;ainz;cleom;s76940;1;1
ainsqu;CON;subord;ainz;coinci;s78182;1;1
ainsqu;CON;subord;ainz;coinci;s78424;1;1
ainsqu;CON;subord;ainz;compoit;s80386;1;1
ainsqu;CON;subord;ainz;contre;s83897;4;1
ainsqu;CON;subord;ainz;cou;s89718;2;1
ainsqu;CON;subord;ainz;elie;s106093;5;1
ainsqu;CON;subord;ainz;hista;s178697;5;1
ainsqu;CON;subord;ainz;hista;s179195;3;1
ainsqu;CON;subord;ainz;hista;s181103;7;1
ainsqu;CON;subord;ainz;juda;s200249;2;1
ainsqu;CON;subord;ainz;lancpr;s203253;23;1
ainsqu;CON;subord;ainz;moral2;s245888;3;1
ainsqu;CON;subord;ainz;nic;s264212;1;1
ainsqu;CON;subord;ainz;nic;s264443;5;1
