word;pos;lemma;id;ref1;ref2;F
ke;PROCON;que1-que2-que3-que4-que2;aileg;s4587;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;aileg;s4867;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;aileg;s4870;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;aileg;s4927;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;aileg;s5052;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;aileg;s5180;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;aileg;s5189;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;ailet;s5896;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;alexo;s7765;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;alexo;s7882;8 ;1
ke;PROCON;que1-que2-que3-que4-que2;alexo;s8200;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;alexo;s8485;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;alexo;s8736;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;amad;s11755;50 ;1
ke;PROCON;que1-que2-que3-que4-que2;amo;s13560;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;amo;s14863;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;amo;s15030;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;anti;s21246;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;anti;s21302;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;anti;s21405;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;anti;s21697;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;anti;s21914;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;compoit;s80035;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;darm;s90144;16 ;1
ke;PROCON;que1-que2-que3-que4-que2;darm;s90195;9 ;1
ke;PROCON;que1-que2-que3-que4-que2;darm;s90706;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;darm;s91273;8 ;1
ke;PROCON;que1-que2-que3-que4-que2;darm;s91367;29 ;1
ke;PROCON;que1-que2-que3-que4-que2;darm;s91401;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s91499;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s91530;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s91595;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s91661;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s91751;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s91765;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s91917;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s92283;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s92361;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s92383;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s92586;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s92961;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s93320;5 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s93518;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s93732;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;desp;s93756;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;deusamH;s94010;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96069;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96095;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96100;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96127;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96152;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96159;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96181;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96217;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96231;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96297;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96298;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96309;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96323;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96370;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96433;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96454;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96501;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96525;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96582;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96658;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96706;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96715;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96745;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96751;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96758;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96760;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96773;5 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96820;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96828;5 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96886;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96892;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96894;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96899;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96906;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96917;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96953;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96962;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96979;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s96997;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97029;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97035;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97136;5 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97247;4 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97291;5 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97321;5 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97368;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97415;3 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97462;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97473;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97497;5 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97522;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97608;2 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97646;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97756;1 ;1
ke;PROCON;que1-que2-que3-que4-que2;edmond;s97757;4 ;1
