word;pos;lemma;id;ref1;ref2;F
k;PROCON;que1-que2-que3-que4;arr;s22546;1 ;1
k;PROCON;que1-que2-que3-que4;baisieux;s30241;4 ;1
k;PROCON;que1-que2-que3-que4;desp;s93514;3 ;1
k;PROCON;que1-que2-que3-que4;desp;s93568;3 ;1
k;PROCON;que1-que2-que3-que4;evrat1;s117106;1 ;1
k;PROCON;que1-que2-que3-que4;ipo;s193111;4 ;1
k;PROCON;que1-que2-que3-que4;moral2;s246976;1 ;1
kel;PROCON;quel1;ipo;s185715;4 ;1
key;PROCON;que;plainte;s325995;1 ;1
kil;PROCON;que4PLUSil;desp;s93506;5 ;1
kil;PROCON;que4PLUSil;reis;s343146;8 ;1
q;PROCON;que1-que2-que3-que4;greg2;s166505;1 ;1
q;PROCON;que1-que2-que3-que4;greg2;s167327;3 ;1
q;PROCON;que1-que2-que3-que4;romb;s361248;1 ;1
q;PROCON;que1-que2-que3-que4;romc;s364369;1 ;1
qem;PROCON;que1-que2-que3-que4;greg2;s166730;1 ;1
qu;PROCON;que1-que2-que3-que4-que;abreja;s2850;6 ;1
qu;PROCON;que1-que2-que3-que4-que;aiol;s6144;2 ;1
qu;PROCON;que1-que2-que3-que4-que;aiol;s6800;1 ;1
qu;PROCON;que1-que2-que3-que4-que;alia;s10593;1 ;1
qu;PROCON;que1-que2-que3-que4-que;alia;s10716;6 ;1
qu;PROCON;que1-que2-que3-que4-que;alia;s11269;6 ;1
qu;PROCON;que1-que2-que3-que4-que;alia;s9481;6 ;1
qu;PROCON;que1-que2-que3-que4-que;alia;s9522;1 ;1
qu;PROCON;que1-que2-que3-que4-que;alia;s9582;4 ;1
qu;PROCON;que1-que2-que3-que4-que;alia;s9591;6 ;1
qu;PROCON;que1-que2-que3-que4-que;amou;s17476;1 ;1
qu;PROCON;que1-que2-que3-que4-que;arr;s22528;6 ;1
qu;PROCON;que1-que2-que3-que4-que;arr;s22722;5 ;1
qu;PROCON;que1-que2-que3-que4-que;barril;s32701;3 ;1
qu;PROCON;que1-que2-que3-que4-que;bodo;s49068;1 ;1
qu;PROCON;que1-que2-que3-que4-que;carp;s56877;2 ;1
qu;PROCON;que1-que2-que3-que4-que;chret1;s65142;29 ;1
qu;PROCON;que1-que2-que3-que4-que;clari2;s71714;22 ;1
qu;PROCON;que1-que2-que3-que4-que;cleom;s75767;1 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s86611;3 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s86902;2 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s86935;2 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s87383;1 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s87412;3 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s87546;3 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s88090;2 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s88108;2 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s88332;3 ;1
qu;PROCON;que1-que2-que3-que4-que;contro;s88457;5 ;1
qu;PROCON;que1-que2-que3-que4-que;enf;s108686;3 ;1
qu;PROCON;que1-que2-que3-que4-que;evrat1;s118326;5 ;1
qu;PROCON;que1-que2-que3-que4-que;fablesK;s141685;5 ;1
qu;PROCON;que1-que2-que3-que4-que;fablesL;s144025;1 ;1
qu;PROCON;que1-que2-que3-que4-que;fablesL;s144183;3 ;1
qu;PROCON;que1-que2-que3-que4-que;fablesM;s146021;1 ;1
qu;PROCON;que1-que2-que3-que4-que;fablesT;s148133;3 ;1
qu;PROCON;que1-que2-que3-que4-que;gerv;s161952;1 ;1
qu;PROCON;que1-que2-que3-que4-que;gerv;s162286;3 ;1
qu;PROCON;que1-que2-que3-que4-que;gerv;s162356;1 ;1
qu;PROCON;que1-que2-que3-que4-que;guil;s172667;3 ;1
qu;PROCON;que1-que2-que3-que4-que;joinv;s197595;19 ;1
qu;PROCON;que1-que2-que3-que4-que;jouf;s199908;1 ;1
qu;PROCON;que1-que2-que3-que4-que;maur;s229724;2 ;1
qu;PROCON;que1-que2-que3-que4-que;meun;s235915;1 ;1
qu;PROCON;que1-que2-que3-que4-que;moral2;s246192;2 ;1
qu;PROCON;que1-que2-que3-que4-que;moral2;s246920;6 ;1
qu;PROCON;que1-que2-que3-que4-que;ndchar;s256704;1 ;1
qu;PROCON;que1-que2-que3-que4-que;ndchar;s257390;1 ;1
qu;PROCON;que1-que2-que3-que4-que;ndchar;s258682;3 ;1
qu;PROCON;que1-que2-que3-que4-que;ndchar;s259150;1 ;1
qu;PROCON;que1-que2-que3-que4-que;ndchar;s261099;4 ;1
qu;PROCON;que1-que2-que3-que4-que;nimafrag;s272883;1 ;1
qu;PROCON;que1-que2-que3-que4-que;nimb1;s273250;1 ;1
qu;PROCON;que1-que2-que3-que4-que;perb;s295211;3 ;1
qu;PROCON;que1-que2-que3-que4-que;percevalb;s298693;3 ;1
qu;PROCON;que1-que2-que3-que4-que;percevalb;s303311;2 ;1
qu;PROCON;que1-que2-que3-que4-que;percevalb;s305200;2 ;1
qu;PROCON;que1-que2-que3-que4-que;perf;s306973;1 ;1
qu;PROCON;que1-que2-que3-que4-que;perl;s311693;3 ;1
qu;PROCON;que1-que2-que3-que4-que;perr;s317611;7 ;1
qu;PROCON;que1-que2-que3-que4-que;raou;s339032;6 ;1
qu;PROCON;que1-que2-que3-que4-que;reis;s343668;3 ;1
qu;PROCON;que1-que2-que3-que4-que;remi;s350462;1 ;1
qu;PROCON;que1-que2-que3-que4-que;remi;s350934;3 ;1
qu;PROCON;que1-que2-que3-que4-que;rolandox;s356627;4 ;1
qu;PROCON;que1-que2-que3-que4-que;romi;s370623;4 ;1
qu;PROCON;que1-que2-que3-que4-que;stsilv;s395884;1 ;1
qu;PROCON;que1-que2-que3-que4-que;sully2;s400291;11 ;1
qu;PROCON;que1-que2-que3-que4-que;vergib;s414916;5 ;1
qu;PROCON;que1-que2-que3-que4-que;volu;s429040;5 ;1
quel;PROCON;quel1-quel;carp;s56486;7 ;1
quel;PROCON;quel1-quel;eustache;s112775;2 ;1
quel;PROCON;quel1-quel;eustache;s112780;2 ;1
quel;PROCON;quel1-quel;eustache;s113068;5 ;1
quel;PROCON;quel1-quel;eustache;s113196;7 ;1
quel;PROCON;quel1-quel;greg2;s165992;1 ;1
quel;PROCON;quel1-quel;greg2;s167308;3 ;1
quel;PROCON;quel1-quel;greg2;s168618;1 ;1
quel;PROCON;quel1-quel;ndchar;s256630;2 ;1
quel;PROCON;quel1-quel;ndchar;s258966;2 ;1
quen;PROCON;que2;evratC2;s118990;5 ;1
ques;PROCON;quel;contro;s87016;3 ;1
ques;PROCON;quel;vergih;s419581;5 ;1
quil;PROCON;que4PLUSil;ailed;s4164;1 ;1
quil;PROCON;que4PLUSil;alia;s11635;1 ;1
quil;PROCON;que4PLUSil;amou;s16816;3 ;1
quil;PROCON;que4PLUSil;anth;s19284;6 ;1
quil;PROCON;que4PLUSil;anth;s19441;4 ;1
quil;PROCON;que4PLUSil;anth;s19665;2 ;1
quil;PROCON;que4PLUSil;anth;s20277;4 ;1
quil;PROCON;que4PLUSil;anth;s20327;3 ;1
quil;PROCON;que4PLUSil;anth;s20353;1 ;1
quil;PROCON;que4PLUSil;arr;s22791;3 ;1
quil;PROCON;que4PLUSil;arr;s23325;5 ;1
quil;PROCON;que4PLUSil;arr;s23350;4 ;1
quil;PROCON;que4PLUSil;calex;s51894;5 ;1
quil;PROCON;que4PLUSil;carp;s56365;5 ;1
quil;PROCON;que4PLUSil;chauvency;s63993;2 ;1
quil;PROCON;que4PLUSil;contro;s85704;1 ;1
quil;PROCON;que4PLUSil;contro;s87756;4 ;1
quil;PROCON;que4PLUSil;contro;s88293;1 ;1
quil;PROCON;que4PLUSil;eustache;s112238;4 ;1
quil;PROCON;que4PLUSil;eustache;s112351;2 ;1
quil;PROCON;que4PLUSil;eustache;s112883;1 ;1
quil;PROCON;que4PLUSil;eustache;s112918;1 ;1
quil;PROCON;que4PLUSil;eustache;s112956;1 ;1
quil;PROCON;que4PLUSil;eustache;s112959;1 ;1
quil;PROCON;que4PLUSil;eustache;s113032;1 ;1
quil;PROCON;que4PLUSil;eustache;s113203;2 ;1
quil;PROCON;que4PLUSil;eustache;s113383;1 ;1
quil;PROCON;que4PLUSil;eustache;s113395;1 ;1
quil;PROCON;que4PLUSil;eustache;s113405;4 ;1
quil;PROCON;que4PLUSil;eustache;s113409;4 ;1
quil;PROCON;que4PLUSil;eustache;s113468;5 ;1
quil;PROCON;que4PLUSil;eustache;s113607;3 ;1
quil;PROCON;que4PLUSil;eustache;s113618;3 ;1
quil;PROCON;que4PLUSil;eustache;s113627;4 ;1
quil;PROCON;que4PLUSil;eustache;s113652;4 ;1
quil;PROCON;que4PLUSil;eustache;s113772;2 ;1
quil;PROCON;que4PLUSil;eustache;s113803;1 ;1
quil;PROCON;que4PLUSil;eustache;s113838;1 ;1
quil;PROCON;que4PLUSil;eustache;s113918;2 ;1
quil;PROCON;que4PLUSil;jean;s196432;4 ;1
quil;PROCON;que4PLUSil;jean;s196434;2 ;1
quil;PROCON;que4PLUSil;jean;s196441;1 ;1
quil;PROCON;que4PLUSil;jean;s196442;3 ;1
quil;PROCON;que4PLUSil;jean;s196481;3 ;1
quil;PROCON;que4PLUSil;jean;s196504;5 ;1
quil;PROCON;que4PLUSil;jean;s196509;1 ;1
quil;PROCON;que4PLUSil;jean;s196511;4 ;1
quil;PROCON;que4PLUSil;jean;s196512;4 ;1
quil;PROCON;que4PLUSil;jean;s196513;4 ;1
quil;PROCON;que4PLUSil;jean;s196534;4 ;1
quil;PROCON;que4PLUSil;jean;s196550;4 ;1
quil;PROCON;que4PLUSil;jean;s196552;6 ;1
quil;PROCON;que4PLUSil;jean;s196578;3 ;1
quil;PROCON;que4PLUSil;jean;s196580;2 ;1
quil;PROCON;que4PLUSil;jean;s196581;1 ;1
quil;PROCON;que4PLUSil;jean;s196606;3 ;1
quil;PROCON;que4PLUSil;jean;s196635;8 ;1
quil;PROCON;que4PLUSil;jean;s196706;5 ;1
quil;PROCON;que4PLUSil;jean;s196715;3 ;1
quil;PROCON;que4PLUSil;jean;s196745;6 ;1
quil;PROCON;que4PLUSil;jean;s196751;9 ;1
quil;PROCON;que4PLUSil;jean;s196764;6 ;1
quil;PROCON;que4PLUSil;jean;s196771;7 ;1
quil;PROCON;que4PLUSil;jean;s196792;3 ;1
quil;PROCON;que4PLUSil;jean;s196793;10 ;1
quil;PROCON;que4PLUSil;jean;s196798;5 ;1
quil;PROCON;que4PLUSil;jean;s196824;2 ;1
quil;PROCON;que4PLUSil;jean;s196853;2 ;1
quil;PROCON;que4PLUSil;jean;s196855;2 ;1
quil;PROCON;que4PLUSil;jean;s196864;3 ;1
quil;PROCON;que4PLUSil;jean;s197009;8 ;1
quil;PROCON;que4PLUSil;jean;s197021;1 ;1
quil;PROCON;que4PLUSil;jean;s197025;6 ;1
quil;PROCON;que4PLUSil;jean;s197069;4 ;1
quil;PROCON;que4PLUSil;jean;s197076;1 ;1
quil;PROCON;que4PLUSil;jean;s197089;3 ;1
quil;PROCON;que4PLUSil;jean;s197107;6 ;1
quil;PROCON;que4PLUSil;jean;s197116;3 ;1
quil;PROCON;que4PLUSil;jean;s197118;1 ;1
quil;PROCON;que4PLUSil;jean;s197125;1 ;1
quil;PROCON;que4PLUSil;jean;s197145;3 ;1
quil;PROCON;que4PLUSil;jean;s197148;1 ;1
quil;PROCON;que4PLUSil;jean;s197156;1 ;1
quil;PROCON;que4PLUSil;jean;s197170;1 ;1
quil;PROCON;que4PLUSil;jean;s197178;3 ;1
quil;PROCON;que4PLUSil;jean;s197179;5 ;1
quil;PROCON;que4PLUSil;jean;s197184;2 ;1
quil;PROCON;que4PLUSil;jean;s197187;2 ;1
quil;PROCON;que4PLUSil;jean;s197209;4 ;1
quil;PROCON;que4PLUSil;jean;s197212;3 ;1
quil;PROCON;que4PLUSil;jean;s197242;4 ;1
quil;PROCON;que4PLUSil;jean;s197246;7 ;1
quil;PROCON;que4PLUSil;jean;s197255;2 ;1
quil;PROCON;que4PLUSil;jean;s197263;6 ;1
quil;PROCON;que4PLUSil;jean;s197275;3 ;1
quil;PROCON;que4PLUSil;jean;s197293;5 ;1
quil;PROCON;que4PLUSil;jean;s197297;4 ;1
quil;PROCON;que4PLUSil;nimd;s278920;4 ;1
quil;PROCON;que4PLUSil;perb;s295396;4 ;1
quil;PROCON;que4PLUSil;percevalb;s298878;4 ;1
quil;PROCON;que4PLUSil;percevalb;s299951;1 ;1
quil;PROCON;que4PLUSil;percevalb;s300110;2 ;1
quil;PROCON;que4PLUSil;percevalb;s300193;1 ;1
quil;PROCON;que4PLUSil;percevalb;s300194;3 ;1
quil;PROCON;que4PLUSil;percevalb;s300980;3 ;1
quil;PROCON;que4PLUSil;percevalb;s301631;1 ;1
