word;pos;lemma;id;ref1;ref2;F
k;PROCON;que_relemma;arr;s22546;1 ;1
k;PROCON;que_relemma;baisieux;s30241;4 ;1
k;PROCON;que_relemma;desp;s93514;3 ;1
k;PROCON;que_relemma;desp;s93568;3 ;1
k;PROCON;que_relemma;evrat1;s117106;1 ;1
k;PROCON;que_relemma;ipo;s193111;4 ;1
k;PROCON;que_relemma;moral2;s246976;1 ;1
kel;PROCON;quel1;ipo;s185715;4 ;1
key;PROCON;que_relemma;plainte;s325995;1 ;1
kil;PROCON;que4PLUSil;desp;s93506;5 ;1
kil;PROCON;que4PLUSil;reis;s343146;8 ;1
q;PROCON;que_relemma;greg2;s166505;1 ;1
q;PROCON;que_relemma;greg2;s167327;3 ;1
q;PROCON;que_relemma;romb;s361248;1 ;1
q;PROCON;que_relemma;romc;s364369;1 ;1
qem;PROCON;que_relemma;greg2;s166730;1 ;1
qu;PROCON;que_relemma;abreja;s2850;6 ;1
qu;PROCON;que_relemma;aiol;s6144;2 ;1
qu;PROCON;que_relemma;aiol;s6800;1 ;1
qu;PROCON;que_relemma;alia;s10593;1 ;1
qu;PROCON;que_relemma;alia;s10716;6 ;1
qu;PROCON;que_relemma;alia;s11269;6 ;1
qu;PROCON;que_relemma;alia;s9481;6 ;1
qu;PROCON;que_relemma;alia;s9522;1 ;1
qu;PROCON;que_relemma;alia;s9582;4 ;1
qu;PROCON;que_relemma;alia;s9591;6 ;1
qu;PROCON;que_relemma;amou;s17476;1 ;1
qu;PROCON;que_relemma;arr;s22528;6 ;1
qu;PROCON;que_relemma;arr;s22722;5 ;1
qu;PROCON;que_relemma;barril;s32701;3 ;1
qu;PROCON;que_relemma;bodo;s49068;1 ;1
qu;PROCON;que_relemma;carp;s56877;2 ;1
qu;PROCON;que_relemma;chret1;s65142;29 ;1
qu;PROCON;que_relemma;clari2;s71714;22 ;1
qu;PROCON;que_relemma;cleom;s75767;1 ;1
qu;PROCON;que_relemma;contro;s86611;3 ;1
qu;PROCON;que_relemma;contro;s86902;2 ;1
