word;pos;lemma;id;ref1;ref2;F
k;PROCON;que1-que2-que3-que4;aileg;s4849;1 ;1
k;PROCON;que1-que2-que3-que4;aileg;s5145;4 ;1
k;PROCON;que1-que2-que3-que4;aileo;s5237;3 ;1
k;PROCON;que1-que2-que3-que4;aileo;s5257;4 ;1
k;PROCON;que1-que2-que3-que4;aileo;s5311;4 ;1
k;PROCON;que1-que2-que3-que4;aileo;s5325;7 ;1
k;PROCON;que1-que2-que3-que4;aileo;s5344;4 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5508;4 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5523;4 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5529;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5530;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5621;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5700;5 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5752;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5770;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5902;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5945;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s5957;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s6073;1 ;1
k;PROCON;que1-que2-que3-que4;ailet;s6076;2 ;1
k;PROCON;que1-que2-que3-que4;ailet;s6078;3 ;1
k;PROCON;que1-que2-que3-que4;ailet;s6079;4 ;1
k;PROCON;que1-que2-que3-que4;alexo;s7731;1 ;1
k;PROCON;que1-que2-que3-que4;alexo;s7754;1 ;1
k;PROCON;que1-que2-que3-que4;alexo;s7780;3 ;1
k;PROCON;que1-que2-que3-que4;alexo;s7844;4 ;1
k;PROCON;que1-que2-que3-que4;alexo;s7945;1 ;1
k;PROCON;que1-que2-que3-que4;alexo;s7951;6 ;1
k;PROCON;que1-que2-que3-que4;alexo;s7952;1 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8079;4 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8103;6 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8131;5 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8133;8 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8185;8 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8195;1 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8238;1 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8255;1 ;1
k;PROCON;que1-que2-que3-que4;alexo;s8305;1 ;1
