word;pos;lemma;id;ref1;ref2;F
k;PROCON;que_relemma;aileg;s4849;1 ;1
k;PROCON;que_relemma;aileg;s5145;4 ;1
k;PROCON;que_relemma;aileo;s5237;3 ;1
k;PROCON;que_relemma;aileo;s5257;4 ;1
k;PROCON;que_relemma;aileo;s5311;4 ;1
k;PROCON;que_relemma;aileo;s5325;7 ;1
k;PROCON;que_relemma;aileo;s5344;4 ;1
k;PROCON;que_relemma;ailet;s5508;4 ;1
k;PROCON;que_relemma;ailet;s5523;4 ;1
k;PROCON;que_relemma;ailet;s5529;1 ;1
k;PROCON;que_relemma;ailet;s5530;1 ;1
k;PROCON;que_relemma;ailet;s5621;1 ;1
k;PROCON;que_relemma;ailet;s5700;5 ;1
k;PROCON;que_relemma;ailet;s5752;1 ;1
k;PROCON;que_relemma;ailet;s5770;1 ;1
k;PROCON;que_relemma;ailet;s5902;1 ;1
k;PROCON;que_relemma;ailet;s5945;1 ;1
k;PROCON;que_relemma;ailet;s5957;1 ;1
k;PROCON;que_relemma;ailet;s6073;1 ;1
k;PROCON;que_relemma;ailet;s6076;2 ;1
k;PROCON;que_relemma;ailet;s6078;3 ;1
k;PROCON;que_relemma;ailet;s6079;4 ;1
k;PROCON;que_relemma;alexo;s7731;1 ;1
k;PROCON;que_relemma;alexo;s7754;1 ;1
k;PROCON;que_relemma;alexo;s7780;3 ;1
k;PROCON;que_relemma;alexo;s7844;4 ;1
k;PROCON;que_relemma;alexo;s7945;1 ;1
k;PROCON;que_relemma;alexo;s7951;6 ;1
k;PROCON;que_relemma;alexo;s7952;1 ;1
k;PROCON;que_relemma;alexo;s8079;4 ;1
k;PROCON;que_relemma;alexo;s8103;6 ;1
k;PROCON;que_relemma;alexo;s8131;5 ;1
k;PROCON;que_relemma;alexo;s8133;8 ;1
k;PROCON;que_relemma;alexo;s8185;8 ;1
k;PROCON;que_relemma;alexo;s8195;1 ;1
k;PROCON;que_relemma;alexo;s8238;1 ;1
k;PROCON;que_relemma;alexo;s8255;1 ;1
k;PROCON;que_relemma;alexo;s8305;1 ;1
k;PROCON;que_relemma;alexo;s8363;1 ;1
k;PROCON;que_relemma;alexo;s8535;6 ;1
k;PROCON;que_relemma;alexo;s8540;2 ;1
k;PROCON;que_relemma;alexo;s8543;1 ;1
k;PROCON;que_relemma;alexo;s8553;1 ;1
k;PROCON;que_relemma;alexo;s8608;1 ;1
k;PROCON;que_relemma;alexo;s8638;1 ;1
k;PROCON;que_relemma;alexo;s8646;1 ;1
k;PROCON;que_relemma;alexo;s8760;1 ;1
k;PROCON;que_relemma;amad;s11789;3 ;1
k;PROCON;que_relemma;amad;s12226;35 ;1
k;PROCON;que_relemma;amo;s13230;1 ;1
k;PROCON;que_relemma;amo;s13300;2 ;1
k;PROCON;que_relemma;amo;s13328;2 ;1
k;PROCON;que_relemma;amo;s13350;2 ;1
k;PROCON;que_relemma;amo;s13351;2 ;1
k;PROCON;que_relemma;amo;s13381;2 ;1
k;PROCON;que_relemma;amo;s13385;3 ;1
k;PROCON;que_relemma;amo;s13567;4 ;1
k;PROCON;que_relemma;amo;s13601;4 ;1
k;PROCON;que_relemma;amo;s13674;1 ;1
k;PROCON;que_relemma;amo;s13733;3 ;1
k;PROCON;que_relemma;amo;s13847;1 ;1
k;PROCON;que_relemma;amo;s13885;3 ;1
k;PROCON;que_relemma;amo;s14146;4 ;1
k;PROCON;que_relemma;amo;s14160;1 ;1
k;PROCON;que_relemma;amo;s14267;1 ;1
k;PROCON;que_relemma;amo;s14293;3 ;1
k;PROCON;que_relemma;amo;s14313;1 ;1
k;PROCON;que_relemma;amo;s14356;1 ;1
k;PROCON;que_relemma;amo;s14361;1 ;1
k;PROCON;que_relemma;amo;s14373;1 ;1
k;PROCON;que_relemma;amo;s14438;1 ;1
k;PROCON;que_relemma;amo;s14563;3 ;1
k;PROCON;que_relemma;amo;s14572;6 ;1
k;PROCON;que_relemma;amo;s14609;1 ;1
k;PROCON;que_relemma;amo;s14650;4 ;1
k;PROCON;que_relemma;amo;s14674;2 ;1
k;PROCON;que_relemma;amo;s14697;1 ;1
k;PROCON;que_relemma;amo;s14769;2 ;1
k;PROCON;que_relemma;amo;s14802;1 ;1
k;PROCON;que_relemma;amo;s14844;2 ;1
k;PROCON;que_relemma;amo;s14847;4 ;1
k;PROCON;que_relemma;amo;s14900;1 ;1
k;PROCON;que_relemma;amo;s14913;1 ;1
k;PROCON;que_relemma;amo;s14915;3 ;1
k;PROCON;que_relemma;amo;s14929;3 ;1
k;PROCON;que_relemma;amo;s14931;1 ;1
k;PROCON;que_relemma;amo;s14949;3 ;1
k;PROCON;que_relemma;amo;s14961;4 ;1
k;PROCON;que_relemma;amo;s15005;1 ;1
k;PROCON;que_relemma;amo;s15028;2 ;1
k;PROCON;que_relemma;amo;s15088;1 ;1
k;PROCON;que_relemma;amo;s15248;2 ;1
k;PROCON;que_relemma;amo;s15276;1 ;1
k;PROCON;que_relemma;amo;s15306;1 ;1
k;PROCON;que_relemma;amo;s15540;1 ;1
k;PROCON;que_relemma;amou;s15691;5 ;1
k;PROCON;que_relemma;amou;s15817;2 ;1
k;PROCON;que_relemma;amou;s15903;4 ;1
k;PROCON;que_relemma;amou;s15926;3 ;1
k;PROCON;que_relemma;amou;s16030;5 ;1
k;PROCON;que_relemma;amou;s16066;3 ;1
k;PROCON;que_relemma;amou;s16099;2 ;1
k;PROCON;que_relemma;amou;s16136;6 ;1
k;PROCON;que_relemma;amou;s16189;4 ;1
k;PROCON;que_relemma;amou;s16391;5 ;1
k;PROCON;que_relemma;amou;s16442;3 ;1
k;PROCON;que_relemma;amou;s16535;2 ;1
k;PROCON;que_relemma;amou;s16736;4 ;1
k;PROCON;que_relemma;amou;s16785;1 ;1
k;PROCON;que_relemma;amou;s16786;1 ;1
k;PROCON;que_relemma;amou;s16787;1 ;1
k;PROCON;que_relemma;amou;s16788;1 ;1
k;PROCON;que_relemma;amou;s16789;1 ;1
k;PROCON;que_relemma;amou;s16790;1 ;1
k;PROCON;que_relemma;amou;s16791;1 ;1
k;PROCON;que_relemma;amou;s16792;1 ;1
k;PROCON;que_relemma;amou;s16793;1 ;1
k;PROCON;que_relemma;amou;s16794;1 ;1
k;PROCON;que_relemma;amou;s16795;1 ;1
k;PROCON;que_relemma;amou;s16796;1 ;1
k;PROCON;que_relemma;amou;s16797;1 ;1
k;PROCON;que_relemma;amou;s16798;1 ;1
k;PROCON;que_relemma;amou;s16799;1 ;1
k;PROCON;que_relemma;amou;s16800;1 ;1
k;PROCON;que_relemma;amou;s16801;1 ;1
k;PROCON;que_relemma;amou;s16802;1 ;1
k;PROCON;que_relemma;amou;s16803;1 ;1
k;PROCON;que_relemma;amou;s16804;1 ;1
k;PROCON;que_relemma;amou;s16805;1 ;1
k;PROCON;que_relemma;amou;s16806;1 ;1
k;PROCON;que_relemma;amou;s16807;1 ;1
k;PROCON;que_relemma;amou;s16808;1 ;1
k;PROCON;que_relemma;amou;s16809;1 ;1
k;PROCON;que_relemma;amou;s16810;1 ;1
k;PROCON;que_relemma;amou;s16811;1 ;1
k;PROCON;que_relemma;amou;s16812;1 ;1
k;PROCON;que_relemma;amou;s16813;1 ;1
k;PROCON;que_relemma;amou;s16814;1 ;1
k;PROCON;que_relemma;amou;s16815;1 ;1
k;PROCON;que_relemma;amou;s16816;1 ;1
k;PROCON;que_relemma;amou;s16817;1 ;1
k;PROCON;que_relemma;amou;s16919;3 ;1
k;PROCON;que_relemma;amou;s17286;2 ;1
k;PROCON;que_relemma;amou;s17351;5 ;1
k;PROCON;que_relemma;amou;s17530;4 ;1
k;PROCON;que_relemma;amou;s17996;3 ;1
k;PROCON;que_relemma;amou;s18099;3 ;1
k;PROCON;que_relemma;amou;s18104;3 ;1
k;PROCON;que_relemma;anti;s21143;1 ;1
