word;pos;decl;gender;number;lemma;id;ref1;ref2;F
l;DET-def;obj;femi;sg;il;abe;s2223;9;1
l;DET-def;obj;femi;sg;il;alia;s10176;4;1
l;DET-def;obj;femi;sg;il;fablesM;s147427;3;1
l;DET-def;obj;femi;sg;le;fab4e;s120972;2;1
l;DET-def;obj;femi;sg;le;floov;s159773;4;1
l;DET-def;obj;femi;sg;le;meun;s235285;4;1
l;DET-def;obj;masc;sg;il;anth;s18245;1;1
l;DET-def;obj;masc;sg;il;artch;s23990;17;1
l;DET-def;obj;masc;sg;il;cambrai;s54030;5;1
l;DET-def;obj;masc;sg;il;contro;s87310;3;1
l;DET-def;obj;masc;sg;il;edmond;s96401;2;1
l;DET-def;obj;masc;sg;il;fabb;s125371;3;1
l;DET-def;obj;masc;sg;il;fablesA;s131126;5;1
l;DET-def;obj;masc;sg;il;fablesE1;s140599;5;1
l;DET-def;obj;masc;sg;il;fablesE1;s140774;6;1
l;DET-def;obj;masc;sg;il;guil;s172413;3;1
l;DET-def;obj;masc;sg;il;ipo;s191628;3;1
l;DET-def;obj;masc;sg;il;loys;s213299;24;1
l;DET-def;obj;masc;sg;il;loys;s213861;2;1
l;DET-def;obj;masc;sg;il;pap;s287631;2;1
l;DET-def;obj;masc;sg;il;pap;s288323;4;1
l;DET-def;obj;masc;sg;il;pera;s292436;6;1
l;DET-def;obj;masc;sg;il;pera;s292716;6;1
l;DET-def;obj;masc;sg;il;percevalb;s297720;2;1
l;DET-def;obj;masc;sg;il;peru;s324307;6;1
l;DET-def;obj;masc;sg;il;raou;s339850;4;1
l;DET-def;obj;masc;sg;il;reis;s347263;8;1
l;DET-def;obj;masc;sg;il;romc;s364155;2;1
l;DET-def;obj;masc;sg;il;romd;s365745;2;1
l;DET-def;obj;masc;sg;il;romm;s374768;2;1
l;DET-def;obj;masc;sg;le;alia;s9352;8;1
l;DET-def;obj;masc;sg;le;arr;s22119;5;1
l;DET-def;obj;masc;sg;le;atre;s27966;4;1
l;DET-def;obj;masc;sg;le;darm;s90689;2;1
l;DET-def;obj;masc;sg;le;deusamS;s94374;2;1
l;DET-def;obj;masc;sg;le;fablesL;s145696;5;1
l;DET-def;obj;masc;sg;le;gepa;s161210;11;1
l;DET-def;obj;masc;sg;le;loys;s213997;107;1
l;DET-def;obj;masc;sg;le;pap;s288800;4;1
l;DET-def;obj;masc;sg;le;percevalb;s302620;3;1
l;DET-def;obj;masc;sg;le;rome;s367206;5;1
l;DET-def;suj;femi;sg;il;clari2;s71893;22;1
l;DET-def;suj;femi;sg;il;malk;s221890;2;1
l;DET-def;suj;femi;sg;il;merm;s231957;14;1
l;DET-def;suj;femi;sg;il;perm;s311814;1;1
l;DET-def;suj;masc;pl;le;romd;s365174;1;1
l;DET-def;suj;masc;sg;le;cambrai;s54176;1;1
l;DET-def;suj;masc;sg;le;fab4e;s121676;1;1
l;DET-def;suj;masc;sg;le;jouf;s199643;2;1
l;DET-def;suj;masc;sg;le;sergbH;s391996;2;1
l;DET-def;suj;masc;sg;le;thibo;s403999;6;1
