word;pos;decl;gender;number;lemma;id;ref1;ref2;F
l;DET-def;NA;NA;NA;il;athi;s27023;3;1
l;DET-def;NA;NA;NA;il;durm;s95712;2;1
l;DET-def;NA;NA;NA;il;gepa;s161008;12;1
l;DET-def;NA;NA;NA;il;gepa;s161354;5;1
l;DET-def;NA;NA;NA;il;joinv;s197418;16;1
l;DET-def;NA;NA;NA;il;meun;s233682;6;1
l;DET-def;NA;NA;NA;il;meun;s233828;5;1
l;DET-def;NA;NA;NA;il;meun;s236182;4;1
l;DET-def;NA;NA;NA;il;mous;s248059;4;1
l;DET-def;NA;NA;NA;il;ndchar;s262116;2;1
l;DET-def;NA;NA;NA;il;ndchar;s262118;3;1
l;DET-def;NA;NA;NA;il;nouvel;s279089;2;1
l;DET-def;NA;NA;NA;il;nouvel;s279923;4;1
l;DET-def;NA;NA;NA;il;percevalb;s301847;6;1
l;DET-def;NA;NA;NA;il;rou3b;s383963;2;1
l;DET-def;NA;NA;NA;il;verite;s423242;6;1
l;DET-def;NA;NA;NA;il;verite;s423644;2;1
l;DET-def;NA;NA;NA;il;verite;s423667;3;1
l;DET-def;NA;NA;NA;le;evratC2;s119835;4;1
l;DET-def;NA;NA;NA;le;nouvel;s279738;4;1
l;DET-def;obj;femi;pl;le;fab4f;s122265;1;1
l;DET-def;obj;femi;sg;il;abe;s1419;2;1
l;DET-def;obj;femi;sg;il;abe;s1561;9;1
l;DET-def;obj;femi;sg;il;abe;s2223;9;1
l;DET-def;obj;femi;sg;il;abreja;s2605;20;1
l;DET-def;obj;femi;sg;il;ailea;s3058;2;1
l;DET-def;obj;femi;sg;il;ailea;s3177;4;1
l;DET-def;obj;femi;sg;il;ailea;s3212;3;1
l;DET-def;obj;femi;sg;il;aileb;s3586;6;1
l;DET-def;obj;femi;sg;il;aileb;s3710;2;1
l;DET-def;obj;femi;sg;il;aileb;s3828;4;1
l;DET-def;obj;femi;sg;il;ailed;s4193;2;1
l;DET-def;obj;femi;sg;il;ailed;s4313;4;1
l;DET-def;obj;femi;sg;il;ailed;s4321;5;1
l;DET-def;obj;femi;sg;il;ailed;s4348;3;1
l;DET-def;obj;femi;sg;il;aileg;s4718;2;1
l;DET-def;obj;femi;sg;il;aileg;s4838;4;1
l;DET-def;obj;femi;sg;il;aileg;s4846;6;1
l;DET-def;obj;femi;sg;il;aileg;s4873;3;1
l;DET-def;obj;femi;sg;il;aileo;s5370;2;1
l;DET-def;obj;femi;sg;il;ailet;s5623;2;1
l;DET-def;obj;femi;sg;il;ailet;s5749;5;1
l;DET-def;obj;femi;sg;il;ailet;s5776;3;1
l;DET-def;obj;femi;sg;il;alexo;s8050;8;1
l;DET-def;obj;femi;sg;il;alexo;s8179;2;1
l;DET-def;obj;femi;sg;il;alexo;s8545;6;1
l;DET-def;obj;femi;sg;il;alexo;s8575;8;1
l;DET-def;obj;femi;sg;il;alia;s10176;4;1
l;DET-def;obj;femi;sg;il;alia;s10490;2;1
l;DET-def;obj;femi;sg;il;athi;s24477;5;1
l;DET-def;obj;femi;sg;il;athi;s25607;2;1
l;DET-def;obj;femi;sg;il;auc;s28456;77;1
l;DET-def;obj;femi;sg;il;beati;s34412;4;1
l;DET-def;obj;femi;sg;il;beauv;s35499;9;1
l;DET-def;obj;femi;sg;il;bel;s37771;5;1
l;DET-def;obj;femi;sg;il;bern2;s43438;4;1
l;DET-def;obj;femi;sg;il;bern2;s43458;11;1
l;DET-def;obj;femi;sg;il;best;s45813;5;1
l;DET-def;obj;femi;sg;il;best;s46749;4;1
l;DET-def;obj;femi;sg;il;best;s46874;5;1
l;DET-def;obj;femi;sg;il;cambrai;s53168;6;1
l;DET-def;obj;femi;sg;il;carp;s55876;4;1
l;DET-def;obj;femi;sg;il;chauvency;s64255;6;1
l;DET-def;obj;femi;sg;il;chret1;s64865;8;1
l;DET-def;obj;femi;sg;il;chret2;s65913;8;1
