word;pos;decl;gender;number;lemma;id;ref1;ref2;F
,int;NOM;obj;masc;sg;UNKNOWN;loys;s213079;42 ;1
aan;NOM;obj;masc;sg;ahan;percevalb;s304990;6 ;1
abaiement;NOM;obj;masc;sg;abaiement;sully2;s399660;2 ;1
abandon;NOM;obj;masc;sg;abandon;chauvency;s64067;5 ;1
abandon;NOM;obj;masc;sg;abandon;hista;s181764;3 ;1
abateis;NOM;obj;masc;sg;abateis;troi;s406390;2 ;1
abbeit;NOM;suj;masc;pl;UNKNOWN;alexo;s8487;7 ;1
abbet;NOM;suj;masc;pl;abet;moral2;s245842;6 ;1
abeil;NOM;obj;masc;sg;UNKNOWN;lancpr;s203296;12 ;1
abeit;NOM;obj;masc;sg;UNKNOWN;papgreg2;s290283;29 ;1
abergemens;NOM;suj;masc;sg;UNKNOWN;mace;s216254;4 ;1
abet;NOM;suj;masc;sg;abet;chastoi;s59006;6 ;1
abi;NOM;obj;masc;sg;abi;juise2;s201988;10 ;1
abit;NOM;obj;masc;sg;abit;barlaam;s31787;45 ;1
abit;NOM;obj;masc;sg;abit;barlaam;s32205;19 ;1
abit;NOM;obj;masc;sg;abit;edmund;s100936;7 ;1
abit;NOM;obj;masc;sg;abit;greg2;s166155;5 ;1
abit;NOM;obj;masc;sg;abit;hyla;s182741;1 ;1
abit;NOM;obj;masc;sg;abit;loys;s214009;20 ;1
abit;NOM;obj;masc;sg;abit;mule;s250713;7 ;1
abit;NOM;obj;masc;sg;abit;pseuturp;s337111;19 ;1
abit;NOM;obj;masc;sg;abit;songe14;s394874;10 ;1
abit;NOM;suj;masc;sg;abit;egip;s102230;3 ;1
abitacion;NOM;obj;femi;sg;abitacion;remi;s349465;3 ;1
abitanz;NOM;obj;masc;pl;abitant;psautier;s335527;2 ;1
abitations;NOM;suj;femi;sg;abitacion;benoit;s38634;4 ;1
abiz;NOM;obj;masc;pl;abi;greg2;s167178;6 ;1
abominatiun;NOM;obj;femi;sg;abomination;psautier;s334649;4 ;1
abregement;NOM;obj;masc;sg;abregement;beauv;s36364;4 ;1
abregement;NOM;suj;masc;sg;abregement;beauv;s36358;1 ;1
abri;NOM;obj;masc;sg;abri;reis;s344973;3 ;1
abril;NOM;obj;masc;sg;UNKNOWN;alia;s11414;2 ;1
abrokur;NOM;obj;masc;sg;UNKNOWN;oakbook;s282688;11 ;1
