word;pos;decl;gender;number;lemma;id;ref1;ref2;F
aages;NOM;obj;masc;pl;ëage;clef;s72847;6 ;1
aaiges;NOM;suj;masc;sg;ëage;yzop;s442032;3 ;1
aaties;NOM;obj;femi;pl;aatie-atie;feu;s154915;4 ;1
abaies;NOM;obj;femi;pl;abeie;carp;s56582;1 ;1
abaies;NOM;obj;femi;pl;abeie;carp;s56607;3 ;1
abayes;NOM;obj;femi;pl;abeie;contre;s83643;2 ;1
abbaies;NOM;obj;femi;pl;abeie;pseuturp;s337320;72 ;1
abbayes;NOM;obj;femi;pl;abeie;abe;s1794;8 ;1
abbeesses;NOM;suj;femi;pl;abeesse;abe;s2325;1 ;1
abbeies;NOM;obj;femi;pl;abeie;gibv;s162907;5 ;1
abbes;NOM;obj;masc;pl;abe;abe;s1441;6 ;1
abbes;NOM;suj;masc;sg;abe;abe;s1756;11 ;1
abbes;NOM;suj;masc;sg;abe;clari2;s70902;22 ;1
abbes;NOM;suj;masc;sg;abe;edmond;s97655;2 ;1
abbes;NOM;suj;masc;sg;abe;edmond;s97805;2 ;1
abbes;NOM;suj;masc;sg;abe;raou;s339352;4 ;1
abbes;NOM;suj;masc;sg;abe;sully2;s399777;9 ;1
abbes;NOM;suj;masc;sg;abe;wita;s429935;3 ;1
abbes;NOM;suj;masc;sg;abe;wita;s430168;2 ;1
abbesses;NOM;suj;femi;pl;abesse;abe;s2330;6 ;1
abbet;NOM;suj;masc;pl;abet;moral2;s245842;6 ;1
abbeyes;NOM;obj;femi;pl;abeie;greg2;s167502;6 ;1
abbeyes;NOM;obj;femi;pl;abeie;sept;s391300;2 ;1
abbez;NOM;obj;masc;pl;abe;vilea;s424904;5 ;1
abbez;NOM;suj;masc;sg;abe;abe;s1804;8 ;1
abeies;NOM;obj;femi;pl;abeie;benoit;s39356;4 ;1
abeies;NOM;obj;femi;pl;abeie;besant;s44155;5 ;1
abeies;NOM;obj;femi;pl;abeie;clari2;s71918;46 ;1
abeies;NOM;obj;femi;pl;abeie;clari2;s71920;9 ;1
abeies;NOM;obj;femi;pl;abeie;nimc;s276533;2 ;1
abeies;NOM;obj;femi;pl;abeie;robert;s353964;4 ;1
abeies;NOM;obj;femi;pl;abeie;rou1;s381279;3 ;1
abeies;NOM;suj;femi;pl;abeie;benoit;s39307;4 ;1
abelies;NOM;obj;femi;pl;UNKNOWN;poit;s328847;5 ;1
