word;pos;decl;gender;number;lemma;id;ref1;ref2;F
aage;NOM;obj;masc;sg;ëage;abe;s85;1 ;1
aage;NOM;obj;masc;sg;ëage;anth;s19746;6 ;1
aage;NOM;obj;masc;sg;ëage;anth;s19937;7 ;1
aage;NOM;obj;masc;sg;ëage;barlaam;s31990;10 ;1
aage;NOM;obj;masc;sg;ëage;beauv;s36003;1 ;1
aage;NOM;obj;masc;sg;ëage;beauv;s37159;5 ;1
aage;NOM;obj;masc;sg;ëage;carp;s55835;5 ;1
aage;NOM;obj;masc;sg;ëage;carp;s55920;5 ;1
aage;NOM;obj;masc;sg;ëage;carp;s57395;1 ;1
aage;NOM;obj;masc;sg;ëage;carp;s57706;5 ;1
aage;NOM;obj;masc;sg;ëage;cass;s58221;8 ;1
aage;NOM;obj;masc;sg;ëage;chastoi;s60635;3 ;1
aage;NOM;obj;masc;sg;ëage;chauvency;s63777;5 ;1
aage;NOM;obj;masc;sg;ëage;chret1;s65694;3 ;1
aage;NOM;obj;masc;sg;ëage;clef;s74250;4 ;1
aage;NOM;obj;masc;sg;ëage;egip;s102267;6 ;1
aage;NOM;obj;masc;sg;ëage;enf;s109331;7 ;1
aage;NOM;obj;masc;sg;ëage;enf;s109503;4 ;1
aage;NOM;obj;masc;sg;ëage;guigP;s170676;5 ;1
aage;NOM;obj;masc;sg;ëage;guigS;s171534;4 ;1
aage;NOM;obj;masc;sg;ëage;guigS;s171817;7 ;1
aage;NOM;obj;masc;sg;ëage;hista;s177642;6 ;1
aage;NOM;obj;masc;sg;ëage;hista;s177838;4 ;1
aage;NOM;obj;masc;sg;ëage;hista;s178684;5 ;1
aage;NOM;obj;masc;sg;ëage;lanc;s202693;41 ;1
aage;NOM;obj;masc;sg;ëage;livre;s210776;6 ;1
aage;NOM;obj;masc;sg;ëage;loys;s213868;16 ;1
aage;NOM;obj;masc;sg;ëage;loys;s214185;66 ;1
aage;NOM;obj;masc;sg;ëage;mace;s215959;3 ;1
aage;NOM;obj;masc;sg;ëage;martin1;s222683;8 ;1
aage;NOM;obj;masc;sg;ëage;martin1;s222776;6 ;1
aage;NOM;obj;masc;sg;ëage;martin1;s222903;3 ;1
aage;NOM;obj;masc;sg;ëage;ndchar;s259760;9 ;1
aage;NOM;obj;masc;sg;ëage;oct;s282759;5 ;1
aage;NOM;obj;masc;sg;ëage;perb;s295376;3 ;1
aage;NOM;obj;masc;sg;ëage;percevalb;s298858;3 ;1
aage;NOM;obj;masc;sg;ëage;perf;s307620;3 ;1
aage;NOM;obj;masc;sg;ëage;perh;s309590;3 ;1
aage;NOM;obj;masc;sg;ëage;perl;s311569;3 ;1
aage;NOM;obj;masc;sg;ëage;perm;s313538;3 ;1
aage;NOM;obj;masc;sg;ëage;perq;s317329;3 ;1
aage;NOM;obj;masc;sg;ëage;perr;s319204;3 ;1
aage;NOM;obj;masc;sg;ëage;pers;s320312;7 ;1
aage;NOM;obj;masc;sg;ëage;pers;s320758;7 ;1
aage;NOM;obj;masc;sg;ëage;peru;s325006;3 ;1
aage;NOM;obj;masc;sg;ëage;reis;s347484;8 ;1
aage;NOM;obj;masc;sg;ëage;ren2;s352037;6 ;1
aage;NOM;obj;masc;sg;ëage;rose;s377065;6 ;1
aage;NOM;obj;masc;sg;ëage;sage;s384049;2 ;1
aage;NOM;obj;masc;sg;ëage;sage;s384296;4 ;1
aage;NOM;obj;masc;sg;ëage;thA;s401955;6 ;1
aage;NOM;obj;masc;sg;ëage;thebefrag;s403293;6 ;1
aage;NOM;obj;masc;sg;ëage;vergie;s417256;6 ;1
