word;pos;lemma;id;ref1;ref2;F
ancontre;PRE;encontre1-encontre;herm;s176807;7;1
ancontre;PRE;encontre1-encontre;percevalb;s304955;2;1
ancontre;PRE;encontrer;herm;s175419;4;1
antre;PRE;entre2-entre;floov;s159626;5;1
antre;PRE;entre2-entre;floov;s159631;6;1
antre;PRE;entre2-entre;meun;s232624;1;1
antre;PRE;entre2-entre;orso;s285565;1;1
antre;PRE;entrer;yzop;s440971;4;1
contre;PRE;contre;amou;s16142;1;1
contre;PRE;contre;amou;s16143;1;1
contre;PRE;contre;amou;s16144;1;1
contre;PRE;contre;beauv;s37318;1;1
contre;PRE;contre;best;s45598;1;1
contre;PRE;contre;calen;s50417;1;1
contre;PRE;contre;cass;s58217;2;1
contre;PRE;contre;cass;s58405;11;1
contre;PRE;contre;cass;s58506;1;1
contre;PRE;contre;contre;s82681;1;1
contre;PRE;contre;contre;s82788;3;1
contre;PRE;contre;contre;s82790;2;1
contre;PRE;contre;contre;s82791;3;1
contre;PRE;contre;contre;s84291;2;1
contre;PRE;contre;fetrom;s153647;3;1
contre;PRE;contre;feu;s154932;6;1
contre;PRE;contre;fierens;s158039;4;1
contre;PRE;contre;gorm;s165109;1;1
contre;PRE;contre;guigS;s172239;3;1
contre;PRE;contre;helc;s174921;3;1
contre;PRE;contre;helc;s175107;18;1
contre;PRE;contre;hista;s179313;4;1
contre;PRE;contre;hista;s181850;6;1
contre;PRE;contre;hue;s182319;3;1
contre;PRE;contre;lanvalP;s204677;1;1
contre;PRE;contre;lanvalS;s205317;1;1
contre;PRE;contre;livre;s210489;3;1
contre;PRE;contre;maur;s229443;3;1
contre;PRE;contre;maur;s229959;3;1
contre;PRE;contre;mede;s230096;1;1
contre;PRE;contre;merm;s232181;14;1
contre;PRE;contre;meun;s234919;2;1
contre;PRE;contre;meun;s236317;1;1
contre;PRE;contre;meun;s236359;3;1
contre;PRE;contre;miro;s240574;2;1
contre;PRE;contre;moral2;s246097;1;1
contre;PRE;contre;mous;s248631;4;1
