word;pos;lemma;id;ref1;ref2;F
d;PRE;de;abe;s1139;6;1
d;PRE;de;abe;s1313;3;1
d;PRE;de;abe;s1318;1;1
d;PRE;de;abe;s1336;5;1
d;PRE;de;abe;s1385;2;1
d;PRE;de;abe;s1391;2;1
d;PRE;de;abe;s1394;3;1
d;PRE;de;abe;s1430;2;1
d;PRE;de;abe;s1456;7;1
d;PRE;de;abe;s1486;9;1
d;PRE;de;abe;s1605;7;1
d;PRE;de;abe;s1664;1;1
d;PRE;de;abe;s1727;6;1
d;PRE;de;abe;s1730;5;1
d;PRE;de;abe;s174;3;1
d;PRE;de;abe;s1757;2;1
d;PRE;de;abe;s1771;3;1
d;PRE;de;abe;s1772;5;1
d;PRE;de;abe;s1810;4;1
d;PRE;de;abe;s1828;5;1
d;PRE;de;abe;s1853;3;1
d;PRE;de;abe;s1865;1;1
d;PRE;de;abe;s1867;8;1
d;PRE;de;abe;s1891;3;1
d;PRE;de;abe;s1895;1;1
d;PRE;de;abe;s1920;6;1
d;PRE;de;abe;s1961;2;1
d;PRE;de;abe;s2022;7;1
d;PRE;de;abe;s2099;2;1
d;PRE;de;abe;s2142;4;1
d;PRE;de;abe;s2187;7;1
d;PRE;de;abe;s2200;2;1
d;PRE;de;abe;s2263;8;1
d;PRE;de;abe;s248;7;1
d;PRE;de;abe;s264;6;1
d;PRE;de;abe;s400;7;1
d;PRE;de;abe;s413;2;1
d;PRE;de;abe;s438;6;1
d;PRE;de;abe;s550;7;1
d;PRE;de;abe;s701;6;1
d;PRE;de;abe;s715;7;1
d;PRE;de;abe;s724;2;1
d;PRE;de;abe;s729;4;1
d;PRE;de;abe;s870;5;1
d;PRE;de;abreja;s2497;10;1
d;PRE;de;abreja;s2503;11;1
d;PRE;de;abreja;s2515;16;1
d;PRE;de;abreja;s2515;4;1
d;PRE;de;abreja;s2516;1;1
d;PRE;de;abreja;s2519;4;1
d;PRE;de;abreja;s2528;44;1
d;PRE;de;abreja;s2540;48;1
d;PRE;de;abreja;s2543;21;1
d;PRE;de;abreja;s2544;10;1
d;PRE;de;abreja;s2550;35;1
d;PRE;de;abreja;s2552;11;1
d;PRE;de;abreja;s2554;30;1
d;PRE;de;abreja;s2554;33;1
d;PRE;de;abreja;s2567;67;1
d;PRE;de;abreja;s2573;31;1
d;PRE;de;abreja;s2574;26;1
d;PRE;de;abreja;s2575;29;1
d;PRE;de;abreja;s2577;56;1
d;PRE;de;abreja;s2583;20;1
d;PRE;de;abreja;s2589;18;1
d;PRE;de;abreja;s2589;51;1
d;PRE;de;abreja;s2590;14;1
d;PRE;de;abreja;s2591;10;1
d;PRE;de;abreja;s2592;12;1
d;PRE;de;abreja;s2593;41;1
d;PRE;de;abreja;s2606;7;1
d;PRE;de;abreja;s2607;15;1
d;PRE;de;abreja;s2619;38;1
d;PRE;de;abreja;s2619;44;1
d;PRE;de;abreja;s2619;75;1
d;PRE;de;abreja;s2625;32;1
d;PRE;de;abreja;s2627;45;1
d;PRE;de;abreja;s2628;26;1
d;PRE;de;abreja;s2632;15;1
d;PRE;de;abreja;s2634;14;1
d;PRE;de;abreja;s2636;5;1
d;PRE;de;abreja;s2646;22;1
d;PRE;de;abreja;s2658;16;1
d;PRE;de;abreja;s2662;41;1
d;PRE;de;abreja;s2663;6;1
