word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
ge;PRO;pers;suj;1;neutre;sg;je;abe;s1276;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s1515;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s1640;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s1766;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s1817;7 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s2047;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s2361;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s2405;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s2421;9 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s2432;12 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s395;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s43;8 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s59;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s6;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s796;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3570;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3576;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3577;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3597;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3638;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3660;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3661;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3676;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3688;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3689;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3691;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3692;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3693;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3702;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3738;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3856;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3874;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3896;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3960;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3991;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s4021;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s4035;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s4036;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s4041;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4045;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4052;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4053;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4073;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4139;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4140;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4152;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4159;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4159;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4171;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4172;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4174;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4175;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4176;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4222;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4227;1 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4341;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4359;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4381;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4473;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4515;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4516;2 ;1
