word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
ge;PRO;pers;suj;1;neutre;sg;je;abe;s1330;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s1406;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s1745;9 ;1
ge;PRO;pers;suj;1;neutre;sg;je;abe;s2423;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3596;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;aileb;s3740;4 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4072;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;ailed;s4224;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;alia;s10577;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;alia;s9271;5 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31567;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31600;3 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31606;13 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31647;28 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31689;14 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31713;33 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31714;40 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31762;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31780;21 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31782;28 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31782;54 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31871;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31914;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31940;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31961;2 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s31973;24 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s32046;6 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s32047;16 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s32047;23 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s32047;35 ;1
ge;PRO;pers;suj;1;neutre;sg;je;barlaam;s32125;18 ;1
