word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
gen;PRO;pers;suj;1;neutre;sg;je;clef;s72374;4 ;1
gen;PRO;pers;suj;1;neutre;sg;je;clef;s73024;4 ;1
ges;PRO;pers;suj;1;neutre;sg;je;calex;s51532;5 ;1
i;PRO;pers;suj;1;neutre;sg;i2-i-y;fablesC;s135910;1 ;1
i;PRO;pers;suj;1;neutre;sg;i2-i-y;sergbH;s391738;7 ;1
il;PRO;pers;suj;1;neutre;sg;il;edmund;s98612;4 ;1
il;PRO;pers;suj;1;neutre;sg;il;herm;s176103;1 ;1
il;PRO;pers;suj;1;neutre;sg;il;ipo;s188311;1 ;1
il;PRO;pers;suj;1;neutre;sg;il;ipo;s189276;2 ;1
il;PRO;pers;suj;1;neutre;sg;il;ipo;s190990;3 ;1
il;PRO;pers;suj;1;neutre;sg;il;ipo;s192982;3 ;1
il;PRO;pers;suj;1;neutre;sg;il;ipo;s193327;5 ;1
il;PRO;pers;suj;1;neutre;sg;il;maur;s229751;2 ;1
il;PRO;pers;suj;1;neutre;sg;il;oakbook;s282475;8 ;1
il;PRO;pers;suj;1;neutre;sg;il;reis;s347636;4 ;1
il;PRO;pers;suj;1;neutre;sg;il;yonecQ;s431325;1 ;1
j;PRO;pers;suj;1;neutre;sg;je;contre;s84893;6 ;1
j;PRO;pers;suj;1;neutre;sg;je;evrat1;s116201;2 ;1
jen;PRO;pers;suj;1;neutre;sg;je;clef;s73161;4 ;1
jen;PRO;pers;suj;1;neutre;sg;je;clef;s74327;4 ;1
jen;PRO;pers;suj;1;neutre;sg;je;clef;s74386;4 ;1
jen;PRO;pers;suj;1;neutre;sg;je;clef;s74434;3 ;1
jen;PRO;pers;suj;1;neutre;sg;je;michel;s236568;6 ;1
jen;PRO;pers;suj;1;neutre;sg;je;michel;s236908;4 ;1
jen;PRO;pers;suj;1;neutre;sg;je;michel;s236978;7 ;1
jen;PRO;pers;suj;1;neutre;sg;je;michel;s237208;5 ;1
