word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
g;PRO;pers;suj;1;neutre;sg;je;alia;s11580;3 ;1
g;PRO;pers;suj;1;neutre;sg;je;alia;s9091;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;amad;s12232;16 ;1
g;PRO;pers;suj;1;neutre;sg;je;anth;s18708;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;athi;s24146;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;athi;s24733;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;athi;s24990;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;athi;s25093;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;atre;s27614;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;atre;s28167;3 ;1
g;PRO;pers;suj;1;neutre;sg;je;auc;s28402;14 ;1
g;PRO;pers;suj;1;neutre;sg;je;barlaam;s32041;20 ;1
g;PRO;pers;suj;1;neutre;sg;je;barril;s32675;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;barril;s32847;3 ;1
g;PRO;pers;suj;1;neutre;sg;je;barril;s32933;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;barril;s32955;6 ;1
g;PRO;pers;suj;1;neutre;sg;je;beauv;s36615;13 ;1
g;PRO;pers;suj;1;neutre;sg;je;bodo;s48935;6 ;1
g;PRO;pers;suj;1;neutre;sg;je;bodo;s49098;3 ;1
g;PRO;pers;suj;1;neutre;sg;je;cambrai;s53137;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;cambrai;s53719;7 ;1
g;PRO;pers;suj;1;neutre;sg;je;cambrai;s53738;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;cambrai;s53859;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;chastoi;s60915;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;chastoi;s61371;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;chastoi;s61696;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;chastoi;s61707;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;chastoi;s61709;4 ;1
g;PRO;pers;suj;1;neutre;sg;je;chauvency;s62080;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;chauvency;s63965;6 ;1
g;PRO;pers;suj;1;neutre;sg;je;chauvency;s64090;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;chret1;s65009;27 ;1
g;PRO;pers;suj;1;neutre;sg;je;chret2;s66027;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;chret2;s66345;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;chret2;s66752;7 ;1
g;PRO;pers;suj;1;neutre;sg;je;chret2;s67249;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;clari2;s70957;46 ;1
g;PRO;pers;suj;1;neutre;sg;je;clari2;s71514;25 ;1
g;PRO;pers;suj;1;neutre;sg;je;conperc;s82118;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s82266;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s82562;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s83852;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s83870;4 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s84085;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s84247;4 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s84262;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s84281;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s84362;4 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s84849;4 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s85055;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s85280;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s85325;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s85394;4 ;1
g;PRO;pers;suj;1;neutre;sg;je;contre;s85502;2 ;1
g;PRO;pers;suj;1;neutre;sg;je;contro;s88212;3 ;1
g;PRO;pers;suj;1;neutre;sg;je;cou;s89713;1 ;1
g;PRO;pers;suj;1;neutre;sg;je;desp;s91931;5 ;1
g;PRO;pers;suj;1;neutre;sg;je;desp;s93103;4 ;1
g;PRO;pers;suj;1;neutre;sg;je;dole;s95092;3 ;1
g;PRO;pers;suj;1;neutre;sg;je;dole;s95156;6 ;1
g;PRO;pers;suj;1;neutre;sg;je;durm;s95841;1 ;1
