word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s1192;4 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s1707;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s1709;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s630;1 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s665;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s666;4 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s673;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s680;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s831;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s880;7 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s893;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abe;s970;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;abreja;s2847;26 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailea;s2930;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailea;s3105;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailea;s3240;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailea;s3559;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;aileb;s3589;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;aileb;s3589;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;aileb;s3807;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;aileb;s3810;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;aileb;s3891;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailed;s4065;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailed;s4065;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailed;s4241;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailed;s4291;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailed;s4376;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;aileg;s4590;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;aileg;s4765;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;aileo;s5246;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailet;s5670;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;ailet;s5803;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alexo;s7901;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alexo;s7959;4 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alexo;s7962;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alexo;s8199;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alexo;s8203;7 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alexo;s8459;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alexo;s8510;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alexo;s8513;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s10124;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s10699;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s10722;7 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s11003;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s11416;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s11572;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s11586;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9059;4 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9141;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9225;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9431;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9545;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9653;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9737;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9741;4 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;alia;s9753;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11729;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11733;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11767;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11803;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11804;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11868;25 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11870;26 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11878;12 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11879;10 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s11886;23 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s12047;47 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s12188;27 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s12217;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s12222;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s12230;1 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s12349;9 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s12375;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amad;s12386;19 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amile;s12554;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amile;s12867;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amile;s13050;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amile;s13074;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amile;s13175;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amo;s13775;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s15595;7 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s15679;7 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s15716;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s15719;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s15795;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s15810;8 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s15933;2 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s15964;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16412;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16487;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16529;7 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16632;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16634;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16670;3 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16790;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16819;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s16840;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s17026;5 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s17045;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s17151;6 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s17229;4 ;1
la;PRO;pers;acc;3;femi;sg;ele-il;amou;s17230;4 ;1
