word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
l;PRO;pers;acc;3;femi;sg;il;auc;s28469;47 ;1
l;PRO;pers;acc;3;femi;sg;il;auc;s28545;98 ;1
l;PRO;pers;acc;3;femi;sg;il;auc;s28688;14 ;1
l;PRO;pers;acc;3;femi;sg;il;aucchants;s28825;20 ;1
l;PRO;pers;acc;3;femi;sg;il;chaitH;s58605;3 ;1
l;PRO;pers;acc;3;femi;sg;il;deusamH;s94120;6 ;1
l;PRO;pers;acc;3;femi;sg;il;equiH;s111445;3 ;1
l;PRO;pers;acc;3;femi;sg;il;equiH;s111479;5 ;1
l;PRO;pers;acc;3;femi;sg;il;equiS;s111790;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesA;s129377;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesB;s133451;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesB;s133655;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesB;s133676;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesC;s135832;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesC;s135941;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesC;s135942;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesC;s135969;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesC;s136069;3 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesC;s136072;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesC;s137030;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesC;s137791;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesK;s141506;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesK;s141509;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesK;s142589;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesK;s142650;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesK;s143231;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s143756;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s143895;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s143911;3 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s144028;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s144070;3 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s144074;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s144392;6 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s144450;3 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s144961;3 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s145087;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesL;s145271;1 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesM;s146025;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesM;s146052;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesM;s146185;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesM;s146230;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesM;s146544;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesM;s146919;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesM;s147015;6 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s147832;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s147941;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s147942;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s147969;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s148123;3 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s148143;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s148177;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s148492;6 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s149200;6 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s149297;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s149588;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s150066;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesT;s150070;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesY;s150531;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesY;s150641;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s151699;5 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s151808;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s151809;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s151836;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s151969;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s152010;3 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s152014;2 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s152025;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s152045;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s152135;7 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s152330;6 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s152355;4 ;1
l;PRO;pers;acc;3;femi;sg;il;fablesZ;s152388;3 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170050;5 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170165;4 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170187;3 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170224;4 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170405;3 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170435;8 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170453;3 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170456;3 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170514;4 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170523;5 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170532;6 ;1
l;PRO;pers;acc;3;femi;sg;il;guigH;s170580;2 ;1
l;PRO;pers;acc;3;femi;sg;il;guigP;s170925;5 ;1
l;PRO;pers;acc;3;femi;sg;il;guigP;s171310;8 ;1
l;PRO;pers;acc;3;femi;sg;il;guigP;s171328;3 ;1
l;PRO;pers;acc;3;femi;sg;il;guigP;s171331;3 ;1
l;PRO;pers;acc;3;femi;sg;il;guigP;s171387;4 ;1
l;PRO;pers;acc;3;femi;sg;il;guigP;s171405;6 ;1
l;PRO;pers;acc;3;femi;sg;il;guigS;s171911;6 ;1
l;PRO;pers;acc;3;femi;sg;il;guigS;s171945;2 ;1
l;PRO;pers;acc;3;femi;sg;il;guigS;s171952;3 ;1
l;PRO;pers;acc;3;femi;sg;il;guigS;s172160;8 ;1
l;PRO;pers;acc;3;femi;sg;il;guigS;s172246;5 ;1
l;PRO;pers;acc;3;femi;sg;il;ipo;s186877;9 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalC;s203891;3 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalC;s203923;5 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalH;s204079;2 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalH;s204278;5 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalH;s204340;5 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalH;s204539;3 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalH;s204545;7 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalH;s204573;3 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalP;s204923;5 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalP;s204985;5 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalP;s205184;5 ;1
l;PRO;pers;acc;3;femi;sg;il;lanvalS;s205824;3 ;1
l;PRO;pers;acc;3;femi;sg;il;maur;s229506;2 ;1
l;PRO;pers;acc;3;femi;sg;il;merlin;s230509;6 ;1
l;PRO;pers;acc;3;femi;sg;il;milonS;s237773;6 ;1
l;PRO;pers;acc;3;femi;sg;il;milonS;s237776;4 ;1
l;PRO;pers;acc;3;femi;sg;il;milunH;s237871;6 ;1
l;PRO;pers;acc;3;femi;sg;il;milunH;s238308;6 ;1
l;PRO;pers;acc;3;femi;sg;il;milunH;s238311;4 ;1
l;PRO;pers;acc;3;femi;sg;il;reis;s340824;12 ;1
l;PRO;pers;acc;3;femi;sg;il;reis;s346008;10 ;1
l;PRO;pers;acc;3;femi;sg;il;reis;s346801;13 ;1
l;PRO;pers;acc;3;femi;sg;il;reis;s346810;4 ;1
l;PRO;pers;acc;3;femi;sg;il;vergia;s413912;5 ;1
l;PRO;pers;acc;3;femi;sg;il;vergib;s414860;5 ;1
l;PRO;pers;acc;3;femi;sg;il;vergic;s415823;5 ;1
l;PRO;pers;acc;3;femi;sg;il;vergie;s416808;5 ;1
l;PRO;pers;acc;3;femi;sg;il;vergig;s418600;6 ;1
l;PRO;pers;acc;3;femi;sg;il;vergii;s420557;5 ;1
l;PRO;pers;acc;3;femi;sg;il;vergik;s421493;5 ;1
l;PRO;pers;acc;3;femi;sg;il;vergil;s422316;5 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecH;s430554;5 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecP;s431081;2 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecP;s431121;2 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecQ;s431270;5 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecQ;s431480;2 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecQ;s431638;2 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecQ;s431676;2 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecS;s432171;2 ;1
l;PRO;pers;acc;3;femi;sg;il;yonecS;s432186;3 ;1
