word;pos;lemma;id;ref1;ref2;F
ne;PRO_clit;en2-ne;abe;s1010;2;1
ne;PRO_clit;en2-ne;abe;s1010;3;1
ne;PRO_clit;en2-ne;abe;s1019;7;1
ne;PRO_clit;en2-ne;abe;s1027;6;1
ne;PRO_clit;en2-ne;abe;s1031;3;1
ne;PRO_clit;en2-ne;abe;s1066;6;1
ne;PRO_clit;en2-ne;abe;s1103;5;1
ne;PRO_clit;en2-ne;abe;s1106;1;1
ne;PRO_clit;en2-ne;abe;s1109;5;1
ne;PRO_clit;en2-ne;abe;s1115;1;1
ne;PRO_clit;en2-ne;abe;s1116;6;1
ne;PRO_clit;en2-ne;abe;s1118;5;1
ne;PRO_clit;en2-ne;abe;s1134;6;1
ne;PRO_clit;en2-ne;abe;s1144;2;1
ne;PRO_clit;en2-ne;abe;s1151;3;1
ne;PRO_clit;en2-ne;abe;s1152;1;1
ne;PRO_clit;en2-ne;abe;s1152;2;1
ne;PRO_clit;en2-ne;abe;s1178;4;1
ne;PRO_clit;en2-ne;abe;s1191;3;1
ne;PRO_clit;en2-ne;abe;s1246;3;1
ne;PRO_clit;en2-ne;abe;s1296;3;1
ne;PRO_clit;en2-ne;abe;s1326;2;1
ne;PRO_clit;en2-ne;abe;s134;5;1
ne;PRO_clit;en2-ne;abe;s1365;9;1
ne;PRO_clit;en2-ne;abe;s1395;6;1
ne;PRO_clit;en2-ne;abe;s1400;2;1
ne;PRO_clit;en2-ne;abe;s1451;2;1
ne;PRO_clit;en2-ne;abe;s1451;7;1
ne;PRO_clit;en2-ne;abe;s1454;1;1
ne;PRO_clit;en2-ne;abe;s1454;6;1
ne;PRO_clit;en2-ne;abe;s1495;3;1
ne;PRO_clit;en2-ne;abe;s1504;13;1
ne;PRO_clit;en2-ne;abe;s1507;6;1
ne;PRO_clit;en2-ne;abe;s1507;7;1
ne;PRO_clit;en2-ne;abe;s1514;8;1
ne;PRO_clit;en2-ne;abe;s1563;2;1
ne;PRO_clit;en2-ne;abe;s1566;4;1
ne;PRO_clit;en2-ne;abe;s1571;1;1
ne;PRO_clit;en2-ne;abe;s1591;2;1
ne;PRO_clit;en2-ne;abe;s1593;12;1
ne;PRO_clit;en2-ne;abe;s1608;10;1
ne;PRO_clit;en2-ne;abe;s1609;6;1
ne;PRO_clit;en2-ne;abe;s1625;5;1
ne;PRO_clit;en2-ne;abe;s1632;4;1
ne;PRO_clit;en2-ne;abe;s1633;11;1
ne;PRO_clit;en2-ne;abe;s1634;6;1
ne;PRO_clit;en2-ne;abe;s1649;7;1
ne;PRO_clit;en2-ne;abe;s1654;10;1
ne;PRO_clit;en2-ne;abe;s1673;1;1
ne;PRO_clit;en2-ne;abe;s1679;4;1
ne;PRO_clit;en2-ne;abe;s1751;5;1
ne;PRO_clit;en2-ne;abe;s1752;1;1
ne;PRO_clit;en2-ne;abe;s1767;7;1
ne;PRO_clit;en2-ne;abe;s1798;9;1
ne;PRO_clit;en2-ne;abe;s1801;7;1
ne;PRO_clit;en2-ne;abe;s1802;3;1
ne;PRO_clit;en2-ne;abe;s1809;3;1
ne;PRO_clit;en2-ne;abe;s1814;3;1
ne;PRO_clit;en2-ne;abe;s1816;8;1
ne;PRO_clit;en2-ne;abe;s1824;2;1
ne;PRO_clit;en2-ne;abe;s1826;8;1
ne;PRO_clit;en2-ne;abe;s1848;11;1
ne;PRO_clit;en2-ne;abe;s1862;9;1
ne;PRO_clit;en2-ne;abe;s1869;7;1
ne;PRO_clit;en2-ne;abe;s1870;5;1
ne;PRO_clit;en2-ne;abe;s1882;7;1
ne;PRO_clit;en2-ne;abe;s1913;3;1
ne;PRO_clit;en2-ne;abe;s1914;5;1
ne;PRO_clit;en2-ne;abe;s1921;7;1
ne;PRO_clit;en2-ne;abe;s1931;6;1
ne;PRO_clit;en2-ne;abe;s1935;8;1
ne;PRO_clit;en2-ne;abe;s1947;9;1
ne;PRO_clit;en2-ne;abe;s1954;2;1
ne;PRO_clit;en2-ne;abe;s1961;7;1
ne;PRO_clit;en2-ne;abe;s1962;1;1
ne;PRO_clit;en2-ne;abe;s1964;2;1
ne;PRO_clit;en2-ne;abe;s1969;5;1
ne;PRO_clit;en2-ne;abe;s1984;7;1
ne;PRO_clit;en2-ne;abe;s1988;7;1
ne;PRO_clit;en2-ne;abe;s1991;6;1
ne;PRO_clit;en2-ne;abe;s1992;8;1
ne;PRO_clit;en2-ne;abe;s2005;7;1
ne;PRO_clit;en2-ne;abe;s2013;1;1
ne;PRO_clit;en2-ne;abe;s2013;11;1
ne;PRO_clit;en2-ne;abe;s2057;4;1
ne;PRO_clit;en2-ne;abe;s2065;9;1
ne;PRO_clit;en2-ne;abe;s2068;12;1
ne;PRO_clit;en2-ne;abe;s2088;13;1
ne;PRO_clit;en2-ne;abe;s2088;4;1
ne;PRO_clit;en2-ne;abe;s2095;9;1
ne;PRO_clit;en2-ne;abe;s2118;4;1
ne;PRO_clit;en2-ne;abe;s2122;8;1
ne;PRO_clit;en2-ne;abe;s2131;5;1
ne;PRO_clit;en2-ne;abe;s2182;5;1
ne;PRO_clit;en2-ne;abe;s2191;9;1
ne;PRO_clit;en2-ne;abe;s2195;6;1
ne;PRO_clit;en2-ne;abe;s2196;5;1
ne;PRO_clit;en2-ne;abe;s2236;7;1
ne;PRO_clit;en2-ne;abe;s2249;7;1
ne;PRO_clit;en2-ne;abe;s2265;5;1
ne;PRO_clit;en2-ne;abe;s2266;10;1
ne;PRO_clit;en2-ne;abe;s2278;8;1
ne;PRO_clit;en2-ne;abe;s2281;3;1
ne;PRO_clit;en2-ne;abe;s2282;3;1
ne;PRO_clit;en2-ne;abe;s2286;10;1
ne;PRO_clit;en2-ne;abe;s2291;3;1
ne;PRO_clit;en2-ne;abe;s232;1;1
ne;PRO_clit;en2-ne;abe;s232;3;1
ne;PRO_clit;en2-ne;abe;s2327;6;1
ne;PRO_clit;en2-ne;abe;s2348;6;1
ne;PRO_clit;en2-ne;abe;s2352;10;1
ne;PRO_clit;en2-ne;abe;s2372;11;1
ne;PRO_clit;en2-ne;abe;s2373;8;1
ne;PRO_clit;en2-ne;abe;s2404;2;1
ne;PRO_clit;en2-ne;abe;s2405;7;1
ne;PRO_clit;en2-ne;abe;s2409;9;1
ne;PRO_clit;en2-ne;abe;s2415;12;1
ne;PRO_clit;en2-ne;abe;s2416;1;1
ne;PRO_clit;en2-ne;abe;s2449;8;1
ne;PRO_clit;en2-ne;abe;s2451;3;1
ne;PRO_clit;en2-ne;abe;s2457;5;1
ne;PRO_clit;en2-ne;abe;s2462;7;1
ne;PRO_clit;en2-ne;abe;s2469;12;1
ne;PRO_clit;en2-ne;abe;s2469;5;1
ne;PRO_clit;en2-ne;abe;s2470;5;1
ne;PRO_clit;en2-ne;abe;s2474;3;1
ne;PRO_clit;en2-ne;abe;s252;5;1
ne;PRO_clit;en2-ne;abe;s295;3;1
ne;PRO_clit;en2-ne;abe;s295;4;1
ne;PRO_clit;en2-ne;abe;s3;4;1
ne;PRO_clit;en2-ne;abe;s310;6;1
ne;PRO_clit;en2-ne;abe;s335;1;1
ne;PRO_clit;en2-ne;abe;s341;4;1
ne;PRO_clit;en2-ne;abe;s347;6;1
ne;PRO_clit;en2-ne;abe;s355;4;1
ne;PRO_clit;en2-ne;abe;s400;3;1
ne;PRO_clit;en2-ne;abe;s414;1;1
ne;PRO_clit;en2-ne;abe;s422;2;1
ne;PRO_clit;en2-ne;abe;s427;3;1
ne;PRO_clit;en2-ne;abe;s431;5;1
ne;PRO_clit;en2-ne;abe;s442;6;1
ne;PRO_clit;en2-ne;abe;s487;5;1
ne;PRO_clit;en2-ne;abe;s498;2;1
ne;PRO_clit;en2-ne;abe;s519;9;1
ne;PRO_clit;en2-ne;abe;s521;1;1
ne;PRO_clit;en2-ne;abe;s529;4;1
ne;PRO_clit;en2-ne;abe;s529;5;1
