word;pos;lemma;id;ref1;ref2;F
n;PRO_clit;en2-ne;abe;s1002;2;1
n;PRO_clit;en2-ne;abe;s1006;1;1
n;PRO_clit;en2-ne;abe;s1023;5;1
n;PRO_clit;en2-ne;abe;s1024;3;1
n;PRO_clit;en2-ne;abe;s1120;6;1
n;PRO_clit;en2-ne;abe;s1141;4;1
n;PRO_clit;en2-ne;abe;s1240;2;1
n;PRO_clit;en2-ne;abe;s1241;3;1
n;PRO_clit;en2-ne;abe;s1300;1;1
n;PRO_clit;en2-ne;abe;s1338;6;1
n;PRO_clit;en2-ne;abe;s1341;3;1
n;PRO_clit;en2-ne;abe;s1378;3;1
n;PRO_clit;en2-ne;abe;s1452;3;1
n;PRO_clit;en2-ne;abe;s1517;8;1
n;PRO_clit;en2-ne;abe;s1523;4;1
n;PRO_clit;en2-ne;abe;s1527;8;1
n;PRO_clit;en2-ne;abe;s1528;2;1
n;PRO_clit;en2-ne;abe;s1529;10;1
n;PRO_clit;en2-ne;abe;s1534;6;1
n;PRO_clit;en2-ne;abe;s1535;4;1
n;PRO_clit;en2-ne;abe;s1548;9;1
n;PRO_clit;en2-ne;abe;s1572;5;1
n;PRO_clit;en2-ne;abe;s1582;6;1
n;PRO_clit;en2-ne;abe;s1587;7;1
n;PRO_clit;en2-ne;abe;s1606;10;1
n;PRO_clit;en2-ne;abe;s1645;4;1
n;PRO_clit;en2-ne;abe;s1673;3;1
n;PRO_clit;en2-ne;abe;s1682;3;1
n;PRO_clit;en2-ne;abe;s1683;3;1
n;PRO_clit;en2-ne;abe;s1797;2;1
n;PRO_clit;en2-ne;abe;s183;2;1
n;PRO_clit;en2-ne;abe;s1849;8;1
n;PRO_clit;en2-ne;abe;s1870;1;1
n;PRO_clit;en2-ne;abe;s1870;7;1
n;PRO_clit;en2-ne;abe;s1879;10;1
n;PRO_clit;en2-ne;abe;s1906;3;1
n;PRO_clit;en2-ne;abe;s1922;7;1
n;PRO_clit;en2-ne;abe;s1937;3;1
n;PRO_clit;en2-ne;abe;s1964;8;1
n;PRO_clit;en2-ne;abe;s1966;8;1
n;PRO_clit;en2-ne;abe;s1970;7;1
n;PRO_clit;en2-ne;abe;s1990;7;1
n;PRO_clit;en2-ne;abe;s2083;5;1
n;PRO_clit;en2-ne;abe;s2097;8;1
n;PRO_clit;en2-ne;abe;s2107;2;1
n;PRO_clit;en2-ne;abe;s2118;5;1
n;PRO_clit;en2-ne;abe;s2119;5;1
n;PRO_clit;en2-ne;abe;s2164;12;1
n;PRO_clit;en2-ne;abe;s2175;3;1
n;PRO_clit;en2-ne;abe;s2189;4;1
n;PRO_clit;en2-ne;abe;s2210;6;1
n;PRO_clit;en2-ne;abe;s2263;10;1
n;PRO_clit;en2-ne;abe;s2284;7;1
n;PRO_clit;en2-ne;abe;s2287;5;1
n;PRO_clit;en2-ne;abe;s230;8;1
n;PRO_clit;en2-ne;abe;s2311;8;1
n;PRO_clit;en2-ne;abe;s2336;2;1
n;PRO_clit;en2-ne;abe;s2344;2;1
n;PRO_clit;en2-ne;abe;s236;7;1
n;PRO_clit;en2-ne;abe;s2386;5;1
n;PRO_clit;en2-ne;abe;s390;1;1
n;PRO_clit;en2-ne;abe;s430;3;1
n;PRO_clit;en2-ne;abe;s433;4;1
n;PRO_clit;en2-ne;abe;s451;3;1
n;PRO_clit;en2-ne;abe;s478;8;1
n;PRO_clit;en2-ne;abe;s492;3;1
n;PRO_clit;en2-ne;abe;s511;3;1
n;PRO_clit;en2-ne;abe;s527;7;1
n;PRO_clit;en2-ne;abe;s540;7;1
n;PRO_clit;en2-ne;abe;s572;2;1
n;PRO_clit;en2-ne;abe;s617;4;1
n;PRO_clit;en2-ne;abe;s658;5;1
n;PRO_clit;en2-ne;abe;s717;2;1
n;PRO_clit;en2-ne;abe;s737;5;1
n;PRO_clit;en2-ne;abe;s741;2;1
n;PRO_clit;en2-ne;abe;s754;2;1
n;PRO_clit;en2-ne;abe;s774;3;1
n;PRO_clit;en2-ne;abe;s788;3;1
n;PRO_clit;en2-ne;abe;s828;8;1
n;PRO_clit;en2-ne;abe;s867;2;1
n;PRO_clit;en2-ne;abe;s882;7;1
n;PRO_clit;en2-ne;abe;s931;9;1
n;PRO_clit;en2-ne;abreja;s2500;12;1
n;PRO_clit;en2-ne;abreja;s2531;14;1
n;PRO_clit;en2-ne;abreja;s2532;25;1
n;PRO_clit;en2-ne;abreja;s2549;8;1
n;PRO_clit;en2-ne;abreja;s2553;19;1
n;PRO_clit;en2-ne;abreja;s2556;32;1
n;PRO_clit;en2-ne;abreja;s2563;7;1
n;PRO_clit;en2-ne;abreja;s2566;11;1
n;PRO_clit;en2-ne;abreja;s2577;67;1
n;PRO_clit;en2-ne;abreja;s2589;43;1
n;PRO_clit;en2-ne;abreja;s2589;61;1
n;PRO_clit;en2-ne;abreja;s2593;50;1
n;PRO_clit;en2-ne;abreja;s2597;26;1
n;PRO_clit;en2-ne;abreja;s2598;13;1
n;PRO_clit;en2-ne;abreja;s2607;2;1
n;PRO_clit;en2-ne;abreja;s2616;2;1
n;PRO_clit;en2-ne;abreja;s2617;6;1
n;PRO_clit;en2-ne;abreja;s2622;11;1
n;PRO_clit;en2-ne;abreja;s2627;23;1
n;PRO_clit;en2-ne;abreja;s2628;9;1
n;PRO_clit;en2-ne;abreja;s2634;60;1
n;PRO_clit;en2-ne;abreja;s2639;4;1
n;PRO_clit;en2-ne;abreja;s2645;23;1
n;PRO_clit;en2-ne;abreja;s2646;38;1
n;PRO_clit;en2-ne;abreja;s2654;28;1
n;PRO_clit;en2-ne;abreja;s2655;3;1
n;PRO_clit;en2-ne;abreja;s2662;18;1
n;PRO_clit;en2-ne;abreja;s2662;9;1
n;PRO_clit;en2-ne;abreja;s2664;31;1
n;PRO_clit;en2-ne;abreja;s2668;36;1
n;PRO_clit;en2-ne;abreja;s2674;26;1
n;PRO_clit;en2-ne;abreja;s2676;31;1
n;PRO_clit;en2-ne;abreja;s2676;41;1
n;PRO_clit;en2-ne;abreja;s2685;33;1
n;PRO_clit;en2-ne;abreja;s2685;45;1
n;PRO_clit;en2-ne;abreja;s2696;19;1
n;PRO_clit;en2-ne;abreja;s2697;24;1
n;PRO_clit;en2-ne;abreja;s2700;4;1
n;PRO_clit;en2-ne;abreja;s2701;26;1
n;PRO_clit;en2-ne;abreja;s2725;42;1
n;PRO_clit;en2-ne;abreja;s2725;46;1
n;PRO_clit;en2-ne;abreja;s2728;9;1
n;PRO_clit;en2-ne;abreja;s2741;115;1
n;PRO_clit;en2-ne;abreja;s2743;75;1
n;PRO_clit;en2-ne;abreja;s2748;19;1
n;PRO_clit;en2-ne;abreja;s2750;39;1
n;PRO_clit;en2-ne;abreja;s2755;6;1
n;PRO_clit;en2-ne;abreja;s2757;28;1
n;PRO_clit;en2-ne;abreja;s2768;26;1
n;PRO_clit;en2-ne;abreja;s2770;2;1
n;PRO_clit;en2-ne;abreja;s2774;21;1
n;PRO_clit;en2-ne;abreja;s2775;23;1
n;PRO_clit;en2-ne;abreja;s2788;17;1
n;PRO_clit;en2-ne;abreja;s2790;66;1
n;PRO_clit;en2-ne;abreja;s2794;39;1
n;PRO_clit;en2-ne;abreja;s2795;28;1
n;PRO_clit;en2-ne;abreja;s2796;27;1
n;PRO_clit;en2-ne;abreja;s2805;16;1
n;PRO_clit;en2-ne;abreja;s2807;22;1
n;PRO_clit;en2-ne;abreja;s2807;29;1
n;PRO_clit;en2-ne;abreja;s2820;2;1
n;PRO_clit;en2-ne;abreja;s2826;34;1
n;PRO_clit;en2-ne;abreja;s2827;24;1
n;PRO_clit;en2-ne;abreja;s2835;3;1
n;PRO_clit;en2-ne;abreja;s2843;8;1
n;PRO_clit;en2-ne;abreja;s2883;15;1
n;PRO_clit;en2-ne;abreja;s2883;33;1
n;PRO_clit;en2-ne;abreja;s2898;6;1
n;PRO_clit;en2-ne;abreja;s2906;114;1
n;PRO_clit;en2-ne;ailea;s2922;6;1
n;PRO_clit;en2-ne;ailea;s2927;4;1
n;PRO_clit;en2-ne;ailea;s2932;3;1
n;PRO_clit;en2-ne;ailea;s2953;1;1
n;PRO_clit;en2-ne;ailea;s2960;3;1
n;PRO_clit;en2-ne;ailea;s2984;4;1
n;PRO_clit;en2-ne;ailea;s3018;3;1
n;PRO_clit;en2-ne;ailea;s3035;5;1
n;PRO_clit;en2-ne;ailea;s3044;1;1
n;PRO_clit;en2-ne;ailea;s3049;5;1
n;PRO_clit;en2-ne;ailea;s3076;3;1
n;PRO_clit;en2-ne;ailea;s3108;3;1
n;PRO_clit;en2-ne;ailea;s3115;5;1
n;PRO_clit;en2-ne;ailea;s3125;4;1
n;PRO_clit;en2-ne;ailea;s3127;1;1
n;PRO_clit;en2-ne;ailea;s3166;3;1
n;PRO_clit;en2-ne;ailea;s3167;3;1
n;PRO_clit;en2-ne;ailea;s3174;2;1
n;PRO_clit;en2-ne;ailea;s3193;3;1
n;PRO_clit;en2-ne;ailea;s3218;3;1
n;PRO_clit;en2-ne;ailea;s3221;3;1
n;PRO_clit;en2-ne;ailea;s3237;5;1
n;PRO_clit;en2-ne;ailea;s3263;3;1
n;PRO_clit;en2-ne;ailea;s3269;1;1
n;PRO_clit;en2-ne;ailea;s3282;7;1
n;PRO_clit;en2-ne;ailea;s3286;4;1
n;PRO_clit;en2-ne;ailea;s3292;2;1
n;PRO_clit;en2-ne;ailea;s3297;1;1
n;PRO_clit;en2-ne;ailea;s3301;3;1
n;PRO_clit;en2-ne;ailea;s3324;1;1
n;PRO_clit;en2-ne;ailea;s3331;1;1
n;PRO_clit;en2-ne;ailea;s3345;5;1
n;PRO_clit;en2-ne;ailea;s3347;5;1
n;PRO_clit;en2-ne;ailea;s3363;3;1
n;PRO_clit;en2-ne;ailea;s3387;6;1
n;PRO_clit;en2-ne;ailea;s3393;4;1
n;PRO_clit;en2-ne;ailea;s3402;8;1
n;PRO_clit;en2-ne;ailea;s3405;6;1
n;PRO_clit;en2-ne;ailea;s3455;1;1
n;PRO_clit;en2-ne;ailea;s3468;3;1
n;PRO_clit;en2-ne;ailea;s3477;5;1
n;PRO_clit;en2-ne;ailea;s3515;6;1
n;PRO_clit;en2-ne;ailea;s3523;6;1
n;PRO_clit;en2-ne;ailea;s3528;2;1
n;PRO_clit;en2-ne;ailea;s3558;3;1
n;PRO_clit;en2-ne;ailea;s3565;1;1
n;PRO_clit;en2-ne;aileb;s3581;5;1
n;PRO_clit;en2-ne;aileb;s3586;3;1
n;PRO_clit;en2-ne;aileb;s3591;3;1
n;PRO_clit;en2-ne;aileb;s3619;3;1
n;PRO_clit;en2-ne;aileb;s3687;4;1
n;PRO_clit;en2-ne;aileb;s3696;1;1
n;PRO_clit;en2-ne;aileb;s3701;5;1
n;PRO_clit;en2-ne;aileb;s3728;3;1
n;PRO_clit;en2-ne;aileb;s3760;3;1
n;PRO_clit;en2-ne;aileb;s3767;5;1
n;PRO_clit;en2-ne;aileb;s3777;4;1
n;PRO_clit;en2-ne;aileb;s3782;2;1
n;PRO_clit;en2-ne;aileb;s3804;4;1
n;PRO_clit;en2-ne;aileb;s3816;2;1
n;PRO_clit;en2-ne;aileb;s3844;3;1
n;PRO_clit;en2-ne;aileb;s3868;3;1
n;PRO_clit;en2-ne;aileb;s3888;5;1
n;PRO_clit;en2-ne;aileb;s3913;2;1
n;PRO_clit;en2-ne;aileb;s3914;3;1
n;PRO_clit;en2-ne;aileb;s3920;1;1
n;PRO_clit;en2-ne;aileb;s3933;7;1
n;PRO_clit;en2-ne;aileb;s3943;2;1
n;PRO_clit;en2-ne;aileb;s3952;3;1
n;PRO_clit;en2-ne;aileb;s3992;4;1
n;PRO_clit;en2-ne;aileb;s3995;5;1
n;PRO_clit;en2-ne;aileb;s3997;2;1
n;PRO_clit;en2-ne;aileb;s4011;3;1
n;PRO_clit;en2-ne;aileb;s4035;6;1
n;PRO_clit;en2-ne;aileb;s4041;2;1
n;PRO_clit;en2-ne;ailed;s4062;3;1
n;PRO_clit;en2-ne;ailed;s4067;3;1
n;PRO_clit;en2-ne;ailed;s4088;1;1
n;PRO_clit;en2-ne;ailed;s4095;4;1
n;PRO_clit;en2-ne;ailed;s4119;4;1
n;PRO_clit;en2-ne;ailed;s4153;3;1
n;PRO_clit;en2-ne;ailed;s4170;4;1
n;PRO_clit;en2-ne;ailed;s4179;1;1
n;PRO_clit;en2-ne;ailed;s4184;5;1
n;PRO_clit;en2-ne;ailed;s4211;3;1
n;PRO_clit;en2-ne;ailed;s4228;5;1
n;PRO_clit;en2-ne;ailed;s4244;3;1
n;PRO_clit;en2-ne;ailed;s4261;4;1
n;PRO_clit;en2-ne;ailed;s4288;4;1
n;PRO_clit;en2-ne;ailed;s4300;2;1
n;PRO_clit;en2-ne;ailed;s4310;2;1
n;PRO_clit;en2-ne;ailed;s4330;3;1
n;PRO_clit;en2-ne;ailed;s4339;6;1
n;PRO_clit;en2-ne;ailed;s4352;1;1
n;PRO_clit;en2-ne;ailed;s4354;3;1
n;PRO_clit;en2-ne;ailed;s4357;3;1
n;PRO_clit;en2-ne;ailed;s4373;5;1
n;PRO_clit;en2-ne;ailed;s4399;3;1
n;PRO_clit;en2-ne;ailed;s4405;1;1
n;PRO_clit;en2-ne;ailed;s4438;3;1
n;PRO_clit;en2-ne;ailed;s4456;3;1
n;PRO_clit;en2-ne;ailed;s4463;1;1
n;PRO_clit;en2-ne;ailed;s4477;5;1
n;PRO_clit;en2-ne;ailed;s4479;5;1
n;PRO_clit;en2-ne;ailed;s4495;3;1
n;PRO_clit;en2-ne;ailed;s4515;6;1
n;PRO_clit;en2-ne;ailed;s4521;4;1
n;PRO_clit;en2-ne;ailed;s4530;8;1
n;PRO_clit;en2-ne;aileg;s4577;6;1
n;PRO_clit;en2-ne;aileg;s4578;6;1
n;PRO_clit;en2-ne;aileg;s4587;4;1
n;PRO_clit;en2-ne;aileg;s4592;3;1
n;PRO_clit;en2-ne;aileg;s4620;3;1
n;PRO_clit;en2-ne;aileg;s4644;4;1
n;PRO_clit;en2-ne;aileg;s4688;3;1
n;PRO_clit;en2-ne;aileg;s4695;4;1
n;PRO_clit;en2-ne;aileg;s4704;1;1
n;PRO_clit;en2-ne;aileg;s4709;5;1
n;PRO_clit;en2-ne;aileg;s4736;3;1
n;PRO_clit;en2-ne;aileg;s4752;5;1
n;PRO_clit;en2-ne;aileg;s4768;3;1
n;PRO_clit;en2-ne;aileg;s4785;4;1
n;PRO_clit;en2-ne;aileg;s4827;3;1
n;PRO_clit;en2-ne;aileg;s4835;2;1
n;PRO_clit;en2-ne;aileg;s4879;3;1
n;PRO_clit;en2-ne;aileg;s4898;4;1
n;PRO_clit;en2-ne;aileg;s4924;3;1
n;PRO_clit;en2-ne;aileg;s4930;1;1
n;PRO_clit;en2-ne;aileg;s4943;7;1
n;PRO_clit;en2-ne;aileg;s4953;2;1
n;PRO_clit;en2-ne;aileg;s4963;3;1
n;PRO_clit;en2-ne;aileg;s4992;2;1
n;PRO_clit;en2-ne;aileg;s5006;5;1
n;PRO_clit;en2-ne;aileg;s5008;5;1
n;PRO_clit;en2-ne;aileg;s5024;3;1
n;PRO_clit;en2-ne;aileg;s5048;6;1
n;PRO_clit;en2-ne;aileg;s5054;4;1
n;PRO_clit;en2-ne;aileg;s5063;8;1
n;PRO_clit;en2-ne;aileg;s5101;3;1
n;PRO_clit;en2-ne;aileg;s5106;4;1
n;PRO_clit;en2-ne;aileg;s5124;3;1
n;PRO_clit;en2-ne;aileg;s5133;5;1
n;PRO_clit;en2-ne;aileg;s5171;6;1
n;PRO_clit;en2-ne;aileg;s5184;2;1
n;PRO_clit;en2-ne;aileg;s5212;5;1
n;PRO_clit;en2-ne;aileg;s5214;3;1
n;PRO_clit;en2-ne;aileg;s5222;6;1
n;PRO_clit;en2-ne;aileo;s5238;5;1
n;PRO_clit;en2-ne;aileo;s5243;3;1
n;PRO_clit;en2-ne;aileo;s5248;2;1
n;PRO_clit;en2-ne;aileo;s5267;1;1
n;PRO_clit;en2-ne;aileo;s5274;6;1
n;PRO_clit;en2-ne;aileo;s5298;4;1
n;PRO_clit;en2-ne;aileo;s5332;3;1
n;PRO_clit;en2-ne;aileo;s5347;4;1
n;PRO_clit;en2-ne;aileo;s5356;1;1
n;PRO_clit;en2-ne;aileo;s5361;4;1
n;PRO_clit;en2-ne;aileo;s5388;1;1
n;PRO_clit;en2-ne;aileo;s5402;5;1
n;PRO_clit;en2-ne;aileo;s5416;3;1
n;PRO_clit;en2-ne;aileo;s5433;4;1
n;PRO_clit;en2-ne;aileo;s5438;6;1
n;PRO_clit;en2-ne;aileo;s5472;2;1
n;PRO_clit;en2-ne;ailet;s5494;3;1
n;PRO_clit;en2-ne;ailet;s5520;1;1
n;PRO_clit;en2-ne;ailet;s5527;3;1
n;PRO_clit;en2-ne;ailet;s5551;4;1
n;PRO_clit;en2-ne;ailet;s5583;3;1
n;PRO_clit;en2-ne;ailet;s5600;4;1
n;PRO_clit;en2-ne;ailet;s5609;1;1
n;PRO_clit;en2-ne;ailet;s5614;4;1
n;PRO_clit;en2-ne;ailet;s5641;3;1
n;PRO_clit;en2-ne;ailet;s5657;5;1
n;PRO_clit;en2-ne;ailet;s5673;3;1
n;PRO_clit;en2-ne;ailet;s5680;6;1
n;PRO_clit;en2-ne;ailet;s5690;4;1
n;PRO_clit;en2-ne;ailet;s5731;3;1
n;PRO_clit;en2-ne;ailet;s5738;2;1
n;PRO_clit;en2-ne;ailet;s5760;3;1
n;PRO_clit;en2-ne;ailet;s5781;2;1
n;PRO_clit;en2-ne;ailet;s5800;5;1
n;PRO_clit;en2-ne;ailet;s5821;4;1
n;PRO_clit;en2-ne;ailet;s5829;1;1
n;PRO_clit;en2-ne;ailet;s5842;7;1
n;PRO_clit;en2-ne;ailet;s5862;3;1
n;PRO_clit;en2-ne;ailet;s5884;2;1
n;PRO_clit;en2-ne;ailet;s5905;5;1
n;PRO_clit;en2-ne;ailet;s5907;5;1
n;PRO_clit;en2-ne;ailet;s5941;6;1
n;PRO_clit;en2-ne;ailet;s5947;3;1
n;PRO_clit;en2-ne;ailet;s5956;8;1
n;PRO_clit;en2-ne;ailet;s5997;4;1
n;PRO_clit;en2-ne;ailet;s6005;3;1
n;PRO_clit;en2-ne;ailet;s6006;1;1
n;PRO_clit;en2-ne;ailet;s6018;3;1
n;PRO_clit;en2-ne;ailet;s6027;5;1
n;PRO_clit;en2-ne;ailet;s6064;6;1
n;PRO_clit;en2-ne;ailet;s6077;2;1
n;PRO_clit;en2-ne;ailet;s6103;5;1
n;PRO_clit;en2-ne;ailet;s6112;1;1
n;PRO_clit;en2-ne;aiol;s6143;1;1
n;PRO_clit;en2-ne;aiol;s6163;2;1
n;PRO_clit;en2-ne;aiol;s6193;4;1
n;PRO_clit;en2-ne;aiol;s6196;1;1
n;PRO_clit;en2-ne;aiol;s6202;2;1
n;PRO_clit;en2-ne;aiol;s6208;3;1
n;PRO_clit;en2-ne;aiol;s6218;4;1
n;PRO_clit;en2-ne;aiol;s6244;1;1
n;PRO_clit;en2-ne;aiol;s6339;2;1
n;PRO_clit;en2-ne;aiol;s6384;2;1
n;PRO_clit;en2-ne;aiol;s6401;1;1
n;PRO_clit;en2-ne;aiol;s6442;2;1
n;PRO_clit;en2-ne;aiol;s6449;3;1
n;PRO_clit;en2-ne;aiol;s6454;3;1
n;PRO_clit;en2-ne;aiol;s6474;1;1
n;PRO_clit;en2-ne;aiol;s6512;3;1
n;PRO_clit;en2-ne;aiol;s6582;2;1
n;PRO_clit;en2-ne;aiol;s6654;2;1
n;PRO_clit;en2-ne;aiol;s6680;2;1
n;PRO_clit;en2-ne;aiol;s6700;2;1
n;PRO_clit;en2-ne;aiol;s6722;1;1
n;PRO_clit;en2-ne;aiol;s6879;3;1
n;PRO_clit;en2-ne;aiol;s6916;2;1
n;PRO_clit;en2-ne;aiol;s6927;3;1
n;PRO_clit;en2-ne;aiol;s6958;3;1
n;PRO_clit;en2-ne;aiol;s7010;2;1
n;PRO_clit;en2-ne;aiol;s7021;2;1
n;PRO_clit;en2-ne;aiol;s7049;3;1
n;PRO_clit;en2-ne;aiol;s7082;3;1
n;PRO_clit;en2-ne;aiol;s7132;3;1
