word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
eles;PRO;pers;acc;3;femi;pl;ele-il;athi;s24616;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;atre;s27982;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;barlaam;s31834;88 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;bern2;s41571;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;carp;s57072;6 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;clari2;s71113;14 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;eneas;s106911;2 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;eneas;s106924;3 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s181472;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s181751;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;hista;s181817;5 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;lanvalH;s204039;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;lanvalP;s204847;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;loys;s213392;48 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;loys;s213624;19 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;ombre;s283873;6 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;percevalb;s301632;3 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;percevalb;s302001;4 ;1
eles;PRO;pers;acc;3;femi;pl;ele-il;queste;s337677;29 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;alia;s11593;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;amou;s17829;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;anth;s19243;4 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;arr;s22150;5 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;arr;s23706;4 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;artch;s23861;17 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;auc;s28386;10 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;baisieux;s29906;4 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;barlaam;s31561;12 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;beauv;s37058;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;bern2;s41572;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;carem;s54726;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;carp;s55639;4 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;carp;s57083;5 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;carp;s57556;5 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;cass;s58534;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;chret1;s65279;25 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;clari2;s71441;10 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;clari2;s71441;25 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;clari2;s71728;13 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;cleom;s77636;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;dole;s94689;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;faba;s124799;1 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;faba;s124864;1 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesA;s129501;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesA;s130096;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesA;s130802;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesB;s134104;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesB;s134790;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesC;s136426;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesC;s137129;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesE1;s139314;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesE1;s139936;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesE1;s139946;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesE1;s140112;5 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesK;s142036;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesT;s147956;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesT;s148813;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fablesY;s151261;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;fetrom;s153472;1 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hista;s178165;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hista;s178265;6 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hista;s181782;6 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hista;s181810;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hista;s181810;7 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hista;s181836;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hyla;s182944;7 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hyla;s183759;4 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;hyla;s184332;2 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;ipo;s193173;4 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;lanvalH;s204446;6 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;lanvalP;s204674;1 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213218;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213219;4 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213293;7 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213505;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213506;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213506;7 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213509;3 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213509;6 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s213931;28 ;1
eles;PRO;pers;suj;3;femi;pl;ele-il;loys;s214066;31 ;1
