word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
ale;PRO;pers;suj;3;femi;sg;aler;beati;s34887;2;1
ale;PRO;pers;suj;3;femi;sg;aler;thibo;s403855;1;1
ale;PRO;pers;suj;3;femi;sg;il;abreja;s2580;46;1
ale;PRO;pers;suj;3;femi;sg;il;abreja;s2687;12;1
ale;PRO;pers;suj;3;femi;sg;il;abreja;s2700;30;1
ale;PRO;pers;suj;3;femi;sg;il;abreja;s2906;44;1
ale;PRO;pers;suj;3;femi;sg;il;abreja;s2906;75;1
ale;PRO;pers;suj;3;femi;sg;il;beati;s34661;1;1
ale;PRO;pers;suj;3;femi;sg;il;beati;s34977;1;1
ale;PRO;pers;suj;3;femi;sg;il;beati;s34982;2;1
ale;PRO;pers;suj;3;femi;sg;il;beati;s35070;3;1
ale;PRO;pers;suj;3;femi;sg;il;beati;s35248;5;1
ale;PRO;pers;suj;3;femi;sg;il;pseuturp;s337210;7;1
ale;PRO;pers;suj;3;femi;sg;il;pseuturp;s337251;32;1
ale;PRO;pers;suj;3;femi;sg;il;pseuturp;s337287;13;1
ale;PRO;pers;suj;3;femi;sg;il;pseuturp;s337463;21;1
ale;PRO;pers;suj;3;femi;sg;il;pseuturp;s337478;7;1
ale;PRO;pers;suj;3;femi;sg;il;thibo;s403849;1;1
ale;PRO;pers;suj;3;femi;sg;il;thibo;s403863;9;1
ale;PRO;pers;suj;3;femi;sg;il;thibo;s404473;8;1
ale;PRO;pers;suj;3;femi;sg;il;yzop;s441520;2;1
ale;PRO;pers;suj;3;femi;sg;il;yzop;s441618;3;1
ales;PRO;pers;acc;3;femi;pl;UNKNOWN;bern2;s42811;3;1
ales;PRO;pers;suj;3;femi;pl;ale1-ale2;yzop;s440555;2;1
ales;PRO;pers;suj;3;femi;pl;UNKNOWN;abreja;s2536;17;1
ce;PRO;pers;obj;3;masc;sg;ce1-ce;perpraag;s315796;2;1
deles;PRO;pers;acc;3;femi;pl;UNKNOWN;chastoi;s59225;2;1
e;PRO;pers;obj;3;masc;sg;et;sergbH;s392374;6;1
ele;PRO;pers;acc;3;femi;pl;ele-il;percevalb;s304955;3;1
ele;PRO;pers;acc;3;femi;pl;ele-il;ren2;s352303;3;1
ele;PRO;pers;acc;3;femi;sg;ele-il;aileb;s3904;5;1
ele;PRO;pers;acc;3;femi;sg;ele-il;chastoi;s59999;4;1
ele;PRO;pers;acc;3;femi;sg;ele-il;ndchar;s256650;4;1
ele;PRO;pers;suj;3;femi;pl;ele-il;barlaam;s31561;5;1
ele;PRO;pers;suj;3;femi;pl;ele-il;chret1;s65482;52;1
ele;PRO;pers;suj;3;femi;pl;ele-il;clari2;s71441;22;1
ele;PRO;pers;suj;3;femi;pl;ele-il;fablesC;s135956;2;1
ele;PRO;pers;suj;3;femi;pl;ele-il;fablesC;s136814;2;1
ele;PRO;pers;suj;3;femi;pl;ele-il;merm;s232027;70;1
ele;PRO;pers;suj;3;femi;pl;ele-il;perq;s316796;4;1
ele;PRO;pers;suj;3;femi;pl;ele-il;perr;s318569;2;1
ele;PRO;pers;suj;3;femi;pl;ele-il;romk;s371926;7;1
ele;PRO;pers;suj;3;femi;sg;ele-il;abreja;s2887;27;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailea;s2925;4;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailea;s3153;4;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailea;s3186;1;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailea;s3200;2;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailea;s3224;2;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailea;s3394;2;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileb;s3712;7;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileb;s3726;5;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileb;s3805;4;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileb;s3875;3;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileb;s4042;2;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailed;s4195;7;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailed;s4289;4;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailed;s4360;3;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailed;s4522;3;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileg;s4585;5;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileg;s4861;3;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileg;s4885;3;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileg;s5055;3;1
ele;PRO;pers;suj;3;femi;sg;ele-il;aileo;s5241;5;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailet;s5492;5;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailet;s5718;4;1
ele;PRO;pers;suj;3;femi;sg;ele-il;ailet;s5764;4;1
