word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
i;PRO;pers;suj;1;neutre;sg;i2-i-y;sergbH;s391738;7 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;abe;s1844;6 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;abe;s1923;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;aileb;s3625;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;aileb;s3682;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;aileb;s3938;4 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;ailed;s4101;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;ailet;s5590;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;anth;s19469;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;anth;s20750;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;anth;s21032;9 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;anth;s21057;3 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;arr;s22803;3 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;auc;s28469;46 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;barlaam;s32378;12 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;barril;s32977;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;beauv;s36662;3 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;bern2;s41728;4 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;bourg;s50161;2 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;calex;s51742;3 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;calex;s52509;3 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;carem;s54544;6 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;carp;s56032;6 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;carp;s57496;1 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;chauvency;s63001;4 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;clari2;s71076;11 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;clari2;s71078;15 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;clari2;s71384;9 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;clari2;s71480;42 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;clari2;s72080;43 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;contro;s86580;5 ;1
i;PRO;pers;suj;3;masc;pl;i2-i-y;cordres;s88609;1 ;1
