word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
i;PRO;pers;suj;1;neutre;sg;PRO_3sg;sergbH;s391738;7 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;abe;s1844;6 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;abe;s1923;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;aileb;s3625;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;aileb;s3682;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;aileb;s3938;4 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;ailed;s4101;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;ailet;s5590;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;anth;s19469;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;anth;s20750;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;anth;s21032;9 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;anth;s21057;3 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;arr;s22803;3 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;auc;s28469;46 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;barlaam;s32378;12 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;barril;s32977;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;beauv;s36662;3 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;bern2;s41728;4 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;bourg;s50161;2 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;calex;s51742;3 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;calex;s52509;3 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;carem;s54544;6 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;carp;s56032;6 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;carp;s57496;1 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;chauvency;s63001;4 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;clari2;s71076;11 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;clari2;s71078;15 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;clari2;s71384;9 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;clari2;s71480;42 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;clari2;s72080;43 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;contro;s86580;5 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;cordres;s88609;1 ;1
i;PRO;pers;suj;3;masc;pl;PRO_3sg;cordres;s88631;2 ;1
