word;pos;PRO_type;decl;person;gender;number;lemma;id;ref1;ref2;F
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;alia;s11580;3 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;alia;s9091;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;anth;s18708;5 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;auc;s28402;14 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;barlaam;s32041;20 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;barril;s32675;5 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;barril;s32847;3 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;barril;s32933;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;cambrai;s53137;5 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;cambrai;s53719;7 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;cambrai;s53738;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;cambrai;s53859;5 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;chastoi;s61371;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;chastoi;s61696;5 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;chastoi;s61707;5 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;chastoi;s61709;4 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;chauvency;s64090;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;chret2;s66027;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;chret2;s66752;7 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;clari2;s71514;25 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s82266;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s82562;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s83870;4 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s84085;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s84262;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s84281;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s85055;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s85280;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s85394;4 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;contre;s85502;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;dole;s95156;6 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;elie;s105134;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fabd;s126499;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fabd;s126503;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fabd;s127235;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fabd;s127236;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fabd;s127626;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fabd;s127790;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fabd;s127855;6 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fabd;s127884;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fablesM;s145952;5 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;fablesT;s150192;3 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;flo;s158736;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;herm;s175250;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;herm;s175856;1 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;herm;s175955;2 ;1
g;PRO;pers;suj;1;neutre;sg;PRO_1sg;herm;s176485;8 ;1
